[792, 612]
[paragraph, [64.0, 69.0, 480.0, 18.0], shoonya_0sZ5X27W7Y8OMD, 5760770]
[paragraph, [64.0, 87.0, 480.0, 18.0], shoonya_0sZ5X27W7Y8OMD, 5760770]
[paragraph, [64.0, 105.0, 480.0, 18.0], shoonya_0sZ5X27W7Y8OMD, 5760770]
[paragraph, [64.0, 123.0, 480.0, 18.0], shoonya_0sZ5X27W7Y8OMD, 5760770]
[paragraph, [64.0, 141.0, 480.0, 18.0], shoonya_0sZ5X27W7Y8OMD, 5760770]
[paragraph, [64.0, 159.0, 480.0, 18.0], shoonya_0sZ5X27W7Y8OMD, 5760770]
[paragraph, [64.0, 177.0, 480.0, 18.0], shoonya_0sZ5X27W7Y8OMD, 5760770]
[paragraph, [64.0, 195.0, 480.0, 18.0], shoonya_0sZ5X27W7Y8OMD, 5760770]
[paragraph, [64.0, 213.0, 480.0, 18.0], shoonya_0sZ5X27W7Y8OMD, 5760770]
[paragraph, [64.0, 231.0, 480.0, 18.0], shoonya_0sZ5X27W7Y8OMD, 5760770]
[paragraph, [64.0, 249.0, 480.0, 18.0], shoonya_0sZ5X27W7Y8OMD, 5760770]
[paragraph, [66.0, 271.0, 478.0, 18.0], mglJXkdflr, 5760770]
[paragraph, [66.0, 289.0, 478.0, 18.0], mglJXkdflr, 5760770]
[paragraph, [66.0, 307.0, 478.0, 18.0], mglJXkdflr, 5760770]
[paragraph, [66.0, 325.0, 478.0, 18.0], mglJXkdflr, 5760770]
[paragraph, [66.0, 343.0, 478.0, 18.0], mglJXkdflr, 5760770]
[paragraph, [66.0, 361.0, 478.0, 18.0], mglJXkdflr, 5760770]
[paragraph, [66.0, 379.0, 478.0, 18.0], mglJXkdflr, 5760770]
[paragraph, [66.0, 397.0, 478.0, 18.0], mglJXkdflr, 5760770]
[paragraph, [66.0, 415.0, 478.0, 18.0], mglJXkdflr, 5760770]
[paragraph, [66.0, 433.0, 478.0, 18.0], mglJXkdflr, 5760770]
[paragraph, [66.0, 451.0, 478.0, 18.0], mglJXkdflr, 5760770]
[paragraph, [67.0, 488.0, 476.0, 18.0], bfof_Je3-G, 5760770]
[paragraph, [67.0, 506.0, 476.0, 18.0], bfof_Je3-G, 5760770]
[paragraph, [67.0, 524.0, 476.0, 18.0], bfof_Je3-G, 5760770]
[paragraph, [67.0, 542.0, 476.0, 18.0], bfof_Je3-G, 5760770]
[paragraph, [67.0, 560.0, 476.0, 18.0], bfof_Je3-G, 5760770]
[paragraph, [67.0, 578.0, 476.0, 18.0], bfof_Je3-G, 5760770]
[paragraph, [67.0, 596.0, 476.0, 18.0], bfof_Je3-G, 5760770]
[paragraph, [67.0, 614.0, 476.0, 18.0], bfof_Je3-G, 5760770]
[paragraph, [67.0, 632.0, 476.0, 18.0], bfof_Je3-G, 5760770]
[paragraph, [67.0, 650.0, 476.0, 18.0], bfof_Je3-G, 5760770]
[paragraph, [67.0, 668.0, 476.0, 18.0], bfof_Je3-G, 5760770]
[paragraph, [67.0, 686.0, 476.0, 18.0], bfof_Je3-G, 5760770]
[paragraph, [67.0, 704.0, 476.0, 18.0], bfof_Je3-G, 5760770]
