[1754, 1241]
[paragraph, [212.0, 144.0, 890.0, 36.0], shoonya_3sBO3QM7FE4AYX, 6470469]
[paragraph, [212.0, 180.0, 890.0, 36.0], shoonya_3sBO3QM7FE4AYX, 6470469]
[paragraph, [212.0, 216.0, 890.0, 36.0], shoonya_3sBO3QM7FE4AYX, 6470469]
[ordered-list, [212.0, 287.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 323.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 359.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 395.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 431.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 467.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 503.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 539.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 575.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 611.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 647.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 683.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 719.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 755.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 791.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 827.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 863.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 899.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 935.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 971.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 1007.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 1043.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 1079.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 1115.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 1151.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 1187.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 1223.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 1259.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 1295.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 1331.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 1367.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 1403.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[ordered-list, [212.0, 1439.0, 901.0, 36.0], shoonya_0sZYVF8CVS12RB, 6470469]
[footnote, [219.0, 1527.0, 882.0, 36.0], shoonya_4sQJ8X74XN256U, 6470469]
[footnote, [219.0, 1563.0, 882.0, 36.0], shoonya_4sQJ8X74XN256U, 6470469]
