[1787, 1218]
[paragraph, [80.0, 103.0, 1055.0, 36.0], b28dpoXPCp, 5651315]
[paragraph, [80.0, 139.0, 1055.0, 36.0], b28dpoXPCp, 5651315]
[paragraph, [80.0, 175.0, 1055.0, 36.0], b28dpoXPCp, 5651315]
[paragraph, [269.0, 226.0, 726.0, 36.0], jD_3wvAHYW, 5651315]
[paragraph, [269.0, 262.0, 726.0, 36.0], jD_3wvAHYW, 5651315]
[paragraph, [269.0, 298.0, 726.0, 36.0], jD_3wvAHYW, 5651315]
[paragraph, [269.0, 334.0, 726.0, 36.0], jD_3wvAHYW, 5651315]
[paragraph, [269.0, 370.0, 726.0, 36.0], jD_3wvAHYW, 5651315]
[paragraph, [84.0, 432.0, 964.0, 36.0], shoonya_2sUHS1CFKZ3CMK, 5651315]
[paragraph, [84.0, 468.0, 964.0, 36.0], shoonya_2sUHS1CFKZ3CMK, 5651315]
[paragraph, [84.0, 504.0, 964.0, 36.0], shoonya_2sUHS1CFKZ3CMK, 5651315]
[paragraph, [101.0, 568.0, 1008.0, 36.0], rou0w03EAq, 5651315]
[paragraph, [101.0, 604.0, 1008.0, 36.0], rou0w03EAq, 5651315]
[paragraph, [101.0, 640.0, 1008.0, 36.0], rou0w03EAq, 5651315]
[paragraph, [101.0, 676.0, 1008.0, 36.0], rou0w03EAq, 5651315]
[paragraph, [99.0, 743.0, 1028.0, 36.0], shoonya_0s3PE20EZUI954, 5651315]
[paragraph, [99.0, 779.0, 1028.0, 36.0], shoonya_0s3PE20EZUI954, 5651315]
[ordered-list, [104.0, 830.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 866.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 902.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 938.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 974.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 1010.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 1046.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 1082.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 1118.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 1154.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 1190.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 1226.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 1262.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 1298.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 1334.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 1370.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 1406.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 1442.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 1478.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 1514.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[ordered-list, [104.0, 1550.0, 1017.0, 36.0], shoonya_1s8NZXYU6LKGDH, 5651315]
[footnote, [473.0, 1645.0, 224.0, 36.0], 6we-tnXm0y, 5651315]
