[1951, 1219]
[folio, [226.0, 121.0, 182.0, 36.0], ZnQSf1oX0E, 5682706]
[paragraph, [116.0, 211.0, 969.0, 36.0], shoonya_0sFVNTOED78UGO, 5682706]
[paragraph, [116.0, 247.0, 969.0, 36.0], shoonya_0sFVNTOED78UGO, 5682706]
[paragraph, [116.0, 283.0, 969.0, 36.0], shoonya_0sFVNTOED78UGO, 5682706]
[paragraph, [116.0, 319.0, 969.0, 36.0], shoonya_0sFVNTOED78UGO, 5682706]
[paragraph, [120.0, 384.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [120.0, 420.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [120.0, 456.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [120.0, 492.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [120.0, 528.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [120.0, 564.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [120.0, 600.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [120.0, 636.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [120.0, 672.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [120.0, 708.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [120.0, 744.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [120.0, 780.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [120.0, 816.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [120.0, 852.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [120.0, 888.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [120.0, 924.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [120.0, 960.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [120.0, 996.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [120.0, 1032.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [120.0, 1068.0, 967.0, 36.0], yuNGy5utmh, 5682706]
[paragraph, [123.0, 1137.0, 969.0, 36.0], 8R222SSh1z, 5682706]
[paragraph, [123.0, 1173.0, 969.0, 36.0], 8R222SSh1z, 5682706]
[paragraph, [123.0, 1209.0, 969.0, 36.0], 8R222SSh1z, 5682706]
[paragraph, [123.0, 1245.0, 969.0, 36.0], 8R222SSh1z, 5682706]
[paragraph, [123.0, 1281.0, 969.0, 36.0], 8R222SSh1z, 5682706]
[paragraph, [123.0, 1317.0, 969.0, 36.0], 8R222SSh1z, 5682706]
[paragraph, [123.0, 1353.0, 969.0, 36.0], 8R222SSh1z, 5682706]
[paragraph, [123.0, 1389.0, 969.0, 36.0], 8R222SSh1z, 5682706]
[paragraph, [123.0, 1425.0, 969.0, 36.0], 8R222SSh1z, 5682706]
[paragraph, [123.0, 1461.0, 969.0, 36.0], 8R222SSh1z, 5682706]
[paragraph, [123.0, 1497.0, 969.0, 36.0], 8R222SSh1z, 5682706]
[paragraph, [123.0, 1533.0, 969.0, 36.0], 8R222SSh1z, 5682706]
[paragraph, [123.0, 1569.0, 969.0, 36.0], 8R222SSh1z, 5682706]
[paragraph, [123.0, 1605.0, 969.0, 36.0], 8R222SSh1z, 5682706]
[paragraph, [126.0, 1658.0, 976.0, 36.0], XcnYeekO2S, 5682706]
[paragraph, [126.0, 1694.0, 976.0, 36.0], XcnYeekO2S, 5682706]
[paragraph, [126.0, 1730.0, 976.0, 36.0], XcnYeekO2S, 5682706]
[paragraph, [126.0, 1766.0, 976.0, 36.0], XcnYeekO2S, 5682706]
