[1238, 765]
[folio, [296.0, 74.0, 149.0, 18.0], w8liaA6uhL, 5770483]
[folio, [296.0, 92.0, 149.0, 18.0], w8liaA6uhL, 5770483]
[paragraph, [80.0, 135.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 153.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 171.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 189.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 207.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 225.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 243.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 261.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 279.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 297.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 315.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 333.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 351.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 369.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 387.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 405.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 423.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 441.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 459.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 477.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 495.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 513.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 531.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 549.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 567.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 585.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 603.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 621.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 639.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 657.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 675.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 693.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 711.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 729.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 747.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 765.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 783.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [80.0, 801.0, 295.0, 18.0], shoonya_1sFPDUHY5H8ZQZ, 5770483]
[paragraph, [380.0, 136.0, 300.0, 18.0], uZS9Wm5rRd, 5770483]
[paragraph, [380.0, 154.0, 300.0, 18.0], uZS9Wm5rRd, 5770483]
[paragraph, [380.0, 172.0, 300.0, 18.0], uZS9Wm5rRd, 5770483]
[paragraph, [380.0, 190.0, 300.0, 18.0], uZS9Wm5rRd, 5770483]
[paragraph, [380.0, 208.0, 300.0, 18.0], uZS9Wm5rRd, 5770483]
