[3509, 2482]
[folio, [234.0, 406.0, 234.0, 52.5], shoonya_0sET3X2LYC3Z7E, 5692046]
[paragraph, [319.0, 533.0, 570.0, 52.5], yE6rlruwnq, 5692046]
[paragraph, [223.0, 620.0, 1762.0, 52.5], -4gxHlGqjg, 5692046]
[paragraph, [223.0, 672.5, 1762.0, 52.5], -4gxHlGqjg, 5692046]
[paragraph, [223.0, 725.0, 1762.0, 52.5], -4gxHlGqjg, 5692046]
[paragraph, [223.0, 777.5, 1762.0, 52.5], -4gxHlGqjg, 5692046]
[paragraph, [217.0, 853.0, 1787.0, 52.5], Q0lJrqB9cR, 5692046]
[paragraph, [217.0, 905.5, 1787.0, 52.5], Q0lJrqB9cR, 5692046]
[paragraph, [217.0, 958.0, 1787.0, 52.5], Q0lJrqB9cR, 5692046]
[paragraph, [217.0, 1010.5, 1787.0, 52.5], Q0lJrqB9cR, 5692046]
[paragraph, [217.0, 1063.0, 1787.0, 52.5], Q0lJrqB9cR, 5692046]
[paragraph, [217.0, 1115.5, 1787.0, 52.5], Q0lJrqB9cR, 5692046]
[paragraph, [217.0, 1168.0, 1787.0, 52.5], Q0lJrqB9cR, 5692046]
[paragraph, [223.0, 1237.0, 1765.0, 52.5], Xy8ZcECrTl, 5692046]
[paragraph, [223.0, 1289.5, 1765.0, 52.5], Xy8ZcECrTl, 5692046]
[paragraph, [319.0, 1399.0, 1504.0, 52.5], _esofUiQ5T, 5692046]
[paragraph, [282.0, 1467.0, 943.0, 52.5], rAfY1K7ICD, 5692046]
[paragraph, [183.0, 1548.0, 1805.0, 52.5], S0KgLkI5Za, 5692046]
[paragraph, [183.0, 1600.5, 1805.0, 52.5], S0KgLkI5Za, 5692046]
[paragraph, [183.0, 1653.0, 1805.0, 52.5], S0KgLkI5Za, 5692046]
[paragraph, [183.0, 1705.5, 1805.0, 52.5], S0KgLkI5Za, 5692046]
[paragraph, [183.0, 1758.0, 1805.0, 52.5], S0KgLkI5Za, 5692046]
[paragraph, [316.0, 1936.0, 595.0, 52.5], P_YbPfq0Ub, 5692046]
[paragraph, [328.0, 2010.0, 527.0, 52.5], c9ZLCgze3h, 5692046]
[paragraph, [297.0, 2078.0, 1346.0, 52.5], 0ygL6yjrI-, 5692046]
[paragraph, [328.0, 2165.0, 1144.0, 52.5], aJS9c6lC0k, 5692046]
[paragraph, [238.0, 2243.0, 1731.0, 52.5], tpXf0fdmSm, 5692046]
[paragraph, [238.0, 2295.5, 1731.0, 52.5], tpXf0fdmSm, 5692046]
[paragraph, [316.0, 2395.0, 769.0, 52.5], dzS4O078cB, 5692046]
[paragraph, [310.0, 2475.0, 1479.0, 52.5], CXR24OFmHl, 5692046]
[paragraph, [288.0, 2553.0, 1619.0, 52.5], 7n_FOaWT12, 5692046]
[paragraph, [266.0, 2627.0, 1076.0, 52.5], Aruvkhy7W_, 5692046]
[paragraph, [235.0, 2702.0, 1752.0, 52.5], yhWmEjn7jB, 5692046]
[paragraph, [235.0, 2754.5, 1752.0, 52.5], yhWmEjn7jB, 5692046]
[paragraph, [310.0, 2866.0, 257.0, 52.5], vrqmLl6jCM, 5692046]
[paragraph, [328.0, 2935.0, 449.0, 52.5], rU789dW-Qh, 5692046]
[paragraph, [291.0, 3015.0, 943.0, 52.5], uUW60xvAsk, 5692046]
[paragraph, [322.0, 3096.0, 589.0, 52.5], VhfQQ0BZsj, 5692046]
[paragraph, [338.0, 3177.0, 260.0, 52.5], YF55fefkRN, 5692046]
[paragraph, [319.0, 3257.0, 446.0, 52.5], SRxX5T8kCX, 5692046]
