[591, 395]
[folio, [154.0, 42.0, 95.0, 18.0], VFeCu-xKUa, 6492457]
[paragraph, [40.0, 71.0, 316.0, 18.0], hX6khGPrap, 6492457]
[paragraph, [40.0, 89.0, 316.0, 18.0], hX6khGPrap, 6492457]
[paragraph, [45.0, 126.0, 313.0, 18.0], iE1YoBHR_n, 6492457]
[paragraph, [45.0, 144.0, 313.0, 18.0], iE1YoBHR_n, 6492457]
[paragraph, [45.0, 162.0, 313.0, 18.0], iE1YoBHR_n, 6492457]
[paragraph, [45.0, 180.0, 313.0, 18.0], iE1YoBHR_n, 6492457]
[paragraph, [45.0, 198.0, 313.0, 18.0], iE1YoBHR_n, 6492457]
[paragraph, [45.0, 216.0, 313.0, 18.0], iE1YoBHR_n, 6492457]
[paragraph, [39.0, 243.0, 316.0, 18.0], OPIbaFa6Fq, 6492457]
[paragraph, [39.0, 261.0, 316.0, 18.0], OPIbaFa6Fq, 6492457]
[paragraph, [45.0, 307.0, 306.0, 18.0], AKe7KzxC1p, 6492457]
[paragraph, [45.0, 325.0, 306.0, 18.0], AKe7KzxC1p, 6492457]
[paragraph, [32.0, 355.0, 329.0, 18.0], wKzTPoxWdV, 6492457]
[paragraph, [32.0, 373.0, 329.0, 18.0], wKzTPoxWdV, 6492457]
[paragraph, [32.0, 391.0, 329.0, 18.0], wKzTPoxWdV, 6492457]
[paragraph, [32.0, 409.0, 329.0, 18.0], wKzTPoxWdV, 6492457]
[paragraph, [32.0, 427.0, 329.0, 18.0], wKzTPoxWdV, 6492457]
[paragraph, [32.0, 445.0, 329.0, 18.0], wKzTPoxWdV, 6492457]
[paragraph, [32.0, 463.0, 329.0, 18.0], wKzTPoxWdV, 6492457]
[paragraph, [34.0, 488.0, 316.0, 18.0], LZZ34HVoUs, 6492457]
