[3508, 2481]
[contact-info, [711.0, 351.0, 1075.0, 52.5], ZRmQBOSUjH, 6490829]
[contact-info, [711.0, 403.5, 1075.0, 52.5], ZRmQBOSUjH, 6490829]
[headline, [1075.0, 572.0, 301.0, 52.5], GZSa1HW6RP, 6490829]
[headline, [1075.0, 624.5, 301.0, 52.5], GZSa1HW6RP, 6490829]
[dateline, [198.0, 939.0, 450.0, 52.5], UdtN3_2EgX, 6490829]
[paragraph, [192.0, 1206.0, 481.0, 52.5], jfFGGeg_TZ, 6490829]
[paragraph, [198.0, 1318.0, 2089.0, 52.5], Vz2715SEr0, 6490829]
[paragraph, [198.0, 1370.5, 2089.0, 52.5], Vz2715SEr0, 6490829]
[paragraph, [198.0, 1423.0, 2089.0, 52.5], Vz2715SEr0, 6490829]
[paragraph, [198.0, 1475.5, 2089.0, 52.5], Vz2715SEr0, 6490829]
[paragraph, [198.0, 1528.0, 2089.0, 52.5], Vz2715SEr0, 6490829]
[paragraph, [198.0, 1580.5, 2089.0, 52.5], Vz2715SEr0, 6490829]
[paragraph, [208.0, 1691.0, 2064.0, 52.5], PaMzp4FbHn, 6490829]
[paragraph, [208.0, 1743.5, 2064.0, 52.5], PaMzp4FbHn, 6490829]
[paragraph, [208.0, 1796.0, 2064.0, 52.5], PaMzp4FbHn, 6490829]
[paragraph, [208.0, 1848.5, 2064.0, 52.5], PaMzp4FbHn, 6490829]
[paragraph, [208.0, 1901.0, 2064.0, 52.5], PaMzp4FbHn, 6490829]
[paragraph, [208.0, 1953.5, 2064.0, 52.5], PaMzp4FbHn, 6490829]
[paragraph, [208.0, 2006.0, 2064.0, 52.5], PaMzp4FbHn, 6490829]
[paragraph, [183.0, 2148.0, 2142.0, 52.5], pXdXwISB7A, 6490829]
[paragraph, [183.0, 2200.5, 2142.0, 52.5], pXdXwISB7A, 6490829]
[paragraph, [183.0, 2253.0, 2142.0, 52.5], pXdXwISB7A, 6490829]
[paragraph, [183.0, 2305.5, 2142.0, 52.5], pXdXwISB7A, 6490829]
[paragraph, [183.0, 2358.0, 2142.0, 52.5], pXdXwISB7A, 6490829]
[paragraph, [183.0, 2410.5, 2142.0, 52.5], pXdXwISB7A, 6490829]
[paragraph, [183.0, 2463.0, 2142.0, 52.5], pXdXwISB7A, 6490829]
[paragraph, [183.0, 2515.5, 2142.0, 52.5], pXdXwISB7A, 6490829]
[paragraph, [183.0, 2568.0, 2142.0, 52.5], pXdXwISB7A, 6490829]
[paragraph, [183.0, 2620.5, 2142.0, 52.5], pXdXwISB7A, 6490829]
[ordered-list, [267.0, 2746.0, 2033.0, 52.5], OWKJOT7Ffm, 6490829]
[ordered-list, [267.0, 2798.5, 2033.0, 52.5], OWKJOT7Ffm, 6490829]
[ordered-list, [267.0, 2851.0, 2033.0, 52.5], OWKJOT7Ffm, 6490829]
[ordered-list, [267.0, 2903.5, 2033.0, 52.5], OWKJOT7Ffm, 6490829]
[ordered-list, [267.0, 2956.0, 2033.0, 52.5], OWKJOT7Ffm, 6490829]
[ordered-list, [267.0, 3008.5, 2033.0, 52.5], OWKJOT7Ffm, 6490829]
[ordered-list, [267.0, 3061.0, 2033.0, 52.5], OWKJOT7Ffm, 6490829]
[ordered-list, [267.0, 3113.5, 2033.0, 52.5], OWKJOT7Ffm, 6490829]
[ordered-list, [267.0, 3166.0, 2033.0, 52.5], OWKJOT7Ffm, 6490829]
[ordered-list, [267.0, 3218.5, 2033.0, 52.5], OWKJOT7Ffm, 6490829]
[ordered-list, [267.0, 3271.0, 2033.0, 52.5], OWKJOT7Ffm, 6490829]
[ordered-list, [267.0, 3323.5, 2033.0, 52.5], OWKJOT7Ffm, 6490829]
