[1601, 1158]
[headline, [163.0, 84.0, 819.0, 37.5], shoonya_12sBQAUJZZNR1Z, 5695413]
[headline, [163.0, 121.5, 819.0, 37.5], shoonya_12sBQAUJZZNR1Z, 5695413]
[headline, [163.0, 159.0, 819.0, 37.5], shoonya_12sBQAUJZZNR1Z, 5695413]
[headline, [163.0, 196.5, 819.0, 37.5], shoonya_12sBQAUJZZNR1Z, 5695413]
[headline, [163.0, 234.0, 819.0, 37.5], shoonya_12sBQAUJZZNR1Z, 5695413]
[author, [474.0, 311.0, 210.0, 36.0], JOx_sqI3ju, 5695413]
[paragraph, [455.0, 437.0, 593.0, 36.0], shoonya_3sAWXIV610CU4G, 5695413]
[paragraph, [461.0, 507.0, 588.0, 36.0], shoonya_1sYLPERRLU0UTC, 5695413]
[paragraph, [461.0, 543.0, 588.0, 36.0], shoonya_1sYLPERRLU0UTC, 5695413]
[paragraph, [461.0, 579.0, 588.0, 36.0], shoonya_1sYLPERRLU0UTC, 5695413]
[paragraph, [461.0, 615.0, 588.0, 36.0], shoonya_1sYLPERRLU0UTC, 5695413]
[paragraph, [517.0, 662.0, 532.0, 36.0], shoonya_0sLMQM3CZHQTM9, 5695413]
[paragraph, [517.0, 698.0, 532.0, 36.0], shoonya_0sLMQM3CZHQTM9, 5695413]
[paragraph, [517.0, 734.0, 532.0, 36.0], shoonya_0sLMQM3CZHQTM9, 5695413]
[paragraph, [517.0, 770.0, 532.0, 36.0], shoonya_0sLMQM3CZHQTM9, 5695413]
[paragraph, [629.0, 822.0, 419.0, 36.0], shoonya_5sMCNMLL7Z9UZY, 5695413]
[paragraph, [629.0, 858.0, 419.0, 36.0], shoonya_5sMCNMLL7Z9UZY, 5695413]
[paragraph, [629.0, 894.0, 419.0, 36.0], shoonya_5sMCNMLL7Z9UZY, 5695413]
[paragraph, [629.0, 930.0, 419.0, 36.0], shoonya_5sMCNMLL7Z9UZY, 5695413]
[paragraph, [629.0, 966.0, 419.0, 36.0], shoonya_5sMCNMLL7Z9UZY, 5695413]
[paragraph, [629.0, 1002.0, 419.0, 36.0], shoonya_5sMCNMLL7Z9UZY, 5695413]
[paragraph, [629.0, 1038.0, 419.0, 36.0], shoonya_5sMCNMLL7Z9UZY, 5695413]
[paragraph, [589.0, 1073.0, 465.0, 36.0], shoonya_2s3HRGPSWKE12T, 5695413]
[paragraph, [589.0, 1109.0, 465.0, 36.0], shoonya_2s3HRGPSWKE12T, 5695413]
[paragraph, [589.0, 1145.0, 465.0, 36.0], shoonya_2s3HRGPSWKE12T, 5695413]
[paragraph, [589.0, 1181.0, 465.0, 36.0], shoonya_2s3HRGPSWKE12T, 5695413]
[paragraph, [589.0, 1217.0, 465.0, 36.0], shoonya_2s3HRGPSWKE12T, 5695413]
[paragraph, [589.0, 1253.0, 465.0, 36.0], shoonya_2s3HRGPSWKE12T, 5695413]
[paragraph, [715.0, 1294.0, 342.0, 36.0], shoonya_8sIJM43HSB5ZTN, 5695413]
[paragraph, [715.0, 1330.0, 342.0, 36.0], shoonya_8sIJM43HSB5ZTN, 5695413]
[paragraph, [715.0, 1366.0, 342.0, 36.0], shoonya_8sIJM43HSB5ZTN, 5695413]
[paragraph, [715.0, 1402.0, 342.0, 36.0], shoonya_8sIJM43HSB5ZTN, 5695413]
