[3020, 1800]
[paragraph, [914.0, 382.0, 830.0, 52.5], shoonya_6s2P1X6Y3NEIT8, 5694272]
[paragraph, [914.0, 434.5, 830.0, 52.5], shoonya_6s2P1X6Y3NEIT8, 5694272]
[paragraph, [50.0, 436.0, 831.0, 52.5], shoonya_16sS6RKD3NEPLK, 5694272]
[paragraph, [50.0, 488.5, 831.0, 52.5], shoonya_16sS6RKD3NEPLK, 5694272]
[paragraph, [50.0, 541.0, 831.0, 52.5], shoonya_16sS6RKD3NEPLK, 5694272]
[paragraph, [50.0, 593.5, 831.0, 52.5], shoonya_16sS6RKD3NEPLK, 5694272]
[paragraph, [50.0, 646.0, 831.0, 52.5], shoonya_16sS6RKD3NEPLK, 5694272]
[paragraph, [50.0, 698.5, 831.0, 52.5], shoonya_16sS6RKD3NEPLK, 5694272]
[paragraph, [50.0, 751.0, 831.0, 52.5], shoonya_16sS6RKD3NEPLK, 5694272]
[paragraph, [914.0, 534.0, 829.0, 52.5], shoonya_17sZ3DXHGLVPFS, 5694272]
[paragraph, [914.0, 586.5, 829.0, 52.5], shoonya_17sZ3DXHGLVPFS, 5694272]
[paragraph, [914.0, 639.0, 829.0, 52.5], shoonya_17sZ3DXHGLVPFS, 5694272]
[paragraph, [911.0, 721.0, 834.0, 52.5], shoonya_21s3R6JETN7QFD, 5694272]
[paragraph, [911.0, 773.5, 834.0, 52.5], shoonya_21s3R6JETN7QFD, 5694272]
[paragraph, [51.0, 828.0, 828.0, 52.5], shoonya_14sVYTA2X29KU5, 5694272]
[paragraph, [916.0, 923.0, 831.0, 52.5], shoonya_2sVAK2GT0S0A3K, 5694272]
[paragraph, [916.0, 975.5, 831.0, 52.5], shoonya_2sVAK2GT0S0A3K, 5694272]
[paragraph, [916.0, 1028.0, 831.0, 52.5], shoonya_2sVAK2GT0S0A3K, 5694272]
[paragraph, [916.0, 1080.5, 831.0, 52.5], shoonya_2sVAK2GT0S0A3K, 5694272]
[paragraph, [50.0, 972.0, 828.0, 52.5], shoonya_9s608FERU49GO2, 5694272]
[paragraph, [43.0, 1073.0, 836.0, 52.5], shoonya_8sCEOSN4NAXGJZ, 5694272]
[paragraph, [43.0, 1125.5, 836.0, 52.5], shoonya_8sCEOSN4NAXGJZ, 5694272]
[paragraph, [43.0, 1178.0, 836.0, 52.5], shoonya_8sCEOSN4NAXGJZ, 5694272]
[paragraph, [916.0, 1173.0, 829.0, 52.5], shoonya_5sBYRH9PGULAX6, 5694272]
[paragraph, [916.0, 1225.5, 829.0, 52.5], shoonya_5sBYRH9PGULAX6, 5694272]
[paragraph, [50.0, 1272.0, 828.0, 52.5], shoonya_10s3DDVPD8Z43E, 5694272]
[paragraph, [50.0, 1324.5, 828.0, 52.5], shoonya_10s3DDVPD8Z43E, 5694272]
[paragraph, [914.0, 1319.0, 836.0, 52.5], shoonya_1s3K4X8XWOOOX0, 5694272]
[paragraph, [914.0, 1371.5, 836.0, 52.5], shoonya_1s3K4X8XWOOOX0, 5694272]
[paragraph, [914.0, 1424.0, 836.0, 52.5], shoonya_1s3K4X8XWOOOX0, 5694272]
