[1650, 1275]
[sub-section-title, [423.0, 323.0, 460.0, 36.0], lBKXAa5Q83, 5781499]
[unordered-list, [215.0, 450.0, 839.0, 36.0], GSqUJZK9rV, 5781499]
[unordered-list, [210.0, 549.0, 930.0, 36.0], shoonya_0sCSOV2M1OPUKH, 5781499]
[unordered-list, [210.0, 585.0, 930.0, 36.0], shoonya_0sCSOV2M1OPUKH, 5781499]
[unordered-list, [210.0, 621.0, 930.0, 36.0], shoonya_0sCSOV2M1OPUKH, 5781499]
[unordered-list, [210.0, 657.0, 930.0, 36.0], shoonya_0sCSOV2M1OPUKH, 5781499]
[unordered-list, [210.0, 793.0, 930.0, 36.0], -mEtPhyNxy, 5781499]
[unordered-list, [210.0, 829.0, 930.0, 36.0], -mEtPhyNxy, 5781499]
[subsub-section-title, [167.0, 973.0, 145.0, 43.5], 9pwHN-m_Pn, 5781499]
[ordered-list, [200.0, 1023.0, 938.0, 36.0], Z1w7Pzgj2n, 5781499]
[ordered-list, [200.0, 1059.0, 938.0, 36.0], Z1w7Pzgj2n, 5781499]
[ordered-list, [200.0, 1095.0, 938.0, 36.0], Z1w7Pzgj2n, 5781499]
[ordered-list, [200.0, 1131.0, 938.0, 36.0], Z1w7Pzgj2n, 5781499]
[ordered-list, [200.0, 1167.0, 938.0, 36.0], Z1w7Pzgj2n, 5781499]
[ordered-list, [206.0, 1291.0, 942.0, 36.0], tZwJIHYh0-, 5781499]
[ordered-list, [206.0, 1327.0, 942.0, 36.0], tZwJIHYh0-, 5781499]
[ordered-list, [206.0, 1363.0, 942.0, 36.0], tZwJIHYh0-, 5781499]
[ordered-list, [206.0, 1399.0, 942.0, 36.0], tZwJIHYh0-, 5781499]
[ordered-list, [206.0, 1435.0, 942.0, 36.0], tZwJIHYh0-, 5781499]
[ordered-list, [206.0, 1471.0, 942.0, 36.0], tZwJIHYh0-, 5781499]
[ordered-list, [206.0, 1507.0, 942.0, 36.0], tZwJIHYh0-, 5781499]
[ordered-list, [206.0, 1543.0, 942.0, 36.0], tZwJIHYh0-, 5781499]
