[792, 612]
[section-title, [313.0, 293.0, 159.0, 30.0], dFRcZ9TFlb, 6515713]
[paragraph, [235.0, 374.0, 303.0, 18.0], jq23yRUQlK, 6515713]
[paragraph, [235.0, 392.0, 303.0, 18.0], jq23yRUQlK, 6515713]
[paragraph, [235.0, 410.0, 303.0, 18.0], jq23yRUQlK, 6515713]
[paragraph, [235.0, 428.0, 303.0, 18.0], jq23yRUQlK, 6515713]
[paragraph, [235.0, 446.0, 303.0, 18.0], jq23yRUQlK, 6515713]
[paragraph, [235.0, 464.0, 303.0, 18.0], jq23yRUQlK, 6515713]
[paragraph, [235.0, 482.0, 303.0, 18.0], jq23yRUQlK, 6515713]
[paragraph, [223.0, 511.0, 155.0, 18.0], 23SYOdOObg, 6515713]
[paragraph, [223.0, 529.0, 155.0, 18.0], 23SYOdOObg, 6515713]
[paragraph, [223.0, 547.0, 155.0, 18.0], 23SYOdOObg, 6515713]
[paragraph, [389.0, 511.0, 145.0, 18.0], GY9k_TH8dn, 6515713]
[paragraph, [389.0, 529.0, 145.0, 18.0], GY9k_TH8dn, 6515713]
[paragraph, [389.0, 547.0, 145.0, 18.0], GY9k_TH8dn, 6515713]
[paragraph, [389.0, 565.0, 145.0, 18.0], GY9k_TH8dn, 6515713]
[paragraph, [389.0, 583.0, 145.0, 18.0], GY9k_TH8dn, 6515713]
[paragraph, [389.0, 601.0, 145.0, 18.0], GY9k_TH8dn, 6515713]
[paragraph, [227.0, 570.0, 151.0, 18.0], KpogeVCqcd, 6515713]
[paragraph, [227.0, 588.0, 151.0, 18.0], KpogeVCqcd, 6515713]
[paragraph, [227.0, 606.0, 151.0, 18.0], KpogeVCqcd, 6515713]
