[1275, 750]
[folio, [306.0, 86.0, 132.0, 18.0], shoonya_1sLNM2DMY4WVIV, 5767750]
[paragraph, [59.0, 154.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 172.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 190.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 208.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 226.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 244.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 262.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 280.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 298.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 316.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 334.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 352.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 370.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 388.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 406.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 424.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 442.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 460.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 478.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 496.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 514.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
[paragraph, [59.0, 532.0, 627.0, 18.0], shoonya_2sP9QA5C7HKMRG, 5767750]
