[3060, 3960]
[section-title, [949.0, 508.0, 352.0, 93.0], shoonya_3sLU7653FTBUWY, 5695698]
[unordered-list, [101.0, 729.0, 2083.0, 52.5], shoonya_9sF204USK21J0W, 5695698]
[unordered-list, [101.0, 781.5, 2083.0, 52.5], shoonya_9sF204USK21J0W, 5695698]
[unordered-list, [101.0, 834.0, 2083.0, 52.5], shoonya_9sF204USK21J0W, 5695698]
[unordered-list, [101.0, 886.5, 2083.0, 52.5], shoonya_9sF204USK21J0W, 5695698]
[unordered-list, [101.0, 939.0, 2083.0, 52.5], shoonya_9sF204USK21J0W, 5695698]
[unordered-list, [101.0, 991.5, 2083.0, 52.5], shoonya_9sF204USK21J0W, 5695698]
[unordered-list, [101.0, 1044.0, 2083.0, 52.5], shoonya_9sF204USK21J0W, 5695698]
[unordered-list, [101.0, 1096.5, 2083.0, 52.5], shoonya_9sF204USK21J0W, 5695698]
[unordered-list, [101.0, 1149.0, 2083.0, 52.5], shoonya_9sF204USK21J0W, 5695698]
[unordered-list, [101.0, 1201.5, 2083.0, 52.5], shoonya_9sF204USK21J0W, 5695698]
[unordered-list, [101.0, 1254.0, 2083.0, 52.5], shoonya_9sF204USK21J0W, 5695698]
[figure-caption, [2820.0, 1492.0, 573.0, 52.5], shoonya_4s4DBVJ64GFUCC, 5695698]
[figure-caption, [2820.0, 1544.5, 573.0, 52.5], shoonya_4s4DBVJ64GFUCC, 5695698]
[folio, [1692.0, 2456.0, 398.0, 52.5], shoonya_7sLN68BAJABLAA, 5695698]
[folio, [1692.0, 2508.5, 398.0, 52.5], shoonya_7sLN68BAJABLAA, 5695698]
