[1606, 1056]
[folio, [443.0, 102.0, 161.0, 36.0], shoonya_2sWIE0NTUNK1HZ, 5683577]
[paragraph, [105.0, 160.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 196.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 232.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 268.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 304.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 340.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 376.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 412.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 448.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 484.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 520.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 556.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 592.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 628.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 664.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 700.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 736.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 772.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 808.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 844.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 880.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 916.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 952.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 988.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 1024.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 1060.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 1096.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 1132.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 1168.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 1204.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 1240.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 1276.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 1312.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 1348.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 1384.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 1420.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
[paragraph, [105.0, 1456.0, 840.0, 36.0], shoonya_0sDT7LPE5QDATI, 5683577]
