[2339, 1656]
[folio, [415.0, 22.0, 494.0, 36.0], lMsp0FTW3B, 5656515]
[chapter-title, [97.0, 105.0, 1507.0, 70.5], YW2_XmCjvU, 5656515]
[author, [690.0, 273.0, 266.0, 36.0], shoonya_3sS7HDURUK6BKJ, 5656515]
[contact-info, [382.0, 325.0, 895.0, 36.0], 3Zh8a4yM-A, 5656515]
[contact-info, [382.0, 361.0, 895.0, 36.0], 3Zh8a4yM-A, 5656515]
[contact-info, [382.0, 397.0, 895.0, 36.0], 3Zh8a4yM-A, 5656515]
[contact-info, [382.0, 433.0, 895.0, 36.0], 3Zh8a4yM-A, 5656515]
[contact-info, [382.0, 469.0, 895.0, 36.0], 3Zh8a4yM-A, 5656515]
[paragraph, [65.0, 640.0, 1510.0, 36.0], shoonya_2sMH2IMOJA60JI, 5656515]
[paragraph, [65.0, 676.0, 1510.0, 36.0], shoonya_2sMH2IMOJA60JI, 5656515]
[paragraph, [65.0, 712.0, 1510.0, 36.0], shoonya_2sMH2IMOJA60JI, 5656515]
[paragraph, [65.0, 748.0, 1510.0, 36.0], shoonya_2sMH2IMOJA60JI, 5656515]
[paragraph, [65.0, 784.0, 1510.0, 36.0], shoonya_2sMH2IMOJA60JI, 5656515]
[paragraph, [65.0, 820.0, 1510.0, 36.0], shoonya_2sMH2IMOJA60JI, 5656515]
[paragraph, [65.0, 856.0, 1510.0, 36.0], shoonya_2sMH2IMOJA60JI, 5656515]
[paragraph, [65.0, 892.0, 1510.0, 36.0], shoonya_2sMH2IMOJA60JI, 5656515]
[paragraph, [65.0, 928.0, 1510.0, 36.0], shoonya_2sMH2IMOJA60JI, 5656515]
[paragraph, [65.0, 964.0, 1510.0, 36.0], shoonya_2sMH2IMOJA60JI, 5656515]
[paragraph, [65.0, 1000.0, 1510.0, 36.0], shoonya_2sMH2IMOJA60JI, 5656515]
[paragraph, [56.0, 1059.0, 1524.0, 36.0], shoonya_0sZ98S6GUGRWK2, 5656515]
[paragraph, [56.0, 1095.0, 1524.0, 36.0], shoonya_0sZ98S6GUGRWK2, 5656515]
[paragraph, [56.0, 1131.0, 1524.0, 36.0], shoonya_0sZ98S6GUGRWK2, 5656515]
[paragraph, [56.0, 1167.0, 1524.0, 36.0], shoonya_0sZ98S6GUGRWK2, 5656515]
[paragraph, [56.0, 1203.0, 1524.0, 36.0], shoonya_0sZ98S6GUGRWK2, 5656515]
[paragraph, [56.0, 1239.0, 1524.0, 36.0], shoonya_0sZ98S6GUGRWK2, 5656515]
[paragraph, [56.0, 1275.0, 1524.0, 36.0], shoonya_0sZ98S6GUGRWK2, 5656515]
[paragraph, [56.0, 1311.0, 1524.0, 36.0], shoonya_0sZ98S6GUGRWK2, 5656515]
[paragraph, [56.0, 1347.0, 1524.0, 36.0], shoonya_0sZ98S6GUGRWK2, 5656515]
[paragraph, [56.0, 1383.0, 1524.0, 36.0], shoonya_0sZ98S6GUGRWK2, 5656515]
[paragraph, [56.0, 1419.0, 1524.0, 36.0], shoonya_0sZ98S6GUGRWK2, 5656515]
[paragraph, [56.0, 1455.0, 1524.0, 36.0], shoonya_0sZ98S6GUGRWK2, 5656515]
[paragraph, [56.0, 1491.0, 1524.0, 36.0], shoonya_0sZ98S6GUGRWK2, 5656515]
[paragraph, [56.0, 1527.0, 1524.0, 36.0], shoonya_0sZ98S6GUGRWK2, 5656515]
[paragraph, [56.0, 1563.0, 1524.0, 36.0], shoonya_0sZ98S6GUGRWK2, 5656515]
[paragraph, [56.0, 1599.0, 1524.0, 36.0], shoonya_0sZ98S6GUGRWK2, 5656515]
[paragraph, [56.0, 1635.0, 1524.0, 36.0], shoonya_0sZ98S6GUGRWK2, 5656515]
[paragraph, [56.0, 1671.0, 1524.0, 36.0], shoonya_0sZ98S6GUGRWK2, 5656515]
[paragraph, [74.0, 1722.0, 1490.0, 36.0], shoonya_1sIV7NRM200JW9, 5656515]
[paragraph, [74.0, 1758.0, 1490.0, 36.0], shoonya_1sIV7NRM200JW9, 5656515]
[paragraph, [74.0, 1794.0, 1490.0, 36.0], shoonya_1sIV7NRM200JW9, 5656515]
[paragraph, [74.0, 1830.0, 1490.0, 36.0], shoonya_1sIV7NRM200JW9, 5656515]
[paragraph, [74.0, 1866.0, 1490.0, 36.0], shoonya_1sIV7NRM200JW9, 5656515]
[paragraph, [74.0, 1902.0, 1490.0, 36.0], shoonya_1sIV7NRM200JW9, 5656515]
[paragraph, [74.0, 1938.0, 1490.0, 36.0], shoonya_1sIV7NRM200JW9, 5656515]
[paragraph, [74.0, 1974.0, 1490.0, 36.0], shoonya_1sIV7NRM200JW9, 5656515]
[paragraph, [74.0, 2010.0, 1490.0, 36.0], shoonya_1sIV7NRM200JW9, 5656515]
[paragraph, [74.0, 2046.0, 1490.0, 36.0], shoonya_1sIV7NRM200JW9, 5656515]
[paragraph, [74.0, 2082.0, 1490.0, 36.0], shoonya_1sIV7NRM200JW9, 5656515]
[footnote, [357.0, 2259.0, 964.0, 36.0], hPTllSJeAR, 5656515]
