[3509, 2482]
[folio, [1799.0, 500.0, 190.0, 52.5], W0PAJnI8fT, 5692017]
[paragraph, [181.0, 607.0, 1830.0, 52.5], fXFyA7iF-F, 5692017]
[paragraph, [173.0, 704.0, 1829.0, 52.5], CTL3qp2BXz, 5692017]
[paragraph, [173.0, 756.5, 1829.0, 52.5], CTL3qp2BXz, 5692017]
[paragraph, [173.0, 809.0, 1829.0, 52.5], CTL3qp2BXz, 5692017]
[paragraph, [173.0, 861.5, 1829.0, 52.5], CTL3qp2BXz, 5692017]
[paragraph, [190.0, 920.0, 621.0, 52.5], V1Y1GMXfCS, 5692017]
[paragraph, [269.0, 995.0, 1655.0, 52.5], A_6pJg8eOu, 5692017]
[paragraph, [261.0, 1076.0, 715.0, 52.5], Z0WgGk_3hd, 5692017]
[paragraph, [165.0, 1146.0, 1825.0, 52.5], vTqOfzGjEL, 5692017]
[paragraph, [165.0, 1198.5, 1825.0, 52.5], vTqOfzGjEL, 5692017]
[paragraph, [291.0, 1308.0, 243.0, 52.5], Kfs84DMqS2, 5692017]
[paragraph, [199.0, 1360.0, 1784.0, 52.5], oLxz7GrOeD, 5692017]
[paragraph, [199.0, 1412.5, 1784.0, 52.5], oLxz7GrOeD, 5692017]
[paragraph, [199.0, 1465.0, 1784.0, 52.5], oLxz7GrOeD, 5692017]
[paragraph, [291.0, 1537.0, 534.0, 52.5], NbkfXOz7rV, 5692017]
[paragraph, [213.0, 1614.0, 464.0, 52.5], CIfqRvGZb0, 5692017]
[paragraph, [184.0, 1687.0, 1827.0, 52.5], FWyPVZeuWr, 5692017]
[paragraph, [184.0, 1739.5, 1827.0, 52.5], FWyPVZeuWr, 5692017]
[paragraph, [184.0, 1792.0, 1827.0, 52.5], FWyPVZeuWr, 5692017]
[paragraph, [184.0, 1844.5, 1827.0, 52.5], FWyPVZeuWr, 5692017]
[paragraph, [187.0, 1918.0, 1824.0, 52.5], 6IYfBxhaDy, 5692017]
[paragraph, [187.0, 1970.5, 1824.0, 52.5], 6IYfBxhaDy, 5692017]
[paragraph, [187.0, 2069.0, 1818.0, 52.5], cLdlC2XG6E, 5692017]
[paragraph, [187.0, 2121.5, 1818.0, 52.5], cLdlC2XG6E, 5692017]
[paragraph, [187.0, 2174.0, 1818.0, 52.5], cLdlC2XG6E, 5692017]
[paragraph, [187.0, 2226.5, 1818.0, 52.5], cLdlC2XG6E, 5692017]
[paragraph, [187.0, 2279.0, 1818.0, 52.5], cLdlC2XG6E, 5692017]
[paragraph, [309.0, 2372.0, 783.0, 52.5], Dsy_CCzjuS, 5692017]
[paragraph, [291.0, 2436.0, 988.0, 52.5], p3k6h5Hu_R, 5692017]
[paragraph, [313.0, 2524.0, 896.0, 52.5], Iv-CJmaeVf, 5692017]
[paragraph, [306.0, 2605.0, 582.0, 52.5], dSJzJtCJCe, 5692017]
[paragraph, [309.0, 2690.0, 324.0, 52.5], p6ZMz4ssbv, 5692017]
[paragraph, [317.0, 2757.0, 1408.0, 52.5], Uw4Wh1RQdt, 5692017]
[paragraph, [306.0, 2838.0, 442.0, 52.5], nZnKVuhEJl, 5692017]
[paragraph, [258.0, 2911.0, 486.0, 52.5], TyjfZNR-Se, 5692017]
[paragraph, [231.0, 2989.0, 1780.0, 52.5], bl9IrQYyxh, 5692017]
[paragraph, [231.0, 3041.5, 1780.0, 52.5], bl9IrQYyxh, 5692017]
[paragraph, [231.0, 3094.0, 1780.0, 52.5], bl9IrQYyxh, 5692017]
[paragraph, [231.0, 3146.5, 1780.0, 52.5], bl9IrQYyxh, 5692017]
[folio, [361.0, 3239.0, 437.0, 52.5], shoonya_0sC94SNCHY3PBQ, 5692017]
