[842, 596]
[website-link, [405.0, 28.0, 127.0, 18.0], EGDr_ye2JY, 6463767]
[folio, [64.0, 29.0, 72.0, 18.0], rZ_iqUipVK, 6463767]
[paragraph, [127.0, 63.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 81.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 99.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 117.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 135.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 153.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 171.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 189.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 207.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 225.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 243.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 261.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 279.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 297.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 315.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 333.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 351.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 369.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 387.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 405.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 423.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 441.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 459.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 477.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 495.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 513.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 531.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 549.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 567.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 585.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 603.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 621.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 639.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 657.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 675.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[paragraph, [127.0, 693.0, 285.0, 18.0], shoonya_0sLQ4AQOM6QR1T, 6463767]
[footnote, [66.0, 734.0, 106.0, 18.0], shoonya_2sVU5C6JGTXTJ4, 6463767]
[footnote, [66.0, 752.0, 106.0, 18.0], shoonya_2sVU5C6JGTXTJ4, 6463767]
