[1004, 621]
[paragraph, [32.0, 102.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 120.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 138.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 156.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 174.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 192.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 210.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 228.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 246.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 264.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 282.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 300.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 318.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 336.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 354.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 372.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 390.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 408.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 426.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 444.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 462.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 480.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 498.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 516.0, 547.0, 18.0], 5c74QI1yfY, 5740875]
[paragraph, [32.0, 558.0, 545.0, 18.0], xUgg5PvTeJ, 5740875]
[paragraph, [32.0, 576.0, 545.0, 18.0], xUgg5PvTeJ, 5740875]
[paragraph, [32.0, 594.0, 545.0, 18.0], xUgg5PvTeJ, 5740875]
[paragraph, [32.0, 612.0, 545.0, 18.0], xUgg5PvTeJ, 5740875]
[paragraph, [32.0, 630.0, 545.0, 18.0], xUgg5PvTeJ, 5740875]
[paragraph, [32.0, 648.0, 545.0, 18.0], xUgg5PvTeJ, 5740875]
[paragraph, [32.0, 666.0, 545.0, 18.0], xUgg5PvTeJ, 5740875]
[paragraph, [32.0, 706.0, 548.0, 18.0], g9aJhU6I-0, 5740875]
[paragraph, [32.0, 724.0, 548.0, 18.0], g9aJhU6I-0, 5740875]
[paragraph, [32.0, 742.0, 548.0, 18.0], g9aJhU6I-0, 5740875]
[paragraph, [32.0, 760.0, 548.0, 18.0], g9aJhU6I-0, 5740875]
[paragraph, [32.0, 778.0, 548.0, 18.0], g9aJhU6I-0, 5740875]
[paragraph, [32.0, 796.0, 548.0, 18.0], g9aJhU6I-0, 5740875]
[paragraph, [32.0, 814.0, 548.0, 18.0], g9aJhU6I-0, 5740875]
[paragraph, [32.0, 832.0, 548.0, 18.0], g9aJhU6I-0, 5740875]
[paragraph, [32.0, 850.0, 548.0, 18.0], g9aJhU6I-0, 5740875]
[paragraph, [32.0, 868.0, 548.0, 18.0], g9aJhU6I-0, 5740875]
[paragraph, [32.0, 886.0, 548.0, 18.0], g9aJhU6I-0, 5740875]
[paragraph, [32.0, 904.0, 548.0, 18.0], g9aJhU6I-0, 5740875]
[paragraph, [32.0, 922.0, 548.0, 18.0], g9aJhU6I-0, 5740875]
