[792, 612]
[section-title, [174.0, 187.0, 162.0, 30.0], nFdtd8eQNP, 6516815]
[paragraph, [175.0, 240.0, 299.0, 18.0], shoonya_0sSK7HYIB04YUQ, 6516815]
[paragraph, [175.0, 258.0, 299.0, 18.0], shoonya_0sSK7HYIB04YUQ, 6516815]
[paragraph, [175.0, 276.0, 299.0, 18.0], shoonya_0sSK7HYIB04YUQ, 6516815]
[paragraph, [175.0, 311.0, 300.0, 18.0], shoonya_1sIRSB3MA3RQ86, 6516815]
[paragraph, [175.0, 329.0, 300.0, 18.0], shoonya_1sIRSB3MA3RQ86, 6516815]
[paragraph, [175.0, 347.0, 300.0, 18.0], shoonya_1sIRSB3MA3RQ86, 6516815]
[paragraph, [175.0, 365.0, 300.0, 18.0], shoonya_1sIRSB3MA3RQ86, 6516815]
[paragraph, [175.0, 383.0, 300.0, 18.0], shoonya_1sIRSB3MA3RQ86, 6516815]
[paragraph, [175.0, 401.0, 300.0, 18.0], shoonya_1sIRSB3MA3RQ86, 6516815]
[paragraph, [175.0, 419.0, 300.0, 18.0], shoonya_1sIRSB3MA3RQ86, 6516815]
[paragraph, [174.0, 446.0, 301.0, 18.0], shoonya_2sJU5Y39EJCMYR, 6516815]
[paragraph, [174.0, 464.0, 301.0, 18.0], shoonya_2sJU5Y39EJCMYR, 6516815]
[paragraph, [174.0, 482.0, 301.0, 18.0], shoonya_2sJU5Y39EJCMYR, 6516815]
[paragraph, [175.0, 513.0, 299.0, 18.0], shoonya_3s7GPHOTD9YQQV, 6516815]
[paragraph, [175.0, 531.0, 299.0, 18.0], shoonya_3s7GPHOTD9YQQV, 6516815]
