[1034, 680]
[folio, [231.0, 63.0, 217.0, 18.0], Xc-8wyCcrA, 5739997]
[folio, [231.0, 81.0, 217.0, 18.0], Xc-8wyCcrA, 5739997]
[paragraph, [64.0, 120.0, 545.0, 18.0], 68viJD5Lqy, 5739997]
[paragraph, [64.0, 138.0, 545.0, 18.0], 68viJD5Lqy, 5739997]
[paragraph, [64.0, 156.0, 545.0, 18.0], 68viJD5Lqy, 5739997]
[paragraph, [64.0, 174.0, 545.0, 18.0], 68viJD5Lqy, 5739997]
[paragraph, [64.0, 202.0, 550.0, 18.0], -0UKEdvnTx, 5739997]
[paragraph, [64.0, 220.0, 550.0, 18.0], -0UKEdvnTx, 5739997]
[paragraph, [64.0, 238.0, 550.0, 18.0], -0UKEdvnTx, 5739997]
[paragraph, [64.0, 256.0, 550.0, 18.0], -0UKEdvnTx, 5739997]
[paragraph, [64.0, 274.0, 550.0, 18.0], -0UKEdvnTx, 5739997]
[paragraph, [64.0, 292.0, 550.0, 18.0], -0UKEdvnTx, 5739997]
[paragraph, [64.0, 310.0, 550.0, 18.0], -0UKEdvnTx, 5739997]
[paragraph, [64.0, 328.0, 550.0, 18.0], -0UKEdvnTx, 5739997]
[paragraph, [64.0, 346.0, 550.0, 18.0], -0UKEdvnTx, 5739997]
[paragraph, [64.0, 364.0, 550.0, 18.0], -0UKEdvnTx, 5739997]
[paragraph, [64.0, 382.0, 550.0, 18.0], -0UKEdvnTx, 5739997]
[paragraph, [64.0, 400.0, 550.0, 18.0], -0UKEdvnTx, 5739997]
[paragraph, [64.0, 418.0, 550.0, 18.0], -0UKEdvnTx, 5739997]
[paragraph, [64.0, 436.0, 550.0, 18.0], -0UKEdvnTx, 5739997]
[paragraph, [64.0, 454.0, 550.0, 18.0], -0UKEdvnTx, 5739997]
[paragraph, [64.0, 472.0, 550.0, 18.0], -0UKEdvnTx, 5739997]
[paragraph, [64.0, 490.0, 550.0, 18.0], -0UKEdvnTx, 5739997]
[paragraph, [64.0, 522.0, 546.0, 18.0], TEd_1nxTSW, 5739997]
[paragraph, [64.0, 540.0, 546.0, 18.0], TEd_1nxTSW, 5739997]
[paragraph, [64.0, 558.0, 546.0, 18.0], TEd_1nxTSW, 5739997]
[paragraph, [64.0, 576.0, 546.0, 18.0], TEd_1nxTSW, 5739997]
[paragraph, [64.0, 594.0, 546.0, 18.0], TEd_1nxTSW, 5739997]
[paragraph, [64.0, 612.0, 546.0, 18.0], TEd_1nxTSW, 5739997]
[paragraph, [64.0, 630.0, 546.0, 18.0], TEd_1nxTSW, 5739997]
[paragraph, [64.0, 648.0, 546.0, 18.0], TEd_1nxTSW, 5739997]
[paragraph, [64.0, 666.0, 546.0, 18.0], TEd_1nxTSW, 5739997]
[paragraph, [64.0, 684.0, 546.0, 18.0], TEd_1nxTSW, 5739997]
[paragraph, [64.0, 702.0, 546.0, 18.0], TEd_1nxTSW, 5739997]
[paragraph, [60.0, 747.0, 540.0, 18.0], shoonya_0s009E1QAGDTBL, 5739997]
[paragraph, [60.0, 765.0, 540.0, 18.0], shoonya_0s009E1QAGDTBL, 5739997]
[paragraph, [60.0, 783.0, 540.0, 18.0], shoonya_0s009E1QAGDTBL, 5739997]
[paragraph, [60.0, 801.0, 540.0, 18.0], shoonya_0s009E1QAGDTBL, 5739997]
[paragraph, [60.0, 819.0, 540.0, 18.0], shoonya_0s009E1QAGDTBL, 5739997]
[paragraph, [60.0, 837.0, 540.0, 18.0], shoonya_0s009E1QAGDTBL, 5739997]
[paragraph, [60.0, 855.0, 540.0, 18.0], shoonya_0s009E1QAGDTBL, 5739997]
[paragraph, [60.0, 873.0, 540.0, 18.0], shoonya_0s009E1QAGDTBL, 5739997]
[paragraph, [60.0, 891.0, 540.0, 18.0], shoonya_0s009E1QAGDTBL, 5739997]
[paragraph, [60.0, 909.0, 540.0, 18.0], shoonya_0s009E1QAGDTBL, 5739997]
[paragraph, [60.0, 927.0, 540.0, 18.0], shoonya_0s009E1QAGDTBL, 5739997]
