[1162, 749]
[folio, [309.0, 76.0, 124.0, 18.0], shoonya_2sAQ1ULWNVWH1L, 5699382]
[paragraph, [85.0, 121.0, 579.0, 18.0], QeB83qmcaV, 5699382]
[paragraph, [85.0, 139.0, 579.0, 18.0], QeB83qmcaV, 5699382]
[paragraph, [85.0, 157.0, 579.0, 18.0], QeB83qmcaV, 5699382]
[paragraph, [83.0, 189.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 207.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 225.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 243.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 261.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 279.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 297.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 315.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 333.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 351.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 369.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 387.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 405.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 423.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 441.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 459.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 477.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 495.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 513.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 531.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 549.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 567.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 585.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [83.0, 603.0, 581.0, 18.0], shoonya_1sFR2AO4E9QAPB, 5699382]
[paragraph, [80.0, 641.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 659.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 677.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 695.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 713.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 731.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 749.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 767.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 785.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 803.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 821.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 839.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 857.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 875.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 893.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 911.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 929.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 947.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 965.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 983.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 1001.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 1019.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 1037.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 1055.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
[paragraph, [80.0, 1073.0, 584.0, 18.0], shoonya_0s2IAMFOD8MBG2, 5699382]
