[1875, 1200]
[folio, [249.0, 199.0, 750.0, 36.0], 0wDEKVpQlt, 5710938]
[paragraph, [185.0, 265.0, 819.0, 36.0], shoonya_3sCU9SSNBQDOIV, 5710938]
[paragraph, [185.0, 301.0, 819.0, 36.0], shoonya_3sCU9SSNBQDOIV, 5710938]
[paragraph, [185.0, 337.0, 819.0, 36.0], shoonya_3sCU9SSNBQDOIV, 5710938]
[paragraph, [185.0, 373.0, 819.0, 36.0], shoonya_3sCU9SSNBQDOIV, 5710938]
[paragraph, [185.0, 409.0, 819.0, 36.0], shoonya_3sCU9SSNBQDOIV, 5710938]
[paragraph, [174.0, 515.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 551.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 587.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 623.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 659.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 695.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 731.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 767.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 803.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 839.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 875.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 911.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 947.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 983.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 1019.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 1055.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 1091.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 1127.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 1163.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 1199.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 1235.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 1271.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 1307.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 1343.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 1379.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [174.0, 1415.0, 861.0, 36.0], shoonya_0sG2XBP56GW9PG, 5710938]
[paragraph, [169.0, 1480.0, 856.0, 36.0], cOKEeK4Tia, 5710938]
[paragraph, [169.0, 1516.0, 856.0, 36.0], cOKEeK4Tia, 5710938]
[paragraph, [169.0, 1552.0, 856.0, 36.0], cOKEeK4Tia, 5710938]
[paragraph, [169.0, 1588.0, 856.0, 36.0], cOKEeK4Tia, 5710938]
