[1839, 1268]
[paragraph, [190.0, 205.0, 933.0, 36.0], shoonya_2sZKYBQ70OU8PB, 5744066]
[paragraph, [190.0, 241.0, 933.0, 36.0], shoonya_2sZKYBQ70OU8PB, 5744066]
[paragraph, [190.0, 277.0, 933.0, 36.0], shoonya_2sZKYBQ70OU8PB, 5744066]
[paragraph, [190.0, 313.0, 933.0, 36.0], shoonya_2sZKYBQ70OU8PB, 5744066]
[paragraph, [190.0, 349.0, 933.0, 36.0], shoonya_2sZKYBQ70OU8PB, 5744066]
[paragraph, [190.0, 385.0, 933.0, 36.0], shoonya_2sZKYBQ70OU8PB, 5744066]
[paragraph, [190.0, 421.0, 933.0, 36.0], shoonya_2sZKYBQ70OU8PB, 5744066]
[paragraph, [190.0, 457.0, 933.0, 36.0], shoonya_2sZKYBQ70OU8PB, 5744066]
[paragraph, [190.0, 493.0, 933.0, 36.0], shoonya_2sZKYBQ70OU8PB, 5744066]
[paragraph, [190.0, 529.0, 933.0, 36.0], shoonya_2sZKYBQ70OU8PB, 5744066]
[paragraph, [190.0, 565.0, 933.0, 36.0], shoonya_2sZKYBQ70OU8PB, 5744066]
[paragraph, [190.0, 601.0, 933.0, 36.0], shoonya_2sZKYBQ70OU8PB, 5744066]
[paragraph, [190.0, 637.0, 933.0, 36.0], shoonya_2sZKYBQ70OU8PB, 5744066]
[section-title, [180.0, 768.0, 511.0, 49.5], shoonya_3sW81QTC7JS6I3, 5744066]
[paragraph, [179.0, 863.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 899.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 935.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 971.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 1007.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 1043.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 1079.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 1115.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 1151.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 1187.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 1223.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 1259.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 1295.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 1331.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 1367.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 1403.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 1439.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 1475.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 1511.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 1547.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 1583.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
[paragraph, [179.0, 1619.0, 948.0, 36.0], shoonya_1s0AX5UCDEMV18, 5744066]
