[1754, 1241]
[folio, [898.0, 131.0, 173.0, 36.0], HfF46w3keb, 5728840]
[reference, [210.0, 185.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 221.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 257.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 293.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 329.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 365.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 401.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 437.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 473.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 509.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 545.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 581.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 617.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 653.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 689.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 725.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 761.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 797.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 833.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 869.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 905.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 941.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 977.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 1013.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 1049.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 1085.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 1121.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 1157.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 1193.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 1229.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 1265.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 1301.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 1337.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 1373.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 1409.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 1445.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
[reference, [210.0, 1481.0, 879.0, 36.0], shoonya_0sBLBGMTWA1EW4, 5728840]
