[2330, 1692]
[paragraph, [477.0, 185.0, 623.0, 36.0], shoonya_6sAYYKJWB6OSM1, 5734220]
[paragraph, [366.0, 286.0, 1201.0, 36.0], shoonya_3sDD0E20W6FJ6S, 5734220]
[paragraph, [366.0, 322.0, 1201.0, 36.0], shoonya_3sDD0E20W6FJ6S, 5734220]
[paragraph, [366.0, 358.0, 1201.0, 36.0], shoonya_3sDD0E20W6FJ6S, 5734220]
[paragraph, [366.0, 394.0, 1201.0, 36.0], shoonya_3sDD0E20W6FJ6S, 5734220]
[paragraph, [366.0, 430.0, 1201.0, 36.0], shoonya_3sDD0E20W6FJ6S, 5734220]
[paragraph, [366.0, 466.0, 1201.0, 36.0], shoonya_3sDD0E20W6FJ6S, 5734220]
[paragraph, [366.0, 502.0, 1201.0, 36.0], shoonya_3sDD0E20W6FJ6S, 5734220]
[paragraph, [366.0, 538.0, 1201.0, 36.0], shoonya_3sDD0E20W6FJ6S, 5734220]
[section-title, [373.0, 617.0, 345.0, 52.5], shoonya_5sH7HFE76EB1WE, 5734220]
[paragraph, [364.0, 716.0, 1193.0, 36.0], shoonya_2sVR6Y65B1HSTJ, 5734220]
[paragraph, [364.0, 752.0, 1193.0, 36.0], shoonya_2sVR6Y65B1HSTJ, 5734220]
[paragraph, [364.0, 788.0, 1193.0, 36.0], shoonya_2sVR6Y65B1HSTJ, 5734220]
[paragraph, [364.0, 824.0, 1193.0, 36.0], shoonya_2sVR6Y65B1HSTJ, 5734220]
[paragraph, [364.0, 860.0, 1193.0, 36.0], shoonya_2sVR6Y65B1HSTJ, 5734220]
[paragraph, [364.0, 896.0, 1193.0, 36.0], shoonya_2sVR6Y65B1HSTJ, 5734220]
[paragraph, [364.0, 932.0, 1193.0, 36.0], shoonya_2sVR6Y65B1HSTJ, 5734220]
[paragraph, [364.0, 968.0, 1193.0, 36.0], shoonya_2sVR6Y65B1HSTJ, 5734220]
[paragraph, [360.0, 1057.0, 1189.0, 36.0], shoonya_1sO35NV1JWHEDG, 5734220]
[paragraph, [360.0, 1093.0, 1189.0, 36.0], shoonya_1sO35NV1JWHEDG, 5734220]
[paragraph, [360.0, 1129.0, 1189.0, 36.0], shoonya_1sO35NV1JWHEDG, 5734220]
[paragraph, [360.0, 1165.0, 1189.0, 36.0], shoonya_1sO35NV1JWHEDG, 5734220]
[paragraph, [360.0, 1201.0, 1189.0, 36.0], shoonya_1sO35NV1JWHEDG, 5734220]
[paragraph, [360.0, 1237.0, 1189.0, 36.0], shoonya_1sO35NV1JWHEDG, 5734220]
[paragraph, [360.0, 1273.0, 1189.0, 36.0], shoonya_1sO35NV1JWHEDG, 5734220]
[paragraph, [360.0, 1309.0, 1189.0, 36.0], shoonya_1sO35NV1JWHEDG, 5734220]
[paragraph, [360.0, 1345.0, 1189.0, 36.0], shoonya_1sO35NV1JWHEDG, 5734220]
[paragraph, [355.0, 1455.0, 1194.0, 36.0], shoonya_0sOWZDEEHRQ8VO, 5734220]
[paragraph, [355.0, 1491.0, 1194.0, 36.0], shoonya_0sOWZDEEHRQ8VO, 5734220]
[paragraph, [355.0, 1527.0, 1194.0, 36.0], shoonya_0sOWZDEEHRQ8VO, 5734220]
[paragraph, [355.0, 1563.0, 1194.0, 36.0], shoonya_0sOWZDEEHRQ8VO, 5734220]
[paragraph, [355.0, 1599.0, 1194.0, 36.0], shoonya_0sOWZDEEHRQ8VO, 5734220]
[paragraph, [355.0, 1635.0, 1194.0, 36.0], shoonya_0sOWZDEEHRQ8VO, 5734220]
[paragraph, [355.0, 1671.0, 1194.0, 36.0], shoonya_0sOWZDEEHRQ8VO, 5734220]
[paragraph, [355.0, 1707.0, 1194.0, 36.0], shoonya_0sOWZDEEHRQ8VO, 5734220]
[paragraph, [355.0, 1743.0, 1194.0, 36.0], shoonya_0sOWZDEEHRQ8VO, 5734220]
[paragraph, [355.0, 1779.0, 1194.0, 36.0], shoonya_0sOWZDEEHRQ8VO, 5734220]
[paragraph, [355.0, 1815.0, 1194.0, 36.0], shoonya_0sOWZDEEHRQ8VO, 5734220]
