[1418, 1064]
[section-title, [106.0, 86.0, 140.0, 30.0], 2b5OQtO4-h, 6468784]
[paragraph, [169.0, 761.0, 784.0, 18.0], shoonya_0sYW36DVMLQH5R, 6468784]
[paragraph, [169.0, 779.0, 784.0, 18.0], shoonya_0sYW36DVMLQH5R, 6468784]
[paragraph, [169.0, 797.0, 784.0, 18.0], shoonya_0sYW36DVMLQH5R, 6468784]
[paragraph, [169.0, 815.0, 784.0, 18.0], shoonya_0sYW36DVMLQH5R, 6468784]
[paragraph, [169.0, 833.0, 784.0, 18.0], shoonya_0sYW36DVMLQH5R, 6468784]
[paragraph, [169.0, 851.0, 784.0, 18.0], shoonya_0sYW36DVMLQH5R, 6468784]
[paragraph, [169.0, 869.0, 784.0, 18.0], shoonya_0sYW36DVMLQH5R, 6468784]
[paragraph, [169.0, 887.0, 784.0, 18.0], shoonya_0sYW36DVMLQH5R, 6468784]
[paragraph, [169.0, 905.0, 784.0, 18.0], shoonya_0sYW36DVMLQH5R, 6468784]
[paragraph, [169.0, 923.0, 784.0, 18.0], shoonya_0sYW36DVMLQH5R, 6468784]
[paragraph, [169.0, 941.0, 784.0, 18.0], shoonya_0sYW36DVMLQH5R, 6468784]
[paragraph, [169.0, 959.0, 784.0, 18.0], shoonya_0sYW36DVMLQH5R, 6468784]
[paragraph, [169.0, 977.0, 784.0, 18.0], shoonya_0sYW36DVMLQH5R, 6468784]
[paragraph, [169.0, 995.0, 784.0, 18.0], shoonya_0sYW36DVMLQH5R, 6468784]
[paragraph, [169.0, 1013.0, 784.0, 18.0], shoonya_0sYW36DVMLQH5R, 6468784]
[paragraph, [168.0, 1052.0, 784.0, 18.0], 9yI7al97Yp, 6468784]
[paragraph, [168.0, 1070.0, 784.0, 18.0], 9yI7al97Yp, 6468784]
[paragraph, [168.0, 1088.0, 784.0, 18.0], 9yI7al97Yp, 6468784]
[paragraph, [168.0, 1106.0, 784.0, 18.0], 9yI7al97Yp, 6468784]
[paragraph, [168.0, 1124.0, 784.0, 18.0], 9yI7al97Yp, 6468784]
[paragraph, [168.0, 1142.0, 784.0, 18.0], 9yI7al97Yp, 6468784]
[paragraph, [168.0, 1160.0, 784.0, 18.0], 9yI7al97Yp, 6468784]
[paragraph, [168.0, 1178.0, 784.0, 18.0], 9yI7al97Yp, 6468784]
[paragraph, [168.0, 1196.0, 784.0, 18.0], 9yI7al97Yp, 6468784]
[paragraph, [168.0, 1214.0, 784.0, 18.0], 9yI7al97Yp, 6468784]
[paragraph, [168.0, 1232.0, 784.0, 18.0], 9yI7al97Yp, 6468784]
[paragraph, [168.0, 1250.0, 784.0, 18.0], 9yI7al97Yp, 6468784]
[paragraph, [168.0, 1268.0, 784.0, 18.0], 9yI7al97Yp, 6468784]
[folio, [111.0, 1322.0, 258.0, 18.0], t0pUpGN77g, 6468784]
[folio, [111.0, 1340.0, 258.0, 18.0], t0pUpGN77g, 6468784]
