[842, 595]
[headline, [182.0, 150.0, 231.0, 25.5], shoonya_11sDKZIBLQHFHI, 5744612]
[paragraph, [300.0, 219.0, 179.0, 18.0], shoonya_14sV43PICRK244, 5744612]
[paragraph, [300.0, 237.0, 179.0, 18.0], shoonya_14sV43PICRK244, 5744612]
[paragraph, [103.0, 239.0, 191.0, 18.0], 3NtKY17Skk, 5744612]
[paragraph, [103.0, 257.0, 191.0, 18.0], 3NtKY17Skk, 5744612]
[paragraph, [300.0, 290.0, 180.0, 18.0], shoonya_8sJ8ZRY6HGZBUX, 5744612]
[paragraph, [300.0, 308.0, 180.0, 18.0], shoonya_8sJ8ZRY6HGZBUX, 5744612]
[paragraph, [300.0, 326.0, 180.0, 18.0], shoonya_8sJ8ZRY6HGZBUX, 5744612]
[paragraph, [300.0, 344.0, 180.0, 18.0], shoonya_8sJ8ZRY6HGZBUX, 5744612]
[paragraph, [300.0, 362.0, 180.0, 18.0], shoonya_8sJ8ZRY6HGZBUX, 5744612]
[paragraph, [300.0, 380.0, 180.0, 18.0], shoonya_8sJ8ZRY6HGZBUX, 5744612]
[paragraph, [300.0, 398.0, 180.0, 18.0], shoonya_8sJ8ZRY6HGZBUX, 5744612]
[paragraph, [300.0, 416.0, 180.0, 18.0], shoonya_8sJ8ZRY6HGZBUX, 5744612]
[paragraph, [115.0, 310.0, 179.0, 18.0], shoonya_0s0ZP4NAJ9E0BP, 5744612]
[paragraph, [115.0, 328.0, 179.0, 18.0], shoonya_0s0ZP4NAJ9E0BP, 5744612]
[paragraph, [115.0, 346.0, 179.0, 18.0], shoonya_0s0ZP4NAJ9E0BP, 5744612]
[paragraph, [115.0, 364.0, 179.0, 18.0], shoonya_0s0ZP4NAJ9E0BP, 5744612]
[paragraph, [115.0, 382.0, 179.0, 18.0], shoonya_0s0ZP4NAJ9E0BP, 5744612]
[paragraph, [115.0, 400.0, 179.0, 18.0], shoonya_0s0ZP4NAJ9E0BP, 5744612]
[paragraph, [110.0, 456.0, 183.0, 18.0], shoonya_3sXU4KUXO4ZAR1, 5744612]
[paragraph, [110.0, 474.0, 183.0, 18.0], shoonya_3sXU4KUXO4ZAR1, 5744612]
[paragraph, [110.0, 492.0, 183.0, 18.0], shoonya_3sXU4KUXO4ZAR1, 5744612]
[paragraph, [110.0, 510.0, 183.0, 18.0], shoonya_3sXU4KUXO4ZAR1, 5744612]
[paragraph, [110.0, 528.0, 183.0, 18.0], shoonya_3sXU4KUXO4ZAR1, 5744612]
[paragraph, [110.0, 546.0, 183.0, 18.0], shoonya_3sXU4KUXO4ZAR1, 5744612]
[paragraph, [110.0, 564.0, 183.0, 18.0], shoonya_3sXU4KUXO4ZAR1, 5744612]
[paragraph, [110.0, 582.0, 183.0, 18.0], shoonya_3sXU4KUXO4ZAR1, 5744612]
[paragraph, [110.0, 600.0, 183.0, 18.0], shoonya_3sXU4KUXO4ZAR1, 5744612]
[paragraph, [301.0, 465.0, 180.0, 18.0], shoonya_5sWZQINTV2ROZX, 5744612]
[paragraph, [301.0, 483.0, 180.0, 18.0], shoonya_5sWZQINTV2ROZX, 5744612]
[paragraph, [301.0, 501.0, 180.0, 18.0], shoonya_5sWZQINTV2ROZX, 5744612]
[paragraph, [301.0, 519.0, 180.0, 18.0], shoonya_5sWZQINTV2ROZX, 5744612]
[paragraph, [301.0, 537.0, 180.0, 18.0], shoonya_5sWZQINTV2ROZX, 5744612]
[paragraph, [301.0, 555.0, 180.0, 18.0], shoonya_5sWZQINTV2ROZX, 5744612]
[paragraph, [301.0, 573.0, 180.0, 18.0], shoonya_5sWZQINTV2ROZX, 5744612]
[paragraph, [301.0, 591.0, 180.0, 18.0], shoonya_5sWZQINTV2ROZX, 5744612]
[paragraph, [163.0, 662.0, 267.0, 18.0], shoonya_1sHVDQV9LIZTIG, 5744612]
[paragraph, [163.0, 680.0, 267.0, 18.0], shoonya_1sHVDQV9LIZTIG, 5744612]
[paragraph, [163.0, 698.0, 267.0, 18.0], shoonya_1sHVDQV9LIZTIG, 5744612]
[contact-info, [200.0, 767.0, 191.0, 18.0], ROM6y1_H-5, 5744612]
