[515, 727]
[paragraph, [413.0, 21.0, 167.0, 18.0], ZitWJKCMlx, 6534017]
[paragraph, [138.0, 25.0, 266.0, 18.0], shoonya_0sBW2B0KFFE0EN, 6534017]
[paragraph, [138.0, 43.0, 266.0, 18.0], shoonya_0sBW2B0KFFE0EN, 6534017]
[paragraph, [138.0, 61.0, 266.0, 18.0], shoonya_0sBW2B0KFFE0EN, 6534017]
[paragraph, [138.0, 79.0, 266.0, 18.0], shoonya_0sBW2B0KFFE0EN, 6534017]
[paragraph, [138.0, 97.0, 266.0, 18.0], shoonya_0sBW2B0KFFE0EN, 6534017]
[paragraph, [138.0, 115.0, 266.0, 18.0], shoonya_0sBW2B0KFFE0EN, 6534017]
[paragraph, [138.0, 133.0, 266.0, 18.0], shoonya_0sBW2B0KFFE0EN, 6534017]
[paragraph, [138.0, 151.0, 266.0, 18.0], shoonya_0sBW2B0KFFE0EN, 6534017]
[paragraph, [138.0, 169.0, 266.0, 18.0], shoonya_0sBW2B0KFFE0EN, 6534017]
[paragraph, [410.0, 46.0, 260.0, 18.0], 9idGOtbsi7, 6534017]
[paragraph, [410.0, 64.0, 260.0, 18.0], 9idGOtbsi7, 6534017]
[paragraph, [410.0, 82.0, 260.0, 18.0], 9idGOtbsi7, 6534017]
[paragraph, [410.0, 100.0, 260.0, 18.0], 9idGOtbsi7, 6534017]
[paragraph, [431.0, 127.0, 234.0, 18.0], 3kXJ5aHCVg, 6534017]
[paragraph, [413.0, 153.0, 259.0, 18.0], IkGSDYRCCQ, 6534017]
[paragraph, [413.0, 171.0, 259.0, 18.0], IkGSDYRCCQ, 6534017]
[paragraph, [413.0, 189.0, 259.0, 18.0], IkGSDYRCCQ, 6534017]
[paragraph, [413.0, 207.0, 259.0, 18.0], IkGSDYRCCQ, 6534017]
[paragraph, [140.0, 226.0, 262.0, 18.0], spWbawv9H9, 6534017]
[paragraph, [140.0, 244.0, 262.0, 18.0], spWbawv9H9, 6534017]
[paragraph, [140.0, 262.0, 262.0, 18.0], spWbawv9H9, 6534017]
[paragraph, [140.0, 280.0, 262.0, 18.0], spWbawv9H9, 6534017]
[paragraph, [140.0, 298.0, 262.0, 18.0], spWbawv9H9, 6534017]
[paragraph, [140.0, 316.0, 262.0, 18.0], spWbawv9H9, 6534017]
[paragraph, [140.0, 334.0, 262.0, 18.0], spWbawv9H9, 6534017]
[paragraph, [140.0, 352.0, 262.0, 18.0], spWbawv9H9, 6534017]
[paragraph, [140.0, 370.0, 262.0, 18.0], spWbawv9H9, 6534017]
[paragraph, [140.0, 388.0, 262.0, 18.0], spWbawv9H9, 6534017]
[paragraph, [414.0, 238.0, 258.0, 18.0], 91E2nXL6DJ, 6534017]
[paragraph, [414.0, 256.0, 258.0, 18.0], 91E2nXL6DJ, 6534017]
[paragraph, [414.0, 274.0, 258.0, 18.0], 91E2nXL6DJ, 6534017]
[paragraph, [414.0, 292.0, 258.0, 18.0], 91E2nXL6DJ, 6534017]
[paragraph, [414.0, 310.0, 258.0, 18.0], 91E2nXL6DJ, 6534017]
[paragraph, [414.0, 328.0, 258.0, 18.0], 91E2nXL6DJ, 6534017]
[paragraph, [414.0, 346.0, 258.0, 18.0], 91E2nXL6DJ, 6534017]
[paragraph, [414.0, 364.0, 258.0, 18.0], 91E2nXL6DJ, 6534017]
[paragraph, [414.0, 382.0, 258.0, 18.0], 91E2nXL6DJ, 6534017]
[folio, [413.0, 411.0, 53.0, 18.0], nBTycwFEsc, 6534017]
[folio, [345.0, 419.0, 57.0, 18.0], KLyVIbi8fT, 6534017]
