[2339, 1653]
[paragraph, [323.0, 163.0, 1140.0, 36.0], shoonya_1sMAJGOLQP446A, 5734146]
[paragraph, [323.0, 199.0, 1140.0, 36.0], shoonya_1sMAJGOLQP446A, 5734146]
[paragraph, [323.0, 235.0, 1140.0, 36.0], shoonya_1sMAJGOLQP446A, 5734146]
[paragraph, [323.0, 271.0, 1140.0, 36.0], shoonya_1sMAJGOLQP446A, 5734146]
[paragraph, [323.0, 307.0, 1140.0, 36.0], shoonya_1sMAJGOLQP446A, 5734146]
[paragraph, [323.0, 343.0, 1140.0, 36.0], shoonya_1sMAJGOLQP446A, 5734146]
[reference, [312.0, 411.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 447.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 483.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 519.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 555.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 591.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 627.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 663.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 699.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 735.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 771.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 807.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 843.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 879.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 915.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 951.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 987.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1023.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1059.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1095.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1131.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1167.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1203.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1239.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1275.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1311.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1347.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1383.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1419.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1455.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1491.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1527.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1563.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1599.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1635.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1671.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1707.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1743.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1779.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1815.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1851.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1887.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1923.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1959.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 1995.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 2031.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[reference, [312.0, 2067.0, 1176.0, 36.0], shoonya_0sAH64HCSTE9KV, 5734146]
[folio, [1184.0, 2156.0, 204.0, 36.0], shoonya_3sKZARVELC4N4I, 5734146]
