[1806, 1262]
[folio, [625.0, 101.0, 443.0, 36.0], gqtVXIn9IU, 5681854]
[paragraph, [98.0, 177.0, 493.0, 36.0], shoonya_1s68ZRZP8TC7XO, 5681854]
[paragraph, [98.0, 213.0, 493.0, 36.0], shoonya_1s68ZRZP8TC7XO, 5681854]
[paragraph, [98.0, 249.0, 493.0, 36.0], shoonya_1s68ZRZP8TC7XO, 5681854]
[paragraph, [98.0, 285.0, 493.0, 36.0], shoonya_1s68ZRZP8TC7XO, 5681854]
[paragraph, [98.0, 321.0, 493.0, 36.0], shoonya_1s68ZRZP8TC7XO, 5681854]
[paragraph, [98.0, 357.0, 493.0, 36.0], shoonya_1s68ZRZP8TC7XO, 5681854]
[paragraph, [98.0, 393.0, 493.0, 36.0], shoonya_1s68ZRZP8TC7XO, 5681854]
[paragraph, [98.0, 429.0, 493.0, 36.0], shoonya_1s68ZRZP8TC7XO, 5681854]
[paragraph, [98.0, 465.0, 493.0, 36.0], shoonya_1s68ZRZP8TC7XO, 5681854]
[paragraph, [635.0, 181.0, 512.0, 36.0], shoonya_4sFCX366QSI4V1, 5681854]
[paragraph, [635.0, 217.0, 512.0, 36.0], shoonya_4sFCX366QSI4V1, 5681854]
[paragraph, [635.0, 253.0, 512.0, 36.0], shoonya_4sFCX366QSI4V1, 5681854]
[paragraph, [635.0, 289.0, 512.0, 36.0], shoonya_4sFCX366QSI4V1, 5681854]
[paragraph, [635.0, 325.0, 512.0, 36.0], shoonya_4sFCX366QSI4V1, 5681854]
[paragraph, [635.0, 361.0, 512.0, 36.0], shoonya_4sFCX366QSI4V1, 5681854]
[paragraph, [635.0, 397.0, 512.0, 36.0], shoonya_4sFCX366QSI4V1, 5681854]
[paragraph, [635.0, 433.0, 512.0, 36.0], shoonya_4sFCX366QSI4V1, 5681854]
[paragraph, [635.0, 469.0, 512.0, 36.0], shoonya_4sFCX366QSI4V1, 5681854]
[paragraph, [635.0, 505.0, 512.0, 36.0], shoonya_4sFCX366QSI4V1, 5681854]
[paragraph, [635.0, 541.0, 512.0, 36.0], shoonya_4sFCX366QSI4V1, 5681854]
[paragraph, [635.0, 577.0, 512.0, 36.0], shoonya_4sFCX366QSI4V1, 5681854]
[paragraph, [635.0, 613.0, 512.0, 36.0], shoonya_4sFCX366QSI4V1, 5681854]
[paragraph, [635.0, 649.0, 512.0, 36.0], shoonya_4sFCX366QSI4V1, 5681854]
[paragraph, [635.0, 685.0, 512.0, 36.0], shoonya_4sFCX366QSI4V1, 5681854]
[paragraph, [635.0, 721.0, 512.0, 36.0], shoonya_4sFCX366QSI4V1, 5681854]
[paragraph, [100.0, 511.0, 490.0, 36.0], shoonya_2s5XN1J9I73MO6, 5681854]
