[3060, 3960]
[headline, [963.0, 434.0, 1857.0, 52.5], CiroXnbeKj, 5695562]
[headline, [963.0, 486.5, 1857.0, 52.5], CiroXnbeKj, 5695562]
[headline, [963.0, 539.0, 1857.0, 52.5], CiroXnbeKj, 5695562]
[figure-caption, [2606.0, 544.0, 1073.0, 52.5], KHkrzDwldc, 5695562]
[figure-caption, [2606.0, 596.5, 1073.0, 52.5], KHkrzDwldc, 5695562]
[figure-caption, [2606.0, 649.0, 1073.0, 52.5], KHkrzDwldc, 5695562]
[figure-caption, [2606.0, 701.5, 1073.0, 52.5], KHkrzDwldc, 5695562]
[figure-caption, [2606.0, 754.0, 1073.0, 52.5], KHkrzDwldc, 5695562]
[figure-caption, [2606.0, 806.5, 1073.0, 52.5], KHkrzDwldc, 5695562]
[figure-caption, [2606.0, 859.0, 1073.0, 52.5], KHkrzDwldc, 5695562]
[figure-caption, [324.0, 728.0, 624.0, 52.5], CR3xle5O1s, 5695562]
[figure-caption, [324.0, 780.5, 624.0, 52.5], CR3xle5O1s, 5695562]
[figure-caption, [3230.0, 983.0, 624.0, 52.5], MqqSUJgfdf, 5695562]
[figure-caption, [3230.0, 1035.5, 624.0, 52.5], MqqSUJgfdf, 5695562]
[figure-caption, [3230.0, 1088.0, 624.0, 52.5], MqqSUJgfdf, 5695562]
[figure-caption, [3230.0, 1140.5, 624.0, 52.5], MqqSUJgfdf, 5695562]
[figure-caption, [3230.0, 1193.0, 624.0, 52.5], MqqSUJgfdf, 5695562]
[figure-caption, [24.0, 1023.0, 569.0, 52.5], XQcfsz7zNK, 5695562]
[figure-caption, [24.0, 1075.5, 569.0, 52.5], XQcfsz7zNK, 5695562]
[figure-caption, [24.0, 1128.0, 569.0, 52.5], XQcfsz7zNK, 5695562]
[figure-caption, [24.0, 1180.5, 569.0, 52.5], XQcfsz7zNK, 5695562]
[figure-caption, [24.0, 1233.0, 569.0, 52.5], XQcfsz7zNK, 5695562]
[figure-caption, [3265.0, 1372.0, 644.0, 52.5], R1yq9HAfQM, 5695562]
[figure-caption, [3265.0, 1424.5, 644.0, 52.5], R1yq9HAfQM, 5695562]
[figure-caption, [3265.0, 1477.0, 644.0, 52.5], R1yq9HAfQM, 5695562]
[figure-caption, [3265.0, 1529.5, 644.0, 52.5], R1yq9HAfQM, 5695562]
[figure-caption, [3265.0, 1582.0, 644.0, 52.5], R1yq9HAfQM, 5695562]
[figure-caption, [3265.0, 1634.5, 644.0, 52.5], R1yq9HAfQM, 5695562]
[figure-caption, [3265.0, 1687.0, 644.0, 52.5], R1yq9HAfQM, 5695562]
[figure-caption, [29.0, 1642.0, 464.0, 52.5], ihx9QQoR7Y, 5695562]
[figure-caption, [29.0, 1694.5, 464.0, 52.5], ihx9QQoR7Y, 5695562]
[figure-caption, [29.0, 1747.0, 464.0, 52.5], ihx9QQoR7Y, 5695562]
[figure-caption, [29.0, 1799.5, 464.0, 52.5], ihx9QQoR7Y, 5695562]
[figure-caption, [29.0, 1852.0, 464.0, 52.5], ihx9QQoR7Y, 5695562]
[figure-caption, [29.0, 1904.5, 464.0, 52.5], ihx9QQoR7Y, 5695562]
[figure-caption, [3071.0, 2066.0, 614.0, 52.5], iDnKboL6-u, 5695562]
[figure-caption, [3071.0, 2118.5, 614.0, 52.5], iDnKboL6-u, 5695562]
[figure-caption, [3071.0, 2171.0, 614.0, 52.5], iDnKboL6-u, 5695562]
[figure-caption, [3071.0, 2223.5, 614.0, 52.5], iDnKboL6-u, 5695562]
[figure-caption, [3071.0, 2276.0, 614.0, 52.5], iDnKboL6-u, 5695562]
[figure-caption, [34.0, 2136.0, 649.0, 52.5], KQlzzdU4O4, 5695562]
[figure-caption, [34.0, 2188.5, 649.0, 52.5], KQlzzdU4O4, 5695562]
[figure-caption, [34.0, 2241.0, 649.0, 52.5], KQlzzdU4O4, 5695562]
[figure-caption, [34.0, 2293.5, 649.0, 52.5], KQlzzdU4O4, 5695562]
[figure-caption, [34.0, 2346.0, 649.0, 52.5], KQlzzdU4O4, 5695562]
[figure-caption, [2246.0, 2402.0, 1176.0, 52.5], shoonya_0sW3JOH57T6EHW, 5695562]
[figure-caption, [2246.0, 2454.5, 1176.0, 52.5], shoonya_0sW3JOH57T6EHW, 5695562]
[folio, [1602.0, 2540.0, 419.0, 52.5], MLoUvT4Kqk, 5695562]
[folio, [1602.0, 2592.5, 419.0, 52.5], MLoUvT4Kqk, 5695562]
[folio, [1602.0, 2645.0, 419.0, 52.5], MLoUvT4Kqk, 5695562]
