[842, 595]
[placeholder-text, [0.0, 99.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 117.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 135.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 153.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 171.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 189.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 207.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 225.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 243.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 261.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 279.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 297.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 315.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 333.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 351.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 369.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 387.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 405.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 423.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 441.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 459.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 477.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 495.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 513.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 531.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 549.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 567.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 585.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 603.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 621.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 639.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 657.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 675.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 693.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[placeholder-text, [0.0, 711.0, 587.0, 18.0], shoonya_0sPW2FFUDJYP9V, 5773328]
[folio, [59.0, 741.0, 70.0, 18.0], shoonya_27sGLHNXB19O9X, 5773328]
[folio, [478.0, 742.0, 56.0, 18.0], shoonya_19s7HWA8O10E7G, 5773328]
