[1162, 749]
[folio, [335.0, 68.0, 80.0, 18.0], shoonya_2sZTARN3H8C4MS, 5699318]
[paragraph, [71.0, 120.0, 602.0, 18.0], bEF0w74riQ, 5699318]
[paragraph, [71.0, 138.0, 602.0, 18.0], bEF0w74riQ, 5699318]
[paragraph, [71.0, 156.0, 602.0, 18.0], bEF0w74riQ, 5699318]
[paragraph, [77.0, 186.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 204.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 222.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 240.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 258.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 276.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 294.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 312.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 330.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 348.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 366.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 384.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 402.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 420.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 438.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 456.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 474.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 492.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 510.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 528.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 546.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [77.0, 564.0, 594.0, 18.0], shoonya_1sSVN03NWUCG01, 5699318]
[paragraph, [79.0, 602.0, 600.0, 18.0], shoonya_0sMD24HBC3KT1I, 5699318]
[paragraph, [79.0, 620.0, 600.0, 18.0], shoonya_0sMD24HBC3KT1I, 5699318]
[paragraph, [79.0, 638.0, 600.0, 18.0], shoonya_0sMD24HBC3KT1I, 5699318]
[paragraph, [79.0, 656.0, 600.0, 18.0], shoonya_0sMD24HBC3KT1I, 5699318]
[paragraph, [79.0, 674.0, 600.0, 18.0], shoonya_0sMD24HBC3KT1I, 5699318]
[paragraph, [79.0, 692.0, 600.0, 18.0], shoonya_0sMD24HBC3KT1I, 5699318]
[paragraph, [79.0, 710.0, 600.0, 18.0], shoonya_0sMD24HBC3KT1I, 5699318]
[paragraph, [79.0, 728.0, 600.0, 18.0], shoonya_0sMD24HBC3KT1I, 5699318]
[paragraph, [79.0, 746.0, 600.0, 18.0], shoonya_0sMD24HBC3KT1I, 5699318]
[paragraph, [79.0, 764.0, 600.0, 18.0], shoonya_0sMD24HBC3KT1I, 5699318]
[paragraph, [79.0, 782.0, 600.0, 18.0], shoonya_0sMD24HBC3KT1I, 5699318]
[paragraph, [79.0, 800.0, 600.0, 18.0], shoonya_0sMD24HBC3KT1I, 5699318]
[paragraph, [79.0, 818.0, 600.0, 18.0], shoonya_0sMD24HBC3KT1I, 5699318]
[paragraph, [79.0, 836.0, 600.0, 18.0], shoonya_0sMD24HBC3KT1I, 5699318]
[paragraph, [79.0, 854.0, 600.0, 18.0], shoonya_0sMD24HBC3KT1I, 5699318]
[paragraph, [79.0, 872.0, 600.0, 18.0], shoonya_0sMD24HBC3KT1I, 5699318]
[paragraph, [79.0, 890.0, 600.0, 18.0], shoonya_0sMD24HBC3KT1I, 5699318]
[paragraph, [79.0, 908.0, 600.0, 18.0], shoonya_0sMD24HBC3KT1I, 5699318]
[paragraph, [79.0, 926.0, 600.0, 18.0], shoonya_0sMD24HBC3KT1I, 5699318]
[paragraph, [77.0, 952.0, 602.0, 18.0], cRvKjZSyHo, 5699318]
[paragraph, [77.0, 970.0, 602.0, 18.0], cRvKjZSyHo, 5699318]
[paragraph, [77.0, 988.0, 602.0, 18.0], cRvKjZSyHo, 5699318]
[paragraph, [77.0, 1006.0, 602.0, 18.0], cRvKjZSyHo, 5699318]
[paragraph, [77.0, 1024.0, 602.0, 18.0], cRvKjZSyHo, 5699318]
[paragraph, [77.0, 1042.0, 602.0, 18.0], cRvKjZSyHo, 5699318]
[paragraph, [77.0, 1060.0, 602.0, 18.0], cRvKjZSyHo, 5699318]
[paragraph, [77.0, 1078.0, 602.0, 18.0], cRvKjZSyHo, 5699318]
