[4767, 3325]
[folio, [278.0, 349.0, 831.0, 52.5], ies6sITfH0, 5710306]
[folio, [278.0, 401.5, 831.0, 52.5], ies6sITfH0, 5710306]
[paragraph, [219.0, 483.0, 2527.0, 52.5], shoonya_0sTKY2EDSNDX0R, 5710306]
[paragraph, [219.0, 535.5, 2527.0, 52.5], shoonya_0sTKY2EDSNDX0R, 5710306]
[paragraph, [219.0, 588.0, 2527.0, 52.5], shoonya_0sTKY2EDSNDX0R, 5710306]
[paragraph, [219.0, 640.5, 2527.0, 52.5], shoonya_0sTKY2EDSNDX0R, 5710306]
[paragraph, [219.0, 693.0, 2527.0, 52.5], shoonya_0sTKY2EDSNDX0R, 5710306]
[paragraph, [219.0, 745.5, 2527.0, 52.5], shoonya_0sTKY2EDSNDX0R, 5710306]
[paragraph, [219.0, 798.0, 2527.0, 52.5], shoonya_0sTKY2EDSNDX0R, 5710306]
[paragraph, [219.0, 850.5, 2527.0, 52.5], shoonya_0sTKY2EDSNDX0R, 5710306]
[paragraph, [219.0, 903.0, 2527.0, 52.5], shoonya_0sTKY2EDSNDX0R, 5710306]
[paragraph, [219.0, 955.5, 2527.0, 52.5], shoonya_0sTKY2EDSNDX0R, 5710306]
[paragraph, [219.0, 1008.0, 2527.0, 52.5], shoonya_0sTKY2EDSNDX0R, 5710306]
[paragraph, [219.0, 1060.5, 2527.0, 52.5], shoonya_0sTKY2EDSNDX0R, 5710306]
[paragraph, [219.0, 1113.0, 2527.0, 52.5], shoonya_0sTKY2EDSNDX0R, 5710306]
[paragraph, [219.0, 1165.5, 2527.0, 52.5], shoonya_0sTKY2EDSNDX0R, 5710306]
[paragraph, [233.0, 1236.0, 2517.0, 52.5], shoonya_1sR161XD1LB1FP, 5710306]
[paragraph, [233.0, 1288.5, 2517.0, 52.5], shoonya_1sR161XD1LB1FP, 5710306]
[paragraph, [233.0, 1341.0, 2517.0, 52.5], shoonya_1sR161XD1LB1FP, 5710306]
[paragraph, [233.0, 1393.5, 2517.0, 52.5], shoonya_1sR161XD1LB1FP, 5710306]
[paragraph, [233.0, 1446.0, 2517.0, 52.5], shoonya_1sR161XD1LB1FP, 5710306]
[paragraph, [233.0, 1498.5, 2517.0, 52.5], shoonya_1sR161XD1LB1FP, 5710306]
[paragraph, [233.0, 1551.0, 2517.0, 52.5], shoonya_1sR161XD1LB1FP, 5710306]
[paragraph, [233.0, 1603.5, 2517.0, 52.5], shoonya_1sR161XD1LB1FP, 5710306]
[paragraph, [233.0, 1656.0, 2517.0, 52.5], shoonya_1sR161XD1LB1FP, 5710306]
[paragraph, [248.0, 1740.0, 2519.0, 52.5], shoonya_2sK6MQB7HHJXHB, 5710306]
[paragraph, [248.0, 1792.5, 2519.0, 52.5], shoonya_2sK6MQB7HHJXHB, 5710306]
[paragraph, [248.0, 1845.0, 2519.0, 52.5], shoonya_2sK6MQB7HHJXHB, 5710306]
[paragraph, [248.0, 1897.5, 2519.0, 52.5], shoonya_2sK6MQB7HHJXHB, 5710306]
[paragraph, [248.0, 1950.0, 2519.0, 52.5], shoonya_2sK6MQB7HHJXHB, 5710306]
[paragraph, [248.0, 2002.5, 2519.0, 52.5], shoonya_2sK6MQB7HHJXHB, 5710306]
[paragraph, [270.0, 2086.0, 2481.0, 52.5], jx2g20XFrg, 5710306]
