[1008, 596]
[paragraph, [102.0, 104.0, 386.0, 18.0], shoonya_1sOAWXDAJMYUO2, 5770811]
[paragraph, [102.0, 122.0, 386.0, 18.0], shoonya_1sOAWXDAJMYUO2, 5770811]
[paragraph, [102.0, 140.0, 386.0, 18.0], shoonya_1sOAWXDAJMYUO2, 5770811]
[paragraph, [102.0, 158.0, 386.0, 18.0], shoonya_1sOAWXDAJMYUO2, 5770811]
[paragraph, [102.0, 176.0, 386.0, 18.0], shoonya_1sOAWXDAJMYUO2, 5770811]
[paragraph, [102.0, 194.0, 386.0, 18.0], shoonya_1sOAWXDAJMYUO2, 5770811]
[paragraph, [102.0, 212.0, 386.0, 18.0], shoonya_1sOAWXDAJMYUO2, 5770811]
[paragraph, [102.0, 230.0, 386.0, 18.0], shoonya_1sOAWXDAJMYUO2, 5770811]
[paragraph, [95.0, 293.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 311.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 329.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 347.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 365.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 383.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 401.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 419.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 437.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 455.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 473.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 491.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 509.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 527.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 545.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 563.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 581.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 599.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 617.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 635.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 653.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 671.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 689.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 707.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 725.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 743.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 761.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 779.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 797.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 815.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 833.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
[paragraph, [95.0, 851.0, 398.0, 18.0], h7XlhKHL4i, 5770811]
