[1754, 1241]
[headline, [361.0, 238.0, 346.0, 37.5], shoonya_7sII71NQC2Y9U0, 6472558]
[paragraph, [625.0, 369.0, 271.0, 36.0], shoonya_11sMRJLBQF7ZBP, 6472558]
[paragraph, [625.0, 405.0, 271.0, 36.0], shoonya_11sMRJLBQF7ZBP, 6472558]
[paragraph, [625.0, 441.0, 271.0, 36.0], shoonya_11sMRJLBQF7ZBP, 6472558]
[paragraph, [167.0, 371.0, 444.0, 36.0], shoonya_10s6NOWPY8SWXE, 6472558]
[paragraph, [173.0, 442.0, 444.0, 36.0], shoonya_0sN6VKEPKG3R7D, 6472558]
[author, [915.0, 450.0, 130.0, 36.0], shoonya_4sYFW4U2HYS6LW, 6472558]
[paragraph, [622.0, 513.0, 449.0, 36.0], shoonya_5sUJWUE2ICQUQ6, 6472558]
[paragraph, [622.0, 549.0, 449.0, 36.0], shoonya_5sUJWUE2ICQUQ6, 6472558]
[paragraph, [172.0, 514.0, 442.0, 36.0], wGU02HQgFU, 6472558]
[paragraph, [172.0, 550.0, 442.0, 36.0], wGU02HQgFU, 6472558]
[paragraph, [170.0, 620.0, 179.0, 36.0], wg7vImTgv8, 6472558]
[paragraph, [170.0, 656.0, 179.0, 36.0], wg7vImTgv8, 6472558]
[paragraph, [170.0, 692.0, 179.0, 36.0], wg7vImTgv8, 6472558]
[paragraph, [170.0, 728.0, 179.0, 36.0], wg7vImTgv8, 6472558]
[paragraph, [170.0, 764.0, 179.0, 36.0], wg7vImTgv8, 6472558]
[paragraph, [170.0, 800.0, 179.0, 36.0], wg7vImTgv8, 6472558]
[paragraph, [170.0, 836.0, 179.0, 36.0], wg7vImTgv8, 6472558]
[paragraph, [170.0, 872.0, 179.0, 36.0], wg7vImTgv8, 6472558]
[paragraph, [903.0, 620.0, 165.0, 36.0], shoonya_9s4765ZQTAZ5XK, 6472558]
[paragraph, [903.0, 656.0, 165.0, 36.0], shoonya_9s4765ZQTAZ5XK, 6472558]
[paragraph, [903.0, 692.0, 165.0, 36.0], shoonya_9s4765ZQTAZ5XK, 6472558]
[paragraph, [903.0, 728.0, 165.0, 36.0], shoonya_9s4765ZQTAZ5XK, 6472558]
[paragraph, [903.0, 764.0, 165.0, 36.0], shoonya_9s4765ZQTAZ5XK, 6472558]
[paragraph, [903.0, 800.0, 165.0, 36.0], shoonya_9s4765ZQTAZ5XK, 6472558]
[paragraph, [903.0, 836.0, 165.0, 36.0], shoonya_9s4765ZQTAZ5XK, 6472558]
[paragraph, [903.0, 872.0, 165.0, 36.0], shoonya_9s4765ZQTAZ5XK, 6472558]
[paragraph, [903.0, 908.0, 165.0, 36.0], shoonya_9s4765ZQTAZ5XK, 6472558]
[paragraph, [903.0, 944.0, 165.0, 36.0], shoonya_9s4765ZQTAZ5XK, 6472558]
[paragraph, [903.0, 980.0, 165.0, 36.0], shoonya_9s4765ZQTAZ5XK, 6472558]
[paragraph, [169.0, 939.0, 176.0, 36.0], t7oEQIu3YE, 6472558]
[paragraph, [169.0, 975.0, 176.0, 36.0], t7oEQIu3YE, 6472558]
[paragraph, [169.0, 1011.0, 176.0, 36.0], t7oEQIu3YE, 6472558]
[paragraph, [169.0, 1047.0, 176.0, 36.0], t7oEQIu3YE, 6472558]
[paragraph, [904.0, 1046.0, 164.0, 36.0], 4AnR52bZnn, 6472558]
[paragraph, [904.0, 1082.0, 164.0, 36.0], 4AnR52bZnn, 6472558]
[paragraph, [904.0, 1118.0, 164.0, 36.0], 4AnR52bZnn, 6472558]
[paragraph, [904.0, 1154.0, 164.0, 36.0], 4AnR52bZnn, 6472558]
[paragraph, [904.0, 1190.0, 164.0, 36.0], 4AnR52bZnn, 6472558]
[paragraph, [904.0, 1226.0, 164.0, 36.0], 4AnR52bZnn, 6472558]
[paragraph, [904.0, 1262.0, 164.0, 36.0], 4AnR52bZnn, 6472558]
[paragraph, [173.0, 1117.0, 175.0, 36.0], shoonya_2sULRI7MG71LFT, 6472558]
[paragraph, [173.0, 1153.0, 175.0, 36.0], shoonya_2sULRI7MG71LFT, 6472558]
[paragraph, [173.0, 1189.0, 175.0, 36.0], shoonya_2sULRI7MG71LFT, 6472558]
[paragraph, [173.0, 1225.0, 175.0, 36.0], shoonya_2sULRI7MG71LFT, 6472558]
[paragraph, [173.0, 1261.0, 175.0, 36.0], shoonya_2sULRI7MG71LFT, 6472558]
[paragraph, [628.0, 1327.0, 440.0, 36.0], _Rrx4YRDRR, 6472558]
[paragraph, [628.0, 1363.0, 440.0, 36.0], _Rrx4YRDRR, 6472558]
[paragraph, [628.0, 1399.0, 440.0, 36.0], _Rrx4YRDRR, 6472558]
[paragraph, [628.0, 1435.0, 440.0, 36.0], _Rrx4YRDRR, 6472558]
[paragraph, [168.0, 1328.0, 443.0, 36.0], shoonya_3sIO2X4877XNTR, 6472558]
[paragraph, [168.0, 1364.0, 443.0, 36.0], shoonya_3sIO2X4877XNTR, 6472558]
[paragraph, [168.0, 1400.0, 443.0, 36.0], shoonya_3sIO2X4877XNTR, 6472558]
[paragraph, [168.0, 1436.0, 443.0, 36.0], shoonya_3sIO2X4877XNTR, 6472558]
[paragraph, [168.0, 1472.0, 443.0, 36.0], shoonya_3sIO2X4877XNTR, 6472558]
