[1162, 749]
[folio, [316.0, 75.0, 128.0, 18.0], shoonya_4sY18DVW2LNK10, 5699830]
[paragraph, [75.0, 117.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 135.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 153.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 171.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 189.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 207.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 225.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 243.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 261.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 279.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 297.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 315.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 333.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 351.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 369.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 387.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 405.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 423.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 441.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 459.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 477.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 495.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [75.0, 513.0, 587.0, 18.0], shoonya_1sKWBETYKILMYQ, 5699830]
[paragraph, [77.0, 536.0, 587.0, 18.0], shoonya_0sB0C3H80MCQR8, 5699830]
[paragraph, [77.0, 554.0, 587.0, 18.0], shoonya_0sB0C3H80MCQR8, 5699830]
[paragraph, [77.0, 572.0, 587.0, 18.0], shoonya_0sB0C3H80MCQR8, 5699830]
[paragraph, [77.0, 590.0, 587.0, 18.0], shoonya_0sB0C3H80MCQR8, 5699830]
[paragraph, [77.0, 608.0, 587.0, 18.0], shoonya_0sB0C3H80MCQR8, 5699830]
[paragraph, [77.0, 626.0, 587.0, 18.0], shoonya_0sB0C3H80MCQR8, 5699830]
[paragraph, [77.0, 644.0, 587.0, 18.0], shoonya_0sB0C3H80MCQR8, 5699830]
[paragraph, [77.0, 662.0, 587.0, 18.0], shoonya_0sB0C3H80MCQR8, 5699830]
[paragraph, [77.0, 680.0, 587.0, 18.0], shoonya_0sB0C3H80MCQR8, 5699830]
[paragraph, [77.0, 698.0, 587.0, 18.0], shoonya_0sB0C3H80MCQR8, 5699830]
[paragraph, [77.0, 716.0, 587.0, 18.0], shoonya_0sB0C3H80MCQR8, 5699830]
[paragraph, [77.0, 734.0, 587.0, 18.0], shoonya_0sB0C3H80MCQR8, 5699830]
[paragraph, [77.0, 752.0, 587.0, 18.0], shoonya_0sB0C3H80MCQR8, 5699830]
[paragraph, [77.0, 770.0, 587.0, 18.0], shoonya_0sB0C3H80MCQR8, 5699830]
[paragraph, [77.0, 788.0, 587.0, 18.0], shoonya_0sB0C3H80MCQR8, 5699830]
[paragraph, [77.0, 806.0, 587.0, 18.0], shoonya_0sB0C3H80MCQR8, 5699830]
[paragraph, [77.0, 824.0, 587.0, 18.0], shoonya_0sB0C3H80MCQR8, 5699830]
[paragraph, [77.0, 842.0, 587.0, 18.0], shoonya_0sB0C3H80MCQR8, 5699830]
[paragraph, [78.0, 876.0, 592.0, 18.0], shoonya_2s5KUG5Q5UP2A2, 5699830]
[paragraph, [78.0, 894.0, 592.0, 18.0], shoonya_2s5KUG5Q5UP2A2, 5699830]
[paragraph, [78.0, 912.0, 592.0, 18.0], shoonya_2s5KUG5Q5UP2A2, 5699830]
[paragraph, [78.0, 930.0, 592.0, 18.0], shoonya_2s5KUG5Q5UP2A2, 5699830]
[paragraph, [78.0, 948.0, 592.0, 18.0], shoonya_2s5KUG5Q5UP2A2, 5699830]
[paragraph, [78.0, 966.0, 592.0, 18.0], shoonya_2s5KUG5Q5UP2A2, 5699830]
[paragraph, [78.0, 984.0, 592.0, 18.0], shoonya_2s5KUG5Q5UP2A2, 5699830]
[paragraph, [83.0, 1014.0, 584.0, 18.0], shoonya_6sBYMCUAK886BS, 5699830]
[footnote, [68.0, 1050.0, 599.0, 18.0], j_HDZK8XS8, 5699830]
[footnote, [68.0, 1068.0, 599.0, 18.0], j_HDZK8XS8, 5699830]
