[3509, 2480]
[paragraph, [266.0, 420.0, 1962.0, 52.5], shoonya_0sQSNRVWS6GQBT, 5721201]
[paragraph, [266.0, 472.5, 1962.0, 52.5], shoonya_0sQSNRVWS6GQBT, 5721201]
[paragraph, [266.0, 525.0, 1962.0, 52.5], shoonya_0sQSNRVWS6GQBT, 5721201]
[paragraph, [269.0, 592.0, 1717.0, 52.5], LzOV3cAxTt, 5721201]
[paragraph, [266.0, 672.0, 1937.0, 52.5], hoGle-Wr77, 5721201]
[paragraph, [266.0, 724.5, 1937.0, 52.5], hoGle-Wr77, 5721201]
[paragraph, [266.0, 777.0, 1937.0, 52.5], hoGle-Wr77, 5721201]
[paragraph, [266.0, 829.5, 1937.0, 52.5], hoGle-Wr77, 5721201]
[paragraph, [266.0, 882.0, 1937.0, 52.5], hoGle-Wr77, 5721201]
[paragraph, [266.0, 934.5, 1937.0, 52.5], hoGle-Wr77, 5721201]
[paragraph, [266.0, 988.0, 1946.0, 52.5], QcMiuD1G1k, 5721201]
[paragraph, [266.0, 1040.5, 1946.0, 52.5], QcMiuD1G1k, 5721201]
[paragraph, [266.0, 1093.0, 1946.0, 52.5], QcMiuD1G1k, 5721201]
[paragraph, [266.0, 1145.5, 1946.0, 52.5], QcMiuD1G1k, 5721201]
[paragraph, [266.0, 1198.0, 1946.0, 52.5], QcMiuD1G1k, 5721201]
[paragraph, [266.0, 1250.5, 1946.0, 52.5], QcMiuD1G1k, 5721201]
[paragraph, [266.0, 1303.0, 1946.0, 52.5], QcMiuD1G1k, 5721201]
[paragraph, [269.0, 1382.0, 1946.0, 52.5], 9cwHkyY_vT, 5721201]
[paragraph, [269.0, 1434.5, 1946.0, 52.5], 9cwHkyY_vT, 5721201]
[paragraph, [269.0, 1487.0, 1946.0, 52.5], 9cwHkyY_vT, 5721201]
[paragraph, [269.0, 1539.5, 1946.0, 52.5], 9cwHkyY_vT, 5721201]
[paragraph, [269.0, 1592.0, 1946.0, 52.5], 9cwHkyY_vT, 5721201]
[paragraph, [269.0, 1644.5, 1946.0, 52.5], 9cwHkyY_vT, 5721201]
[paragraph, [269.0, 1698.0, 1940.0, 52.5], Igkp7VB1aN, 5721201]
[paragraph, [269.0, 1750.5, 1940.0, 52.5], Igkp7VB1aN, 5721201]
[paragraph, [269.0, 1803.0, 1940.0, 52.5], Igkp7VB1aN, 5721201]
[paragraph, [269.0, 1855.5, 1940.0, 52.5], Igkp7VB1aN, 5721201]
[paragraph, [272.0, 1931.0, 1937.0, 52.5], rQRMt8uJCR, 5721201]
[paragraph, [272.0, 1983.5, 1937.0, 52.5], rQRMt8uJCR, 5721201]
[paragraph, [272.0, 2036.0, 1937.0, 52.5], rQRMt8uJCR, 5721201]
[paragraph, [269.0, 2095.0, 1944.0, 52.5], shoonya_1sKDGD39I9E5UC, 5721201]
[paragraph, [269.0, 2147.5, 1944.0, 52.5], shoonya_1sKDGD39I9E5UC, 5721201]
[paragraph, [269.0, 2200.0, 1944.0, 52.5], shoonya_1sKDGD39I9E5UC, 5721201]
[paragraph, [269.0, 2252.5, 1944.0, 52.5], shoonya_1sKDGD39I9E5UC, 5721201]
[paragraph, [269.0, 2305.0, 1944.0, 52.5], shoonya_1sKDGD39I9E5UC, 5721201]
[paragraph, [269.0, 2357.5, 1944.0, 52.5], shoonya_1sKDGD39I9E5UC, 5721201]
[paragraph, [269.0, 2410.0, 1944.0, 52.5], shoonya_1sKDGD39I9E5UC, 5721201]
[paragraph, [269.0, 2462.5, 1944.0, 52.5], shoonya_1sKDGD39I9E5UC, 5721201]
[paragraph, [269.0, 2515.0, 1944.0, 52.5], shoonya_1sKDGD39I9E5UC, 5721201]
[paragraph, [269.0, 2567.5, 1944.0, 52.5], shoonya_1sKDGD39I9E5UC, 5721201]
[paragraph, [269.0, 2620.0, 1944.0, 52.5], shoonya_1sKDGD39I9E5UC, 5721201]
[paragraph, [269.0, 2672.5, 1944.0, 52.5], shoonya_1sKDGD39I9E5UC, 5721201]
[paragraph, [269.0, 2725.0, 1944.0, 52.5], shoonya_1sKDGD39I9E5UC, 5721201]
