[1637, 1070]
[paragraph, [46.0, 58.0, 902.0, 36.0], shoonya_3s0X0OFOJLZA7O, 5654384]
[paragraph, [46.0, 94.0, 902.0, 36.0], shoonya_3s0X0OFOJLZA7O, 5654384]
[paragraph, [46.0, 130.0, 902.0, 36.0], shoonya_3s0X0OFOJLZA7O, 5654384]
[paragraph, [46.0, 166.0, 902.0, 36.0], shoonya_3s0X0OFOJLZA7O, 5654384]
[paragraph, [46.0, 202.0, 902.0, 36.0], shoonya_3s0X0OFOJLZA7O, 5654384]
[paragraph, [46.0, 238.0, 902.0, 36.0], shoonya_3s0X0OFOJLZA7O, 5654384]
[paragraph, [58.0, 290.0, 891.0, 36.0], shoonya_1sSJW100SMDA1G, 5654384]
[paragraph, [58.0, 326.0, 891.0, 36.0], shoonya_1sSJW100SMDA1G, 5654384]
[paragraph, [58.0, 362.0, 891.0, 36.0], shoonya_1sSJW100SMDA1G, 5654384]
[paragraph, [58.0, 398.0, 891.0, 36.0], shoonya_1sSJW100SMDA1G, 5654384]
[paragraph, [58.0, 434.0, 891.0, 36.0], shoonya_1sSJW100SMDA1G, 5654384]
[paragraph, [58.0, 470.0, 891.0, 36.0], shoonya_1sSJW100SMDA1G, 5654384]
[paragraph, [58.0, 506.0, 891.0, 36.0], shoonya_1sSJW100SMDA1G, 5654384]
[paragraph, [58.0, 542.0, 891.0, 36.0], shoonya_1sSJW100SMDA1G, 5654384]
[paragraph, [59.0, 611.0, 883.0, 36.0], shoonya_2s3QN82IAJAJKQ, 5654384]
[paragraph, [59.0, 647.0, 883.0, 36.0], shoonya_2s3QN82IAJAJKQ, 5654384]
[paragraph, [59.0, 683.0, 883.0, 36.0], shoonya_2s3QN82IAJAJKQ, 5654384]
[paragraph, [59.0, 719.0, 883.0, 36.0], shoonya_2s3QN82IAJAJKQ, 5654384]
[paragraph, [59.0, 755.0, 883.0, 36.0], shoonya_2s3QN82IAJAJKQ, 5654384]
[paragraph, [59.0, 791.0, 883.0, 36.0], shoonya_2s3QN82IAJAJKQ, 5654384]
[paragraph, [59.0, 827.0, 883.0, 36.0], shoonya_2s3QN82IAJAJKQ, 5654384]
[paragraph, [43.0, 878.0, 907.0, 36.0], shoonya_0sBJ3UW372GTCW, 5654384]
[paragraph, [43.0, 914.0, 907.0, 36.0], shoonya_0sBJ3UW372GTCW, 5654384]
[paragraph, [43.0, 950.0, 907.0, 36.0], shoonya_0sBJ3UW372GTCW, 5654384]
[paragraph, [43.0, 986.0, 907.0, 36.0], shoonya_0sBJ3UW372GTCW, 5654384]
[paragraph, [43.0, 1022.0, 907.0, 36.0], shoonya_0sBJ3UW372GTCW, 5654384]
[paragraph, [43.0, 1058.0, 907.0, 36.0], shoonya_0sBJ3UW372GTCW, 5654384]
[paragraph, [43.0, 1094.0, 907.0, 36.0], shoonya_0sBJ3UW372GTCW, 5654384]
[paragraph, [43.0, 1130.0, 907.0, 36.0], shoonya_0sBJ3UW372GTCW, 5654384]
[paragraph, [43.0, 1166.0, 907.0, 36.0], shoonya_0sBJ3UW372GTCW, 5654384]
[paragraph, [43.0, 1202.0, 907.0, 36.0], shoonya_0sBJ3UW372GTCW, 5654384]
[paragraph, [43.0, 1238.0, 907.0, 36.0], shoonya_0sBJ3UW372GTCW, 5654384]
[paragraph, [43.0, 1274.0, 907.0, 36.0], shoonya_0sBJ3UW372GTCW, 5654384]
[paragraph, [43.0, 1310.0, 907.0, 36.0], shoonya_0sBJ3UW372GTCW, 5654384]
[paragraph, [43.0, 1346.0, 907.0, 36.0], shoonya_0sBJ3UW372GTCW, 5654384]
[paragraph, [43.0, 1382.0, 907.0, 36.0], shoonya_0sBJ3UW372GTCW, 5654384]
[paragraph, [43.0, 1418.0, 907.0, 36.0], shoonya_0sBJ3UW372GTCW, 5654384]
[paragraph, [43.0, 1454.0, 907.0, 36.0], shoonya_0sBJ3UW372GTCW, 5654384]
