[2009, 1410]
[ordered-list, [677.0, 62.0, 633.0, 36.0], shoonya_17sSA7FAH2DVWC, 5654551]
[ordered-list, [677.0, 98.0, 633.0, 36.0], shoonya_17sSA7FAH2DVWC, 5654551]
[ordered-list, [677.0, 134.0, 633.0, 36.0], shoonya_17sSA7FAH2DVWC, 5654551]
[ordered-list, [677.0, 170.0, 633.0, 36.0], shoonya_17sSA7FAH2DVWC, 5654551]
[ordered-list, [677.0, 206.0, 633.0, 36.0], shoonya_17sSA7FAH2DVWC, 5654551]
[ordered-list, [677.0, 242.0, 633.0, 36.0], shoonya_17sSA7FAH2DVWC, 5654551]
[ordered-list, [677.0, 278.0, 633.0, 36.0], shoonya_17sSA7FAH2DVWC, 5654551]
[ordered-list, [677.0, 314.0, 633.0, 36.0], shoonya_17sSA7FAH2DVWC, 5654551]
[ordered-list, [677.0, 350.0, 633.0, 36.0], shoonya_17sSA7FAH2DVWC, 5654551]
[ordered-list, [677.0, 386.0, 633.0, 36.0], shoonya_17sSA7FAH2DVWC, 5654551]
[ordered-list, [677.0, 422.0, 633.0, 36.0], shoonya_17sSA7FAH2DVWC, 5654551]
[paragraph, [33.0, 64.0, 630.0, 36.0], shoonya_0sZPTRRGWCJYWQ, 5654551]
[paragraph, [33.0, 100.0, 630.0, 36.0], shoonya_0sZPTRRGWCJYWQ, 5654551]
[paragraph, [33.0, 136.0, 630.0, 36.0], shoonya_0sZPTRRGWCJYWQ, 5654551]
[paragraph, [33.0, 172.0, 630.0, 36.0], shoonya_0sZPTRRGWCJYWQ, 5654551]
[paragraph, [33.0, 208.0, 630.0, 36.0], shoonya_0sZPTRRGWCJYWQ, 5654551]
[paragraph, [33.0, 244.0, 630.0, 36.0], shoonya_0sZPTRRGWCJYWQ, 5654551]
[paragraph, [33.0, 280.0, 630.0, 36.0], shoonya_0sZPTRRGWCJYWQ, 5654551]
[paragraph, [33.0, 316.0, 630.0, 36.0], shoonya_0sZPTRRGWCJYWQ, 5654551]
[paragraph, [334.0, 352.0, 326.0, 36.0], shoonya_7sVCDPQV5FNTDR, 5654551]
[paragraph, [334.0, 388.0, 326.0, 36.0], shoonya_7sVCDPQV5FNTDR, 5654551]
[paragraph, [334.0, 424.0, 326.0, 36.0], shoonya_7sVCDPQV5FNTDR, 5654551]
[ordered-list, [682.0, 463.0, 211.0, 36.0], n81TdZwOMG, 5654551]
[ordered-list, [682.0, 499.0, 211.0, 36.0], n81TdZwOMG, 5654551]
[ordered-list, [682.0, 535.0, 211.0, 36.0], n81TdZwOMG, 5654551]
[ordered-list, [682.0, 571.0, 211.0, 36.0], n81TdZwOMG, 5654551]
[ordered-list, [682.0, 607.0, 211.0, 36.0], n81TdZwOMG, 5654551]
[ordered-list, [682.0, 643.0, 211.0, 36.0], n81TdZwOMG, 5654551]
[ordered-list, [682.0, 679.0, 211.0, 36.0], n81TdZwOMG, 5654551]
[ordered-list, [682.0, 715.0, 211.0, 36.0], n81TdZwOMG, 5654551]
[paragraph, [336.0, 504.0, 335.0, 36.0], shoonya_8sCWRO0OK01WOK, 5654551]
[paragraph, [336.0, 540.0, 335.0, 36.0], shoonya_8sCWRO0OK01WOK, 5654551]
[paragraph, [336.0, 576.0, 335.0, 36.0], shoonya_8sCWRO0OK01WOK, 5654551]
[paragraph, [336.0, 612.0, 335.0, 36.0], shoonya_8sCWRO0OK01WOK, 5654551]
[paragraph, [336.0, 648.0, 335.0, 36.0], shoonya_8sCWRO0OK01WOK, 5654551]
[paragraph, [336.0, 684.0, 335.0, 36.0], shoonya_8sCWRO0OK01WOK, 5654551]
[paragraph, [336.0, 720.0, 335.0, 36.0], shoonya_8sCWRO0OK01WOK, 5654551]
[paragraph, [336.0, 756.0, 335.0, 36.0], shoonya_8sCWRO0OK01WOK, 5654551]
[paragraph, [336.0, 792.0, 335.0, 36.0], shoonya_8sCWRO0OK01WOK, 5654551]
[figure-caption, [1052.0, 727.0, 105.0, 36.0], 4ZkR9O-YeH, 5654551]
[ordered-list, [690.0, 771.0, 623.0, 36.0], csrQk5zPKR, 5654551]
[ordered-list, [690.0, 807.0, 623.0, 36.0], csrQk5zPKR, 5654551]
[ordered-list, [690.0, 843.0, 623.0, 36.0], csrQk5zPKR, 5654551]
[ordered-list, [690.0, 879.0, 623.0, 36.0], csrQk5zPKR, 5654551]
[figure-caption, [140.0, 793.0, 86.0, 36.0], shoonya_10s3Q696XMHKFZ, 5654551]
[paragraph, [39.0, 860.0, 631.0, 36.0], shoonya_3sU2MW6TL2L1C8, 5654551]
[paragraph, [39.0, 896.0, 631.0, 36.0], shoonya_3sU2MW6TL2L1C8, 5654551]
[paragraph, [39.0, 932.0, 631.0, 36.0], shoonya_3sU2MW6TL2L1C8, 5654551]
[paragraph, [39.0, 968.0, 631.0, 36.0], shoonya_3sU2MW6TL2L1C8, 5654551]
[paragraph, [39.0, 1004.0, 631.0, 36.0], shoonya_3sU2MW6TL2L1C8, 5654551]
[paragraph, [39.0, 1040.0, 631.0, 36.0], shoonya_3sU2MW6TL2L1C8, 5654551]
[paragraph, [39.0, 1076.0, 631.0, 36.0], shoonya_3sU2MW6TL2L1C8, 5654551]
[paragraph, [685.0, 969.0, 635.0, 36.0], shoonya_1sWHJA98FLMSJW, 5654551]
[paragraph, [685.0, 1005.0, 635.0, 36.0], shoonya_1sWHJA98FLMSJW, 5654551]
[paragraph, [685.0, 1041.0, 635.0, 36.0], shoonya_1sWHJA98FLMSJW, 5654551]
[paragraph, [685.0, 1077.0, 635.0, 36.0], shoonya_1sWHJA98FLMSJW, 5654551]
[paragraph, [685.0, 1113.0, 635.0, 36.0], shoonya_1sWHJA98FLMSJW, 5654551]
[paragraph, [868.0, 1166.0, 449.0, 36.0], shoonya_5sO0X5VMP4LKO9, 5654551]
[paragraph, [868.0, 1202.0, 449.0, 36.0], shoonya_5sO0X5VMP4LKO9, 5654551]
[paragraph, [868.0, 1238.0, 449.0, 36.0], shoonya_5sO0X5VMP4LKO9, 5654551]
[paragraph, [868.0, 1274.0, 449.0, 36.0], shoonya_5sO0X5VMP4LKO9, 5654551]
