[635, 412]
[paragraph, [61.0, 73.0, 290.0, 18.0], shoonya_1sI4E3AXUFR2Y4, 5720990]
[paragraph, [61.0, 91.0, 290.0, 18.0], shoonya_1sI4E3AXUFR2Y4, 5720990]
[paragraph, [61.0, 109.0, 290.0, 18.0], shoonya_1sI4E3AXUFR2Y4, 5720990]
[paragraph, [61.0, 127.0, 290.0, 18.0], shoonya_1sI4E3AXUFR2Y4, 5720990]
[paragraph, [61.0, 145.0, 290.0, 18.0], shoonya_1sI4E3AXUFR2Y4, 5720990]
[paragraph, [61.0, 163.0, 290.0, 18.0], shoonya_1sI4E3AXUFR2Y4, 5720990]
[paragraph, [60.0, 183.0, 290.0, 18.0], shoonya_0s6DJMJRK9LVOK, 5720990]
[paragraph, [60.0, 201.0, 290.0, 18.0], shoonya_0s6DJMJRK9LVOK, 5720990]
[paragraph, [60.0, 219.0, 290.0, 18.0], shoonya_0s6DJMJRK9LVOK, 5720990]
[paragraph, [60.0, 237.0, 290.0, 18.0], shoonya_0s6DJMJRK9LVOK, 5720990]
[paragraph, [60.0, 255.0, 290.0, 18.0], shoonya_0s6DJMJRK9LVOK, 5720990]
[paragraph, [60.0, 273.0, 290.0, 18.0], shoonya_0s6DJMJRK9LVOK, 5720990]
[paragraph, [60.0, 291.0, 290.0, 18.0], shoonya_0s6DJMJRK9LVOK, 5720990]
[paragraph, [60.0, 309.0, 290.0, 18.0], shoonya_0s6DJMJRK9LVOK, 5720990]
[paragraph, [60.0, 327.0, 290.0, 18.0], shoonya_0s6DJMJRK9LVOK, 5720990]
[paragraph, [60.0, 345.0, 290.0, 18.0], shoonya_0s6DJMJRK9LVOK, 5720990]
[paragraph, [60.0, 363.0, 290.0, 18.0], shoonya_0s6DJMJRK9LVOK, 5720990]
[paragraph, [60.0, 381.0, 290.0, 18.0], shoonya_0s6DJMJRK9LVOK, 5720990]
[paragraph, [60.0, 399.0, 290.0, 18.0], shoonya_0s6DJMJRK9LVOK, 5720990]
[paragraph, [60.0, 417.0, 290.0, 18.0], shoonya_0s6DJMJRK9LVOK, 5720990]
[paragraph, [60.0, 435.0, 290.0, 18.0], shoonya_0s6DJMJRK9LVOK, 5720990]
[paragraph, [60.0, 453.0, 290.0, 18.0], shoonya_0s6DJMJRK9LVOK, 5720990]
[paragraph, [60.0, 471.0, 290.0, 18.0], shoonya_0s6DJMJRK9LVOK, 5720990]
[paragraph, [60.0, 489.0, 290.0, 18.0], shoonya_0s6DJMJRK9LVOK, 5720990]
[paragraph, [60.0, 507.0, 290.0, 18.0], shoonya_0s6DJMJRK9LVOK, 5720990]
[paragraph, [62.0, 527.0, 289.0, 18.0], shoonya_2sDYX59A2RSUOM, 5720990]
[paragraph, [62.0, 545.0, 289.0, 18.0], shoonya_2sDYX59A2RSUOM, 5720990]
