[3508, 2481]
[contact-info, [516.0, 90.0, 1436.0, 52.5], jTM9mt6WnG, 6490589]
[contact-info, [516.0, 142.5, 1436.0, 52.5], jTM9mt6WnG, 6490589]
[contact-info, [612.0, 441.0, 1312.0, 52.5], J52gedcUD1, 6490589]
[contact-info, [612.0, 493.5, 1312.0, 52.5], J52gedcUD1, 6490589]
[contact-info, [612.0, 546.0, 1312.0, 52.5], J52gedcUD1, 6490589]
[contact-info, [612.0, 598.5, 1312.0, 52.5], J52gedcUD1, 6490589]
[headline, [1041.0, 771.0, 419.0, 52.5], 97TwfNDfls, 6490589]
[headline, [1041.0, 823.5, 419.0, 52.5], 97TwfNDfls, 6490589]
[dateline, [208.0, 1153.0, 432.0, 52.5], 9KmeOhAHy6, 6490589]
[paragraph, [189.0, 1415.0, 497.0, 52.5], y5Lj4r-u8-, 6490589]
[paragraph, [208.0, 1526.0, 2059.0, 52.5], WqAV67kDqe, 6490589]
[paragraph, [208.0, 1578.5, 2059.0, 52.5], WqAV67kDqe, 6490589]
[paragraph, [208.0, 1631.0, 2059.0, 52.5], WqAV67kDqe, 6490589]
[paragraph, [208.0, 1683.5, 2059.0, 52.5], WqAV67kDqe, 6490589]
[paragraph, [208.0, 1736.0, 2059.0, 52.5], WqAV67kDqe, 6490589]
[paragraph, [208.0, 1788.5, 2059.0, 52.5], WqAV67kDqe, 6490589]
[paragraph, [192.0, 2145.0, 2095.0, 52.5], Hkh7QGuTY9, 6490589]
[paragraph, [192.0, 2197.5, 2095.0, 52.5], Hkh7QGuTY9, 6490589]
[paragraph, [192.0, 2250.0, 2095.0, 52.5], Hkh7QGuTY9, 6490589]
[paragraph, [192.0, 2302.5, 2095.0, 52.5], Hkh7QGuTY9, 6490589]
[contact-info, [1778.0, 2702.0, 491.0, 52.5], uCz6atgUKQ, 6490589]
[contact-info, [935.0, 3280.0, 581.0, 52.5], ubKK9ukXvI, 6490589]
