[1650, 1275]
[chapter-title, [120.0, 25.0, 233.0, 58.5], shoonya_0s1JK0TGKC987C, 5774880]
[figure-caption, [127.0, 738.0, 1061.0, 36.0], 7ol66FRgr2, 5774880]
[figure-caption, [127.0, 774.0, 1061.0, 36.0], 7ol66FRgr2, 5774880]
[figure-caption, [127.0, 810.0, 1061.0, 36.0], 7ol66FRgr2, 5774880]
[figure-caption, [127.0, 846.0, 1061.0, 36.0], 7ol66FRgr2, 5774880]
[figure-caption, [127.0, 882.0, 1061.0, 36.0], 7ol66FRgr2, 5774880]
[figure-caption, [127.0, 918.0, 1061.0, 36.0], 7ol66FRgr2, 5774880]
[paragraph, [117.0, 977.0, 1067.0, 36.0], AXOvEuQtrp, 5774880]
[paragraph, [117.0, 1013.0, 1067.0, 36.0], AXOvEuQtrp, 5774880]
[paragraph, [117.0, 1049.0, 1067.0, 36.0], AXOvEuQtrp, 5774880]
[paragraph, [117.0, 1085.0, 1067.0, 36.0], AXOvEuQtrp, 5774880]
[paragraph, [117.0, 1121.0, 1067.0, 36.0], AXOvEuQtrp, 5774880]
[paragraph, [132.0, 1230.0, 1050.0, 36.0], FhiBr9Hphf, 5774880]
[paragraph, [132.0, 1266.0, 1050.0, 36.0], FhiBr9Hphf, 5774880]
[paragraph, [132.0, 1302.0, 1050.0, 36.0], FhiBr9Hphf, 5774880]
[paragraph, [132.0, 1338.0, 1050.0, 36.0], FhiBr9Hphf, 5774880]
[paragraph, [132.0, 1374.0, 1050.0, 36.0], FhiBr9Hphf, 5774880]
[paragraph, [132.0, 1410.0, 1050.0, 36.0], FhiBr9Hphf, 5774880]
[paragraph, [132.0, 1446.0, 1050.0, 36.0], FhiBr9Hphf, 5774880]
