[1787, 1218]
[author, [806.0, 225.0, 285.0, 36.0], oMTcCrxKt4, 5651139]
[section-title, [108.0, 274.0, 180.0, 49.5], shoonya_0s8GJY1KW19LXZ, 5651139]
[paragraph, [207.0, 408.0, 295.0, 36.0], T1wb1d2b1o, 5651139]
[paragraph, [207.0, 444.0, 295.0, 36.0], T1wb1d2b1o, 5651139]
[paragraph, [312.0, 518.0, 618.0, 36.0], -FyX6rmGt8, 5651139]
[paragraph, [312.0, 554.0, 618.0, 36.0], -FyX6rmGt8, 5651139]
[paragraph, [312.0, 590.0, 618.0, 36.0], -FyX6rmGt8, 5651139]
[paragraph, [312.0, 626.0, 618.0, 36.0], -FyX6rmGt8, 5651139]
[paragraph, [312.0, 662.0, 618.0, 36.0], -FyX6rmGt8, 5651139]
[paragraph, [312.0, 698.0, 618.0, 36.0], -FyX6rmGt8, 5651139]
[paragraph, [213.0, 757.0, 603.0, 36.0], 0z-xTJAai4, 5651139]
[paragraph, [213.0, 793.0, 603.0, 36.0], 0z-xTJAai4, 5651139]
[paragraph, [213.0, 829.0, 603.0, 36.0], 0z-xTJAai4, 5651139]
[paragraph, [213.0, 865.0, 603.0, 36.0], 0z-xTJAai4, 5651139]
[paragraph, [213.0, 901.0, 603.0, 36.0], 0z-xTJAai4, 5651139]
[paragraph, [213.0, 937.0, 603.0, 36.0], 0z-xTJAai4, 5651139]
[paragraph, [317.0, 1003.0, 621.0, 36.0], ttkLHhx251, 5651139]
[paragraph, [317.0, 1039.0, 621.0, 36.0], ttkLHhx251, 5651139]
[paragraph, [317.0, 1075.0, 621.0, 36.0], ttkLHhx251, 5651139]
[paragraph, [317.0, 1111.0, 621.0, 36.0], ttkLHhx251, 5651139]
[paragraph, [317.0, 1147.0, 621.0, 36.0], ttkLHhx251, 5651139]
[paragraph, [317.0, 1183.0, 621.0, 36.0], ttkLHhx251, 5651139]
[paragraph, [217.0, 1247.0, 609.0, 36.0], L9OrnFmmjv, 5651139]
[paragraph, [217.0, 1283.0, 609.0, 36.0], L9OrnFmmjv, 5651139]
[paragraph, [217.0, 1319.0, 609.0, 36.0], L9OrnFmmjv, 5651139]
[paragraph, [217.0, 1355.0, 609.0, 36.0], L9OrnFmmjv, 5651139]
[paragraph, [217.0, 1391.0, 609.0, 36.0], L9OrnFmmjv, 5651139]
[paragraph, [217.0, 1427.0, 609.0, 36.0], L9OrnFmmjv, 5651139]
