[1500, 2667]
[headline, [965.0, 154.0, 733.0, 37.5], shoonya_0s9AILJNM7CBQ1, 5758214]
[headline, [965.0, 191.5, 733.0, 37.5], shoonya_0s9AILJNM7CBQ1, 5758214]
[options, [1787.0, 439.0, 669.0, 36.0], 0KOl0uHLPW, 5758214]
[options, [1787.0, 475.0, 669.0, 36.0], 0KOl0uHLPW, 5758214]
[options, [1787.0, 511.0, 669.0, 36.0], 0KOl0uHLPW, 5758214]
[options, [1787.0, 547.0, 669.0, 36.0], 0KOl0uHLPW, 5758214]
[options, [1787.0, 583.0, 669.0, 36.0], 0KOl0uHLPW, 5758214]
[options, [1787.0, 619.0, 669.0, 36.0], 0KOl0uHLPW, 5758214]
[options, [1787.0, 655.0, 669.0, 36.0], 0KOl0uHLPW, 5758214]
[options, [1787.0, 691.0, 669.0, 36.0], 0KOl0uHLPW, 5758214]
[options, [1787.0, 727.0, 669.0, 36.0], 0KOl0uHLPW, 5758214]
[options, [1787.0, 763.0, 669.0, 36.0], 0KOl0uHLPW, 5758214]
[options, [1787.0, 799.0, 669.0, 36.0], 0KOl0uHLPW, 5758214]
[options, [1787.0, 835.0, 669.0, 36.0], 0KOl0uHLPW, 5758214]
[options, [1787.0, 871.0, 669.0, 36.0], 0KOl0uHLPW, 5758214]
[options, [1787.0, 907.0, 669.0, 36.0], 0KOl0uHLPW, 5758214]
[options, [1787.0, 943.0, 669.0, 36.0], 0KOl0uHLPW, 5758214]
[options, [1787.0, 979.0, 669.0, 36.0], 0KOl0uHLPW, 5758214]
[options, [1787.0, 1015.0, 669.0, 36.0], 0KOl0uHLPW, 5758214]
[options, [1787.0, 1051.0, 669.0, 36.0], 0KOl0uHLPW, 5758214]
[options, [1002.0, 443.0, 629.0, 36.0], 2nM0S2xS0v, 5758214]
[options, [1002.0, 479.0, 629.0, 36.0], 2nM0S2xS0v, 5758214]
[options, [1002.0, 515.0, 629.0, 36.0], 2nM0S2xS0v, 5758214]
[options, [1002.0, 551.0, 629.0, 36.0], 2nM0S2xS0v, 5758214]
[options, [1002.0, 587.0, 629.0, 36.0], 2nM0S2xS0v, 5758214]
[options, [1002.0, 623.0, 629.0, 36.0], 2nM0S2xS0v, 5758214]
[options, [1002.0, 659.0, 629.0, 36.0], 2nM0S2xS0v, 5758214]
[options, [1002.0, 695.0, 629.0, 36.0], 2nM0S2xS0v, 5758214]
[options, [1002.0, 731.0, 629.0, 36.0], 2nM0S2xS0v, 5758214]
[options, [1002.0, 767.0, 629.0, 36.0], 2nM0S2xS0v, 5758214]
[options, [1002.0, 803.0, 629.0, 36.0], 2nM0S2xS0v, 5758214]
[options, [1002.0, 839.0, 629.0, 36.0], 2nM0S2xS0v, 5758214]
[options, [1002.0, 875.0, 629.0, 36.0], 2nM0S2xS0v, 5758214]
[options, [1002.0, 911.0, 629.0, 36.0], 2nM0S2xS0v, 5758214]
[options, [1002.0, 947.0, 629.0, 36.0], 2nM0S2xS0v, 5758214]
[options, [1002.0, 983.0, 629.0, 36.0], 2nM0S2xS0v, 5758214]
[options, [1002.0, 1019.0, 629.0, 36.0], 2nM0S2xS0v, 5758214]
[options, [1002.0, 1055.0, 629.0, 36.0], 2nM0S2xS0v, 5758214]
[options, [206.0, 479.0, 602.0, 36.0], HLWowdwbaJ, 5758214]
[options, [206.0, 515.0, 602.0, 36.0], HLWowdwbaJ, 5758214]
[options, [206.0, 551.0, 602.0, 36.0], HLWowdwbaJ, 5758214]
[options, [206.0, 587.0, 602.0, 36.0], HLWowdwbaJ, 5758214]
[options, [206.0, 623.0, 602.0, 36.0], HLWowdwbaJ, 5758214]
[options, [206.0, 659.0, 602.0, 36.0], HLWowdwbaJ, 5758214]
[options, [206.0, 695.0, 602.0, 36.0], HLWowdwbaJ, 5758214]
[options, [206.0, 731.0, 602.0, 36.0], HLWowdwbaJ, 5758214]
[options, [206.0, 767.0, 602.0, 36.0], HLWowdwbaJ, 5758214]
[options, [206.0, 803.0, 602.0, 36.0], HLWowdwbaJ, 5758214]
[options, [206.0, 839.0, 602.0, 36.0], HLWowdwbaJ, 5758214]
[options, [206.0, 875.0, 602.0, 36.0], HLWowdwbaJ, 5758214]
[options, [206.0, 911.0, 602.0, 36.0], HLWowdwbaJ, 5758214]
[options, [206.0, 947.0, 602.0, 36.0], HLWowdwbaJ, 5758214]
[options, [206.0, 983.0, 602.0, 36.0], HLWowdwbaJ, 5758214]
[options, [206.0, 1019.0, 602.0, 36.0], HLWowdwbaJ, 5758214]
[options, [206.0, 1055.0, 602.0, 36.0], HLWowdwbaJ, 5758214]
