[1806, 1178]
[chapter-title, [327.0, 135.0, 628.0, 58.5], shoonya_2s1J8G19M00HHD, 5751193]
[chapter-title, [327.0, 193.5, 628.0, 58.5], shoonya_2s1J8G19M00HHD, 5751193]
[chapter-title, [327.0, 252.0, 628.0, 58.5], shoonya_2s1J8G19M00HHD, 5751193]
[section-title, [424.0, 427.0, 189.0, 49.5], shoonya_0sV3CLE1CMK0PB, 5751193]
[sub-section-title, [425.0, 501.0, 197.0, 36.0], 1SRD5SfSW1, 5751193]
[paragraph, [249.0, 553.0, 608.0, 36.0], shoonya_1sHBIX4GCNKMV6, 5751193]
[paragraph, [249.0, 589.0, 608.0, 36.0], shoonya_1sHBIX4GCNKMV6, 5751193]
[paragraph, [249.0, 625.0, 608.0, 36.0], shoonya_1sHBIX4GCNKMV6, 5751193]
[paragraph, [249.0, 661.0, 608.0, 36.0], shoonya_1sHBIX4GCNKMV6, 5751193]
[paragraph, [249.0, 697.0, 608.0, 36.0], shoonya_1sHBIX4GCNKMV6, 5751193]
[paragraph, [249.0, 733.0, 608.0, 36.0], shoonya_1sHBIX4GCNKMV6, 5751193]
[paragraph, [249.0, 769.0, 608.0, 36.0], shoonya_1sHBIX4GCNKMV6, 5751193]
[paragraph, [249.0, 805.0, 608.0, 36.0], shoonya_1sHBIX4GCNKMV6, 5751193]
[paragraph, [234.0, 901.0, 655.0, 36.0], 1gNS8thIrJ, 5751193]
[paragraph, [234.0, 937.0, 655.0, 36.0], 1gNS8thIrJ, 5751193]
[paragraph, [234.0, 973.0, 655.0, 36.0], 1gNS8thIrJ, 5751193]
[paragraph, [234.0, 1009.0, 655.0, 36.0], 1gNS8thIrJ, 5751193]
[paragraph, [234.0, 1045.0, 655.0, 36.0], 1gNS8thIrJ, 5751193]
[paragraph, [234.0, 1081.0, 655.0, 36.0], 1gNS8thIrJ, 5751193]
[paragraph, [234.0, 1117.0, 655.0, 36.0], 1gNS8thIrJ, 5751193]
[paragraph, [234.0, 1153.0, 655.0, 36.0], 1gNS8thIrJ, 5751193]
[paragraph, [231.0, 1254.0, 730.0, 36.0], A8ysA6Ncup, 5751193]
[paragraph, [231.0, 1290.0, 730.0, 36.0], A8ysA6Ncup, 5751193]
[paragraph, [231.0, 1326.0, 730.0, 36.0], A8ysA6Ncup, 5751193]
[paragraph, [231.0, 1362.0, 730.0, 36.0], A8ysA6Ncup, 5751193]
[paragraph, [231.0, 1398.0, 730.0, 36.0], A8ysA6Ncup, 5751193]
[paragraph, [231.0, 1434.0, 730.0, 36.0], A8ysA6Ncup, 5751193]
[paragraph, [231.0, 1470.0, 730.0, 36.0], A8ysA6Ncup, 5751193]
[paragraph, [231.0, 1506.0, 730.0, 36.0], A8ysA6Ncup, 5751193]
[folio, [583.0, 1590.0, 168.0, 36.0], OnEqMODSEK, 5751193]
