[814, 624]
[section-title, [79.0, 54.0, 464.0, 30.0], shoonya_2s2SCK1GINTXMU, 5690355]
[unordered-list, [80.0, 109.0, 463.0, 18.0], shoonya_3sYJRH9NDI8WKH, 5690355]
[unordered-list, [80.0, 127.0, 463.0, 18.0], shoonya_3sYJRH9NDI8WKH, 5690355]
[unordered-list, [80.0, 145.0, 463.0, 18.0], shoonya_3sYJRH9NDI8WKH, 5690355]
[unordered-list, [81.0, 215.0, 463.0, 18.0], MneSm80Ol2, 5690355]
[unordered-list, [81.0, 233.0, 463.0, 18.0], MneSm80Ol2, 5690355]
[unordered-list, [81.0, 251.0, 463.0, 18.0], MneSm80Ol2, 5690355]
[unordered-list, [81.0, 269.0, 463.0, 18.0], MneSm80Ol2, 5690355]
[unordered-list, [81.0, 287.0, 463.0, 18.0], MneSm80Ol2, 5690355]
[unordered-list, [81.0, 305.0, 463.0, 18.0], MneSm80Ol2, 5690355]
[unordered-list, [81.0, 323.0, 463.0, 18.0], MneSm80Ol2, 5690355]
[sub-unordered-list, [107.0, 264.0, 251.0, 18.0], IaYcgI4dOg, 5690355]
[sub-unordered-list, [107.0, 282.0, 251.0, 18.0], IaYcgI4dOg, 5690355]
[paragraph, [78.0, 391.0, 466.0, 18.0], shoonya_0s1626ZID9587H, 5690355]
[paragraph, [78.0, 409.0, 466.0, 18.0], shoonya_0s1626ZID9587H, 5690355]
[paragraph, [78.0, 427.0, 466.0, 18.0], shoonya_0s1626ZID9587H, 5690355]
[paragraph, [80.0, 463.0, 463.0, 18.0], KwOyJVR48f, 5690355]
[paragraph, [80.0, 481.0, 463.0, 18.0], KwOyJVR48f, 5690355]
[paragraph, [80.0, 499.0, 463.0, 18.0], KwOyJVR48f, 5690355]
[paragraph, [80.0, 517.0, 463.0, 18.0], KwOyJVR48f, 5690355]
[paragraph, [80.0, 535.0, 463.0, 18.0], KwOyJVR48f, 5690355]
[paragraph, [80.0, 553.0, 463.0, 18.0], KwOyJVR48f, 5690355]
[paragraph, [166.0, 579.0, 375.0, 18.0], rQPptc4HLz, 5690355]
[subsub-section-title, [81.0, 580.0, 81.0, 15.0], bSMWSGD7V0, 5690355]
[paragraph, [81.0, 602.0, 165.0, 18.0], QmSc2eJe82, 5690355]
[unordered-list, [107.0, 627.0, 438.0, 18.0], shoonya_4sQ4OUZKDNS4IT, 5690355]
[unordered-list, [107.0, 645.0, 438.0, 18.0], shoonya_4sQ4OUZKDNS4IT, 5690355]
[unordered-list, [107.0, 663.0, 438.0, 18.0], shoonya_4sQ4OUZKDNS4IT, 5690355]
[unordered-list, [107.0, 681.0, 438.0, 18.0], shoonya_4sQ4OUZKDNS4IT, 5690355]
[unordered-list, [107.0, 699.0, 438.0, 18.0], shoonya_4sQ4OUZKDNS4IT, 5690355]
[unordered-list, [107.0, 717.0, 438.0, 18.0], shoonya_4sQ4OUZKDNS4IT, 5690355]
