[1492, 1000]
[folio, [465.0, 152.0, 82.0, 18.0], 2hjG1AzNJP, 5720265]
[paragraph, [142.0, 210.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 228.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 246.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 264.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 282.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 300.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 318.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 336.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 354.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 372.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 390.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 408.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 426.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 444.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 462.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 480.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 498.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 516.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 534.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 552.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 570.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 588.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 606.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 624.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 642.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 660.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 678.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 696.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 714.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 732.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 750.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 768.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 786.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 804.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 822.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 840.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 858.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 876.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 894.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 912.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 930.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 948.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 966.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 984.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 1002.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 1020.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 1038.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 1056.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 1074.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 1092.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 1110.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [142.0, 1128.0, 730.0, 18.0], shoonya_0sCQ15YEOSU0GB, 5720265]
[paragraph, [140.0, 1152.0, 739.0, 18.0], cwhDK616pT, 5720265]
[paragraph, [140.0, 1170.0, 739.0, 18.0], cwhDK616pT, 5720265]
[paragraph, [140.0, 1188.0, 739.0, 18.0], cwhDK616pT, 5720265]
[paragraph, [140.0, 1206.0, 739.0, 18.0], cwhDK616pT, 5720265]
[paragraph, [140.0, 1224.0, 739.0, 18.0], cwhDK616pT, 5720265]
[paragraph, [140.0, 1242.0, 739.0, 18.0], cwhDK616pT, 5720265]
[paragraph, [140.0, 1260.0, 739.0, 18.0], cwhDK616pT, 5720265]
[paragraph, [140.0, 1278.0, 739.0, 18.0], cwhDK616pT, 5720265]
[paragraph, [140.0, 1296.0, 739.0, 18.0], cwhDK616pT, 5720265]
