[975, 571]
[paragraph, [23.0, 59.0, 520.0, 18.0], shoonya_2s17GYHMGTC2BC, 5775814]
[paragraph, [23.0, 77.0, 520.0, 18.0], shoonya_2s17GYHMGTC2BC, 5775814]
[paragraph, [23.0, 95.0, 520.0, 18.0], shoonya_2s17GYHMGTC2BC, 5775814]
[paragraph, [24.0, 116.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 134.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 152.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 170.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 188.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 206.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 224.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 242.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 260.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 278.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 296.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 314.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 332.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 350.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 368.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 386.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 404.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 422.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 440.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 458.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 476.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 494.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 512.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 530.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 548.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 566.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 584.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 602.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 620.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 638.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 656.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [24.0, 674.0, 521.0, 18.0], shoonya_1sPLIETM0Q3BR9, 5775814]
[paragraph, [27.0, 700.0, 515.0, 18.0], shoonya_0sBJ0IUTZ7O93A, 5775814]
[paragraph, [27.0, 718.0, 515.0, 18.0], shoonya_0sBJ0IUTZ7O93A, 5775814]
[paragraph, [27.0, 736.0, 515.0, 18.0], shoonya_0sBJ0IUTZ7O93A, 5775814]
[paragraph, [27.0, 754.0, 515.0, 18.0], shoonya_0sBJ0IUTZ7O93A, 5775814]
[paragraph, [27.0, 772.0, 515.0, 18.0], shoonya_0sBJ0IUTZ7O93A, 5775814]
[paragraph, [27.0, 790.0, 515.0, 18.0], shoonya_0sBJ0IUTZ7O93A, 5775814]
[paragraph, [27.0, 808.0, 515.0, 18.0], shoonya_0sBJ0IUTZ7O93A, 5775814]
[paragraph, [27.0, 826.0, 515.0, 18.0], shoonya_0sBJ0IUTZ7O93A, 5775814]
[paragraph, [27.0, 844.0, 515.0, 18.0], shoonya_0sBJ0IUTZ7O93A, 5775814]
[paragraph, [27.0, 862.0, 515.0, 18.0], shoonya_0sBJ0IUTZ7O93A, 5775814]
[paragraph, [27.0, 880.0, 515.0, 18.0], shoonya_0sBJ0IUTZ7O93A, 5775814]
