[1667, 1042]
[folio, [146.0, 90.0, 189.0, 36.0], 5w_7UDiePo, 5753097]
[paragraph, [120.0, 182.0, 860.0, 36.0], shoonya_0sX0S4BSPVDJYF, 5753097]
[paragraph, [120.0, 218.0, 860.0, 36.0], shoonya_0sX0S4BSPVDJYF, 5753097]
[paragraph, [114.0, 279.0, 544.0, 36.0], bcgdEC8afX, 5753097]
[paragraph, [118.0, 528.0, 860.0, 36.0], AQqHRbIA9-, 5753097]
[paragraph, [118.0, 564.0, 860.0, 36.0], AQqHRbIA9-, 5753097]
[paragraph, [118.0, 600.0, 860.0, 36.0], AQqHRbIA9-, 5753097]
[paragraph, [118.0, 636.0, 860.0, 36.0], AQqHRbIA9-, 5753097]
[paragraph, [118.0, 672.0, 860.0, 36.0], AQqHRbIA9-, 5753097]
[paragraph, [118.0, 708.0, 860.0, 36.0], AQqHRbIA9-, 5753097]
[paragraph, [118.0, 744.0, 860.0, 36.0], AQqHRbIA9-, 5753097]
[paragraph, [116.0, 819.0, 859.0, 36.0], Nn502pkb1l, 5753097]
[paragraph, [116.0, 855.0, 859.0, 36.0], Nn502pkb1l, 5753097]
[paragraph, [116.0, 891.0, 859.0, 36.0], Nn502pkb1l, 5753097]
[paragraph, [116.0, 927.0, 859.0, 36.0], Nn502pkb1l, 5753097]
[paragraph, [116.0, 963.0, 859.0, 36.0], Nn502pkb1l, 5753097]
[paragraph, [116.0, 999.0, 859.0, 36.0], Nn502pkb1l, 5753097]
[paragraph, [119.0, 1057.0, 867.0, 36.0], es4xVOmPFL, 5753097]
[paragraph, [119.0, 1093.0, 867.0, 36.0], es4xVOmPFL, 5753097]
[paragraph, [119.0, 1129.0, 867.0, 36.0], es4xVOmPFL, 5753097]
[paragraph, [119.0, 1165.0, 867.0, 36.0], es4xVOmPFL, 5753097]
[paragraph, [119.0, 1201.0, 867.0, 36.0], es4xVOmPFL, 5753097]
[paragraph, [119.0, 1237.0, 867.0, 36.0], es4xVOmPFL, 5753097]
[paragraph, [119.0, 1273.0, 867.0, 36.0], es4xVOmPFL, 5753097]
[paragraph, [119.0, 1309.0, 867.0, 36.0], es4xVOmPFL, 5753097]
[paragraph, [119.0, 1345.0, 867.0, 36.0], es4xVOmPFL, 5753097]
[paragraph, [119.0, 1381.0, 867.0, 36.0], es4xVOmPFL, 5753097]
[paragraph, [116.0, 1436.0, 858.0, 36.0], B4ETTGAnZh, 5753097]
[paragraph, [116.0, 1472.0, 858.0, 36.0], B4ETTGAnZh, 5753097]
[website-link, [324.0, 1605.0, 358.0, 18.0], shoonya_2s2R4YFKQ1RTZC, 5753097]
[website-link, [324.0, 1623.0, 358.0, 18.0], shoonya_2s2R4YFKQ1RTZC, 5753097]
