[1275, 750]
[folio, [224.0, 76.0, 296.0, 18.0], g98JgRg02Y, 5767557]
[folio, [224.0, 94.0, 296.0, 18.0], g98JgRg02Y, 5767557]
[folio, [224.0, 112.0, 296.0, 18.0], g98JgRg02Y, 5767557]
[paragraph, [59.0, 154.0, 637.0, 18.0], JDSNH-z1Gn, 5767557]
[paragraph, [59.0, 172.0, 637.0, 18.0], JDSNH-z1Gn, 5767557]
[paragraph, [59.0, 190.0, 637.0, 18.0], JDSNH-z1Gn, 5767557]
[paragraph, [59.0, 208.0, 637.0, 18.0], JDSNH-z1Gn, 5767557]
[paragraph, [59.0, 226.0, 637.0, 18.0], JDSNH-z1Gn, 5767557]
[paragraph, [59.0, 244.0, 637.0, 18.0], JDSNH-z1Gn, 5767557]
[paragraph, [59.0, 262.0, 637.0, 18.0], JDSNH-z1Gn, 5767557]
[paragraph, [59.0, 280.0, 637.0, 18.0], JDSNH-z1Gn, 5767557]
[paragraph, [59.0, 298.0, 637.0, 18.0], JDSNH-z1Gn, 5767557]
[paragraph, [59.0, 316.0, 637.0, 18.0], JDSNH-z1Gn, 5767557]
[paragraph, [51.0, 344.0, 647.0, 18.0], shoonya_0sAWS27J2B1P8Z, 5767557]
[paragraph, [51.0, 362.0, 647.0, 18.0], shoonya_0sAWS27J2B1P8Z, 5767557]
[paragraph, [51.0, 380.0, 647.0, 18.0], shoonya_0sAWS27J2B1P8Z, 5767557]
[paragraph, [51.0, 398.0, 647.0, 18.0], shoonya_0sAWS27J2B1P8Z, 5767557]
[paragraph, [51.0, 416.0, 647.0, 18.0], shoonya_0sAWS27J2B1P8Z, 5767557]
[paragraph, [51.0, 434.0, 647.0, 18.0], shoonya_0sAWS27J2B1P8Z, 5767557]
[paragraph, [51.0, 452.0, 647.0, 18.0], shoonya_0sAWS27J2B1P8Z, 5767557]
[paragraph, [51.0, 470.0, 647.0, 18.0], shoonya_0sAWS27J2B1P8Z, 5767557]
[paragraph, [51.0, 488.0, 647.0, 18.0], shoonya_0sAWS27J2B1P8Z, 5767557]
[paragraph, [51.0, 506.0, 647.0, 18.0], shoonya_0sAWS27J2B1P8Z, 5767557]
