[2481, 1654]
[folio, [332.0, 99.0, 150.0, 36.0], mzfJJzgYOP, 5721499]
[paragraph, [225.0, 212.0, 1273.0, 36.0], shoonya_2sZD28D9EZ01M6, 5721499]
[paragraph, [225.0, 248.0, 1273.0, 36.0], shoonya_2sZD28D9EZ01M6, 5721499]
[paragraph, [225.0, 284.0, 1273.0, 36.0], shoonya_2sZD28D9EZ01M6, 5721499]
[paragraph, [225.0, 320.0, 1273.0, 36.0], shoonya_2sZD28D9EZ01M6, 5721499]
[paragraph, [219.0, 374.0, 1271.0, 36.0], hq6q2lVVVU, 5721499]
[paragraph, [219.0, 410.0, 1271.0, 36.0], hq6q2lVVVU, 5721499]
[paragraph, [225.0, 477.0, 1271.0, 36.0], UihWbzWKFx, 5721499]
[paragraph, [225.0, 513.0, 1271.0, 36.0], UihWbzWKFx, 5721499]
[paragraph, [225.0, 549.0, 1271.0, 36.0], UihWbzWKFx, 5721499]
[paragraph, [225.0, 585.0, 1271.0, 36.0], UihWbzWKFx, 5721499]
[paragraph, [279.0, 632.0, 866.0, 36.0], WOt1VZ2n16, 5721499]
[paragraph, [283.0, 690.0, 121.0, 36.0], EUZXK9R4ab, 5721499]
[paragraph, [283.0, 740.0, 1035.0, 36.0], cm-TXd8eWH, 5721499]
[paragraph, [283.0, 791.0, 260.0, 36.0], MfN1jcQ1Ui, 5721499]
[paragraph, [279.0, 841.0, 1188.0, 36.0], kOqHnsNtXQ, 5721499]
[paragraph, [223.0, 895.0, 1275.0, 36.0], _4ZFF66CsL, 5721499]
[paragraph, [223.0, 931.0, 1275.0, 36.0], _4ZFF66CsL, 5721499]
[paragraph, [283.0, 1000.0, 489.0, 36.0], 0orIlo6mOw, 5721499]
[paragraph, [285.0, 1052.0, 303.0, 36.0], bci1RCv_CG, 5721499]
[paragraph, [279.0, 1104.0, 926.0, 36.0], kJ_hm4ualM, 5721499]
[paragraph, [283.0, 1157.0, 1159.0, 36.0], 8xXOnixKBg, 5721499]
[paragraph, [281.0, 1209.0, 1215.0, 36.0], ZxvPZXQr2S, 5721499]
[paragraph, [281.0, 1259.0, 770.0, 36.0], shoonya_1sADJ6AR4HYK07, 5721499]
[paragraph, [277.0, 1312.0, 736.0, 36.0], c57OROczzC, 5721499]
[paragraph, [225.0, 1364.0, 1275.0, 36.0], Bvn4X9JnMw, 5721499]
[paragraph, [225.0, 1400.0, 1275.0, 36.0], Bvn4X9JnMw, 5721499]
[paragraph, [225.0, 1436.0, 1275.0, 36.0], Bvn4X9JnMw, 5721499]
[paragraph, [225.0, 1472.0, 1275.0, 36.0], Bvn4X9JnMw, 5721499]
[paragraph, [223.0, 1521.0, 1273.0, 36.0], xeSPFyw_jX, 5721499]
[paragraph, [223.0, 1557.0, 1273.0, 36.0], xeSPFyw_jX, 5721499]
[paragraph, [277.0, 1622.0, 498.0, 36.0], Q2n9x5XFn8, 5721499]
[paragraph, [217.0, 1674.0, 1275.0, 36.0], dRjQhAmCBz, 5721499]
[paragraph, [217.0, 1710.0, 1275.0, 36.0], dRjQhAmCBz, 5721499]
[paragraph, [221.0, 1778.0, 1277.0, 36.0], 3gPITeh8if, 5721499]
[paragraph, [221.0, 1814.0, 1277.0, 36.0], 3gPITeh8if, 5721499]
[paragraph, [221.0, 1850.0, 1277.0, 36.0], 3gPITeh8if, 5721499]
[paragraph, [279.0, 1885.0, 554.0, 36.0], 2GhfdX7YyO, 5721499]
[paragraph, [223.0, 1937.0, 1275.0, 36.0], eufKh7Cvnt, 5721499]
[paragraph, [223.0, 1973.0, 1275.0, 36.0], eufKh7Cvnt, 5721499]
[paragraph, [223.0, 2009.0, 1275.0, 36.0], eufKh7Cvnt, 5721499]
[paragraph, [223.0, 2045.0, 1275.0, 36.0], eufKh7Cvnt, 5721499]
[paragraph, [223.0, 2081.0, 1275.0, 36.0], eufKh7Cvnt, 5721499]
[paragraph, [274.0, 2148.0, 487.0, 36.0], FVm65Fuvjd, 5721499]
