[2806, 1984]
[paragraph, [337.0, 198.0, 1414.0, 46.5], shoonya_2sGZV0SN5GNDV8, 5698780]
[paragraph, [337.0, 244.5, 1414.0, 46.5], shoonya_2sGZV0SN5GNDV8, 5698780]
[ordered-list, [222.0, 345.0, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 391.5, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 438.0, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 484.5, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 531.0, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 577.5, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 624.0, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 670.5, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 717.0, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 763.5, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 810.0, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 856.5, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 903.0, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 949.5, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 996.0, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1042.5, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1089.0, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1135.5, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1182.0, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1228.5, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1275.0, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1321.5, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1368.0, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1414.5, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1461.0, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1507.5, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1554.0, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1600.5, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1647.0, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1693.5, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1740.0, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1786.5, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1833.0, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1879.5, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1926.0, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 1972.5, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 2019.0, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[ordered-list, [222.0, 2065.5, 1539.0, 46.5], shoonya_1s8RMJHUSR7D7S, 5698780]
[paragraph, [348.0, 2158.0, 1413.0, 46.5], shoonya_3sPI3RGH37KE0T, 5698780]
[paragraph, [348.0, 2204.5, 1413.0, 46.5], shoonya_3sPI3RGH37KE0T, 5698780]
[paragraph, [348.0, 2251.0, 1413.0, 46.5], shoonya_3sPI3RGH37KE0T, 5698780]
[paragraph, [348.0, 2297.5, 1413.0, 46.5], shoonya_3sPI3RGH37KE0T, 5698780]
[paragraph, [349.0, 2396.0, 1410.0, 46.5], shoonya_4s2KABWYJH4ZKR, 5698780]
[paragraph, [349.0, 2442.5, 1410.0, 46.5], shoonya_4s2KABWYJH4ZKR, 5698780]
[paragraph, [349.0, 2489.0, 1410.0, 46.5], shoonya_4s2KABWYJH4ZKR, 5698780]
[paragraph, [349.0, 2535.5, 1410.0, 46.5], shoonya_4s2KABWYJH4ZKR, 5698780]
