[1275, 750]
[folio, [300.0, 86.0, 125.0, 18.0], shoonya_2sCHTGUT057E5J, 5767461]
[folio, [300.0, 104.0, 125.0, 18.0], shoonya_2sCHTGUT057E5J, 5767461]
[paragraph, [60.0, 159.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 177.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 195.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 213.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 231.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 249.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 267.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 285.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 303.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 321.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 339.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 357.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 375.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 393.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 411.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 429.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 447.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 465.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 483.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 501.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 519.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 537.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 555.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 573.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 591.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 609.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 627.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 645.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 663.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 681.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 699.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 717.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 735.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 753.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 771.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
[paragraph, [60.0, 789.0, 627.0, 18.0], shoonya_3sAJ9K529FMNKO, 5767461]
