[1951, 1219]
[chapter-title, [523.0, 453.0, 155.0, 58.5], Ut0EKst2iN, 5682019]
[paragraph, [122.0, 613.0, 980.0, 36.0], shoonya_0s1VYKE4FWXLQ2, 5682019]
[paragraph, [122.0, 649.0, 980.0, 36.0], shoonya_0s1VYKE4FWXLQ2, 5682019]
[paragraph, [122.0, 685.0, 980.0, 36.0], shoonya_0s1VYKE4FWXLQ2, 5682019]
[paragraph, [122.0, 721.0, 980.0, 36.0], shoonya_0s1VYKE4FWXLQ2, 5682019]
[paragraph, [122.0, 757.0, 980.0, 36.0], shoonya_0s1VYKE4FWXLQ2, 5682019]
[paragraph, [122.0, 793.0, 980.0, 36.0], shoonya_0s1VYKE4FWXLQ2, 5682019]
[paragraph, [122.0, 829.0, 980.0, 36.0], shoonya_0s1VYKE4FWXLQ2, 5682019]
[paragraph, [122.0, 865.0, 980.0, 36.0], shoonya_0s1VYKE4FWXLQ2, 5682019]
[paragraph, [122.0, 901.0, 980.0, 36.0], shoonya_0s1VYKE4FWXLQ2, 5682019]
[paragraph, [122.0, 937.0, 980.0, 36.0], shoonya_0s1VYKE4FWXLQ2, 5682019]
[paragraph, [122.0, 973.0, 980.0, 36.0], shoonya_0s1VYKE4FWXLQ2, 5682019]
[paragraph, [120.0, 1018.0, 979.0, 36.0], nTE1DAfy3_, 5682019]
[paragraph, [120.0, 1054.0, 979.0, 36.0], nTE1DAfy3_, 5682019]
[paragraph, [120.0, 1090.0, 979.0, 36.0], nTE1DAfy3_, 5682019]
[paragraph, [120.0, 1126.0, 979.0, 36.0], nTE1DAfy3_, 5682019]
[paragraph, [120.0, 1162.0, 979.0, 36.0], nTE1DAfy3_, 5682019]
[paragraph, [120.0, 1198.0, 979.0, 36.0], nTE1DAfy3_, 5682019]
[paragraph, [120.0, 1234.0, 979.0, 36.0], nTE1DAfy3_, 5682019]
[paragraph, [120.0, 1270.0, 979.0, 36.0], nTE1DAfy3_, 5682019]
[paragraph, [120.0, 1306.0, 979.0, 36.0], nTE1DAfy3_, 5682019]
[paragraph, [122.0, 1372.0, 985.0, 36.0], YVx6wdtVHf, 5682019]
[paragraph, [121.0, 1426.0, 981.0, 36.0], ezewLuzfG-, 5682019]
[paragraph, [121.0, 1462.0, 981.0, 36.0], ezewLuzfG-, 5682019]
[paragraph, [121.0, 1498.0, 981.0, 36.0], ezewLuzfG-, 5682019]
[paragraph, [121.0, 1534.0, 981.0, 36.0], ezewLuzfG-, 5682019]
[paragraph, [121.0, 1570.0, 981.0, 36.0], ezewLuzfG-, 5682019]
[paragraph, [121.0, 1606.0, 981.0, 36.0], ezewLuzfG-, 5682019]
[paragraph, [204.0, 1660.0, 349.0, 36.0], oq9deh_GJp, 5682019]
[paragraph, [126.0, 1720.0, 980.0, 36.0], 8O4WFRaU53, 5682019]
[paragraph, [126.0, 1756.0, 980.0, 36.0], 8O4WFRaU53, 5682019]
[paragraph, [126.0, 1792.0, 980.0, 36.0], 8O4WFRaU53, 5682019]
