[2067, 1567]
[folio, [1240.0, 195.0, 138.0, 36.0], p_lh_Ugwvu, 5735532]
[folio, [193.0, 197.0, 264.0, 36.0], D51JVpNk5Y, 5735532]
[paragraph, [192.0, 248.0, 581.0, 36.0], shoonya_3sKHQE6ZAYH73I, 5735532]
[paragraph, [192.0, 284.0, 581.0, 36.0], shoonya_3sKHQE6ZAYH73I, 5735532]
[paragraph, [192.0, 320.0, 581.0, 36.0], shoonya_3sKHQE6ZAYH73I, 5735532]
[paragraph, [1049.0, 250.0, 323.0, 36.0], shoonya_9sHGL90F12DK0R, 5735532]
[paragraph, [1049.0, 286.0, 323.0, 36.0], shoonya_9sHGL90F12DK0R, 5735532]
[paragraph, [1049.0, 322.0, 323.0, 36.0], shoonya_9sHGL90F12DK0R, 5735532]
[paragraph, [1049.0, 358.0, 323.0, 36.0], shoonya_9sHGL90F12DK0R, 5735532]
[paragraph, [1049.0, 394.0, 323.0, 36.0], shoonya_9sHGL90F12DK0R, 5735532]
[paragraph, [1049.0, 430.0, 323.0, 36.0], shoonya_9sHGL90F12DK0R, 5735532]
[paragraph, [1049.0, 466.0, 323.0, 36.0], shoonya_9sHGL90F12DK0R, 5735532]
[paragraph, [192.0, 382.0, 578.0, 36.0], shoonya_0sF5XIIH3V1327, 5735532]
[paragraph, [192.0, 418.0, 578.0, 36.0], shoonya_0sF5XIIH3V1327, 5735532]
[paragraph, [192.0, 454.0, 578.0, 36.0], shoonya_0sF5XIIH3V1327, 5735532]
[paragraph, [192.0, 490.0, 578.0, 36.0], shoonya_0sF5XIIH3V1327, 5735532]
[paragraph, [192.0, 526.0, 578.0, 36.0], shoonya_0sF5XIIH3V1327, 5735532]
[paragraph, [192.0, 562.0, 578.0, 36.0], shoonya_0sF5XIIH3V1327, 5735532]
[paragraph, [192.0, 598.0, 578.0, 36.0], shoonya_0sF5XIIH3V1327, 5735532]
[paragraph, [1051.0, 516.0, 319.0, 36.0], shoonya_5sPGH1G5O6I02U, 5735532]
[paragraph, [1051.0, 552.0, 319.0, 36.0], shoonya_5sPGH1G5O6I02U, 5735532]
[paragraph, [792.0, 607.0, 578.0, 36.0], shoonya_6s6IH2JW6KZDZA, 5735532]
[paragraph, [792.0, 643.0, 578.0, 36.0], shoonya_6s6IH2JW6KZDZA, 5735532]
[paragraph, [792.0, 679.0, 578.0, 36.0], shoonya_6s6IH2JW6KZDZA, 5735532]
[paragraph, [792.0, 715.0, 578.0, 36.0], shoonya_6s6IH2JW6KZDZA, 5735532]
[paragraph, [792.0, 751.0, 578.0, 36.0], shoonya_6s6IH2JW6KZDZA, 5735532]
[paragraph, [792.0, 787.0, 578.0, 36.0], shoonya_6s6IH2JW6KZDZA, 5735532]
[paragraph, [792.0, 823.0, 578.0, 36.0], shoonya_6s6IH2JW6KZDZA, 5735532]
[paragraph, [792.0, 859.0, 578.0, 36.0], shoonya_6s6IH2JW6KZDZA, 5735532]
[paragraph, [792.0, 895.0, 578.0, 36.0], shoonya_6s6IH2JW6KZDZA, 5735532]
[paragraph, [192.0, 654.0, 580.0, 36.0], shoonya_11sO0Y7P8OWO6X, 5735532]
[paragraph, [192.0, 690.0, 580.0, 36.0], shoonya_11sO0Y7P8OWO6X, 5735532]
[paragraph, [192.0, 726.0, 580.0, 36.0], shoonya_11sO0Y7P8OWO6X, 5735532]
[paragraph, [192.0, 762.0, 580.0, 36.0], shoonya_11sO0Y7P8OWO6X, 5735532]
[paragraph, [192.0, 798.0, 580.0, 36.0], shoonya_11sO0Y7P8OWO6X, 5735532]
[paragraph, [192.0, 834.0, 580.0, 36.0], shoonya_11sO0Y7P8OWO6X, 5735532]
[paragraph, [192.0, 870.0, 580.0, 36.0], shoonya_11sO0Y7P8OWO6X, 5735532]
[paragraph, [192.0, 906.0, 580.0, 36.0], shoonya_11sO0Y7P8OWO6X, 5735532]
[paragraph, [192.0, 942.0, 580.0, 36.0], shoonya_11sO0Y7P8OWO6X, 5735532]
[paragraph, [192.0, 978.0, 580.0, 36.0], shoonya_11sO0Y7P8OWO6X, 5735532]
[paragraph, [192.0, 1014.0, 580.0, 36.0], shoonya_11sO0Y7P8OWO6X, 5735532]
[paragraph, [192.0, 1050.0, 580.0, 36.0], shoonya_11sO0Y7P8OWO6X, 5735532]
