[1754, 1241]
[folio, [837.0, 131.0, 172.0, 36.0], TG4hfmyi41, 5728325]
[paragraph, [237.0, 190.0, 780.0, 36.0], U40D6AGI25, 5728325]
[paragraph, [237.0, 226.0, 780.0, 36.0], U40D6AGI25, 5728325]
[paragraph, [237.0, 262.0, 780.0, 36.0], U40D6AGI25, 5728325]
[paragraph, [237.0, 298.0, 780.0, 36.0], U40D6AGI25, 5728325]
[paragraph, [237.0, 334.0, 780.0, 36.0], U40D6AGI25, 5728325]
[paragraph, [237.0, 370.0, 780.0, 36.0], U40D6AGI25, 5728325]
[paragraph, [237.0, 406.0, 780.0, 36.0], U40D6AGI25, 5728325]
[paragraph, [237.0, 442.0, 780.0, 36.0], U40D6AGI25, 5728325]
[paragraph, [237.0, 478.0, 780.0, 36.0], U40D6AGI25, 5728325]
[unordered-list, [201.0, 554.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 590.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 626.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 662.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 698.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 734.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 770.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 806.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 842.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 878.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 914.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 950.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 986.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 1022.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 1058.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 1094.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 1130.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 1166.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 1202.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 1238.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 1274.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 1310.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 1346.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
[unordered-list, [201.0, 1382.0, 833.0, 36.0], shoonya_0sLQ9KEI2510LX, 5728325]
