[1545, 2000]
[section-title, [63.0, 69.0, 484.0, 49.5], shoonya_3sDYZSLGLTF9HA, 6513917]
[section-title, [63.0, 118.5, 484.0, 49.5], shoonya_3sDYZSLGLTF9HA, 6513917]
[folio, [1488.0, 90.0, 383.0, 36.0], shoonya_5sR0VCEHA9TBHE, 6513917]
[folio, [1488.0, 126.0, 383.0, 36.0], shoonya_5sR0VCEHA9TBHE, 6513917]
[section-title, [767.0, 145.0, 471.0, 49.5], shoonya_8s1WG0Y9WKE4RO, 6513917]
[section-title, [767.0, 194.5, 471.0, 49.5], shoonya_8s1WG0Y9WKE4RO, 6513917]
[paragraph, [42.0, 245.0, 506.0, 36.0], shoonya_7s4ETHIGUL2F8B, 6513917]
[paragraph, [42.0, 281.0, 506.0, 36.0], shoonya_7s4ETHIGUL2F8B, 6513917]
[paragraph, [42.0, 317.0, 506.0, 36.0], shoonya_7s4ETHIGUL2F8B, 6513917]
[paragraph, [727.0, 340.0, 547.0, 36.0], XqtZOCm5yf, 6513917]
[paragraph, [727.0, 376.0, 547.0, 36.0], XqtZOCm5yf, 6513917]
[paragraph, [727.0, 412.0, 547.0, 36.0], XqtZOCm5yf, 6513917]
[headline, [751.0, 680.0, 531.0, 37.5], shoonya_4s870JH111JTUQ, 6513917]
[headline, [751.0, 717.5, 531.0, 37.5], shoonya_4s870JH111JTUQ, 6513917]
[headline, [751.0, 755.0, 531.0, 37.5], shoonya_4s870JH111JTUQ, 6513917]
[headline, [751.0, 792.5, 531.0, 37.5], shoonya_4s870JH111JTUQ, 6513917]
[headline, [751.0, 830.0, 531.0, 37.5], shoonya_4s870JH111JTUQ, 6513917]
[paragraph, [849.0, 927.0, 427.0, 36.0], 2KQrb_o3xA, 6513917]
[headline, [704.0, 1071.0, 590.0, 37.5], shoonya_2sRE2LVQ17XZME, 6513917]
[headline, [704.0, 1108.5, 590.0, 37.5], shoonya_2sRE2LVQ17XZME, 6513917]
[headline, [704.0, 1146.0, 590.0, 37.5], shoonya_2sRE2LVQ17XZME, 6513917]
[headline, [1535.0, 1092.0, 414.0, 37.5], shoonya_6sU35AOKZJEX0S, 6513917]
[headline, [1535.0, 1129.5, 414.0, 37.5], shoonya_6sU35AOKZJEX0S, 6513917]
[headline, [1535.0, 1167.0, 414.0, 37.5], shoonya_6sU35AOKZJEX0S, 6513917]
[headline, [1535.0, 1204.5, 414.0, 37.5], shoonya_6sU35AOKZJEX0S, 6513917]
[headline, [1535.0, 1242.0, 414.0, 37.5], shoonya_6sU35AOKZJEX0S, 6513917]
[headline, [1535.0, 1279.5, 414.0, 37.5], shoonya_6sU35AOKZJEX0S, 6513917]
[website-link, [852.0, 1330.0, 366.0, 18.0], shoonya_0sP2154IBQ2MRK, 6513917]
[website-link, [852.0, 1348.0, 366.0, 18.0], shoonya_0sP2154IBQ2MRK, 6513917]
[folio, [1487.0, 1370.0, 454.0, 36.0], cx8mN3IVXY, 6513917]
