[2339, 1654]
[paragraph, [186.0, 253.0, 1278.0, 36.0], shoonya_1s0AK676AYJVUA, 5687075]
[paragraph, [186.0, 289.0, 1278.0, 36.0], shoonya_1s0AK676AYJVUA, 5687075]
[paragraph, [186.0, 325.0, 1278.0, 36.0], shoonya_1s0AK676AYJVUA, 5687075]
[paragraph, [186.0, 361.0, 1278.0, 36.0], shoonya_1s0AK676AYJVUA, 5687075]
[paragraph, [186.0, 397.0, 1278.0, 36.0], shoonya_1s0AK676AYJVUA, 5687075]
[paragraph, [186.0, 433.0, 1278.0, 36.0], shoonya_1s0AK676AYJVUA, 5687075]
[paragraph, [186.0, 469.0, 1278.0, 36.0], shoonya_1s0AK676AYJVUA, 5687075]
[paragraph, [186.0, 505.0, 1278.0, 36.0], shoonya_1s0AK676AYJVUA, 5687075]
[paragraph, [186.0, 541.0, 1278.0, 36.0], shoonya_1s0AK676AYJVUA, 5687075]
[paragraph, [186.0, 667.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 703.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 739.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 775.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 811.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 847.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 883.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 919.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 955.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 991.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1027.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1063.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1099.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1135.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1171.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1207.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1243.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1279.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1315.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1351.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1387.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1423.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1459.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1495.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1531.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1567.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1603.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1639.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1675.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1711.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[paragraph, [186.0, 1747.0, 1277.0, 36.0], shoonya_0sLO9OZDH4EK3N, 5687075]
[reference, [190.0, 1981.0, 558.0, 36.0], shoonya_2sU70E5FYP3W5I, 5687075]
[reference, [190.0, 2017.0, 558.0, 36.0], shoonya_2sU70E5FYP3W5I, 5687075]
[reference, [190.0, 2053.0, 558.0, 36.0], shoonya_2sU70E5FYP3W5I, 5687075]
