[1754, 1241]
[paragraph, [215.0, 139.0, 884.0, 36.0], shoonya_1s6WZCEMWRITP1, 5714435]
[paragraph, [215.0, 175.0, 884.0, 36.0], shoonya_1s6WZCEMWRITP1, 5714435]
[paragraph, [215.0, 211.0, 884.0, 36.0], shoonya_1s6WZCEMWRITP1, 5714435]
[paragraph, [215.0, 247.0, 884.0, 36.0], shoonya_1s6WZCEMWRITP1, 5714435]
[paragraph, [215.0, 283.0, 884.0, 36.0], shoonya_1s6WZCEMWRITP1, 5714435]
[paragraph, [215.0, 319.0, 884.0, 36.0], shoonya_1s6WZCEMWRITP1, 5714435]
[paragraph, [215.0, 355.0, 884.0, 36.0], shoonya_1s6WZCEMWRITP1, 5714435]
[paragraph, [215.0, 391.0, 884.0, 36.0], shoonya_1s6WZCEMWRITP1, 5714435]
[paragraph, [215.0, 427.0, 884.0, 36.0], shoonya_1s6WZCEMWRITP1, 5714435]
[paragraph, [215.0, 463.0, 884.0, 36.0], shoonya_1s6WZCEMWRITP1, 5714435]
[paragraph, [215.0, 499.0, 884.0, 36.0], shoonya_1s6WZCEMWRITP1, 5714435]
[paragraph, [215.0, 535.0, 884.0, 36.0], shoonya_1s6WZCEMWRITP1, 5714435]
[paragraph, [215.0, 571.0, 884.0, 36.0], shoonya_1s6WZCEMWRITP1, 5714435]
[paragraph, [215.0, 647.0, 880.0, 36.0], shoonya_0sSHX8OL4SLQ2H, 5714435]
[paragraph, [215.0, 683.0, 880.0, 36.0], shoonya_0sSHX8OL4SLQ2H, 5714435]
[paragraph, [215.0, 719.0, 880.0, 36.0], shoonya_0sSHX8OL4SLQ2H, 5714435]
[paragraph, [215.0, 755.0, 880.0, 36.0], shoonya_0sSHX8OL4SLQ2H, 5714435]
[paragraph, [215.0, 791.0, 880.0, 36.0], shoonya_0sSHX8OL4SLQ2H, 5714435]
[paragraph, [215.0, 827.0, 880.0, 36.0], shoonya_0sSHX8OL4SLQ2H, 5714435]
[paragraph, [215.0, 863.0, 880.0, 36.0], shoonya_0sSHX8OL4SLQ2H, 5714435]
[paragraph, [215.0, 899.0, 880.0, 36.0], shoonya_0sSHX8OL4SLQ2H, 5714435]
[paragraph, [215.0, 935.0, 880.0, 36.0], shoonya_0sSHX8OL4SLQ2H, 5714435]
[paragraph, [215.0, 971.0, 880.0, 36.0], shoonya_0sSHX8OL4SLQ2H, 5714435]
[paragraph, [215.0, 1007.0, 880.0, 36.0], shoonya_0sSHX8OL4SLQ2H, 5714435]
[paragraph, [212.0, 1091.0, 886.0, 36.0], shoonya_3s3FGF4ACOY1NR, 5714435]
[paragraph, [212.0, 1127.0, 886.0, 36.0], shoonya_3s3FGF4ACOY1NR, 5714435]
[paragraph, [212.0, 1163.0, 886.0, 36.0], shoonya_3s3FGF4ACOY1NR, 5714435]
[paragraph, [212.0, 1199.0, 886.0, 36.0], shoonya_3s3FGF4ACOY1NR, 5714435]
[paragraph, [212.0, 1235.0, 886.0, 36.0], shoonya_3s3FGF4ACOY1NR, 5714435]
[paragraph, [214.0, 1317.0, 887.0, 36.0], 4MJ237l0YQ, 5714435]
[paragraph, [214.0, 1353.0, 887.0, 36.0], 4MJ237l0YQ, 5714435]
[paragraph, [214.0, 1389.0, 887.0, 36.0], 4MJ237l0YQ, 5714435]
[paragraph, [214.0, 1425.0, 887.0, 36.0], 4MJ237l0YQ, 5714435]
[paragraph, [214.0, 1461.0, 887.0, 36.0], 4MJ237l0YQ, 5714435]
[paragraph, [214.0, 1497.0, 887.0, 36.0], 4MJ237l0YQ, 5714435]
[paragraph, [214.0, 1533.0, 887.0, 36.0], 4MJ237l0YQ, 5714435]
