[2200, 1700]
[paragraph, [327.0, 97.0, 1071.0, 36.0], shoonya_2sE7K16M8TJ98Z, 5731396]
[paragraph, [327.0, 133.0, 1071.0, 36.0], shoonya_2sE7K16M8TJ98Z, 5731396]
[paragraph, [327.0, 169.0, 1071.0, 36.0], shoonya_2sE7K16M8TJ98Z, 5731396]
[paragraph, [327.0, 205.0, 1071.0, 36.0], shoonya_2sE7K16M8TJ98Z, 5731396]
[paragraph, [327.0, 241.0, 1071.0, 36.0], shoonya_2sE7K16M8TJ98Z, 5731396]
[paragraph, [327.0, 277.0, 1071.0, 36.0], shoonya_2sE7K16M8TJ98Z, 5731396]
[section-title, [322.0, 344.0, 522.0, 52.5], CkWAwtMF3m, 5731396]
[paragraph, [312.0, 426.0, 1111.0, 36.0], shoonya_1s4OQMMMSMJBRP, 5731396]
[paragraph, [312.0, 462.0, 1111.0, 36.0], shoonya_1s4OQMMMSMJBRP, 5731396]
[paragraph, [312.0, 498.0, 1111.0, 36.0], shoonya_1s4OQMMMSMJBRP, 5731396]
[paragraph, [312.0, 534.0, 1111.0, 36.0], shoonya_1s4OQMMMSMJBRP, 5731396]
[paragraph, [312.0, 570.0, 1111.0, 36.0], shoonya_1s4OQMMMSMJBRP, 5731396]
[paragraph, [312.0, 606.0, 1111.0, 36.0], shoonya_1s4OQMMMSMJBRP, 5731396]
[paragraph, [312.0, 642.0, 1111.0, 36.0], shoonya_1s4OQMMMSMJBRP, 5731396]
[paragraph, [312.0, 678.0, 1111.0, 36.0], shoonya_1s4OQMMMSMJBRP, 5731396]
[paragraph, [312.0, 714.0, 1111.0, 36.0], shoonya_1s4OQMMMSMJBRP, 5731396]
[paragraph, [312.0, 750.0, 1111.0, 36.0], shoonya_1s4OQMMMSMJBRP, 5731396]
[paragraph, [312.0, 786.0, 1111.0, 36.0], shoonya_1s4OQMMMSMJBRP, 5731396]
[paragraph, [312.0, 822.0, 1111.0, 36.0], shoonya_1s4OQMMMSMJBRP, 5731396]
[paragraph, [312.0, 858.0, 1111.0, 36.0], shoonya_1s4OQMMMSMJBRP, 5731396]
[paragraph, [312.0, 894.0, 1111.0, 36.0], shoonya_1s4OQMMMSMJBRP, 5731396]
[paragraph, [312.0, 930.0, 1111.0, 36.0], shoonya_1s4OQMMMSMJBRP, 5731396]
[paragraph, [312.0, 966.0, 1111.0, 36.0], shoonya_1s4OQMMMSMJBRP, 5731396]
[paragraph, [312.0, 1002.0, 1111.0, 36.0], shoonya_1s4OQMMMSMJBRP, 5731396]
[paragraph, [329.0, 1042.0, 1074.0, 36.0], shoonya_3sJO8P3SZXA6LH, 5731396]
[paragraph, [329.0, 1078.0, 1074.0, 36.0], shoonya_3sJO8P3SZXA6LH, 5731396]
[paragraph, [329.0, 1114.0, 1074.0, 36.0], shoonya_3sJO8P3SZXA6LH, 5731396]
[paragraph, [329.0, 1150.0, 1074.0, 36.0], shoonya_3sJO8P3SZXA6LH, 5731396]
[paragraph, [329.0, 1186.0, 1074.0, 36.0], shoonya_3sJO8P3SZXA6LH, 5731396]
[paragraph, [329.0, 1222.0, 1074.0, 36.0], shoonya_3sJO8P3SZXA6LH, 5731396]
[paragraph, [329.0, 1258.0, 1074.0, 36.0], shoonya_3sJO8P3SZXA6LH, 5731396]
[paragraph, [329.0, 1294.0, 1074.0, 36.0], shoonya_3sJO8P3SZXA6LH, 5731396]
[paragraph, [329.0, 1330.0, 1074.0, 36.0], shoonya_3sJO8P3SZXA6LH, 5731396]
[paragraph, [329.0, 1366.0, 1074.0, 36.0], shoonya_3sJO8P3SZXA6LH, 5731396]
[paragraph, [329.0, 1402.0, 1074.0, 36.0], shoonya_3sJO8P3SZXA6LH, 5731396]
[paragraph, [329.0, 1438.0, 1074.0, 36.0], shoonya_3sJO8P3SZXA6LH, 5731396]
[paragraph, [329.0, 1474.0, 1074.0, 36.0], shoonya_3sJO8P3SZXA6LH, 5731396]
[paragraph, [329.0, 1510.0, 1074.0, 36.0], shoonya_3sJO8P3SZXA6LH, 5731396]
[paragraph, [329.0, 1546.0, 1074.0, 36.0], shoonya_3sJO8P3SZXA6LH, 5731396]
[paragraph, [326.0, 1595.0, 1072.0, 36.0], shoonya_0sN36UB5VUZ06X, 5731396]
[paragraph, [326.0, 1631.0, 1072.0, 36.0], shoonya_0sN36UB5VUZ06X, 5731396]
[paragraph, [326.0, 1667.0, 1072.0, 36.0], shoonya_0sN36UB5VUZ06X, 5731396]
[paragraph, [326.0, 1703.0, 1072.0, 36.0], shoonya_0sN36UB5VUZ06X, 5731396]
[paragraph, [326.0, 1739.0, 1072.0, 36.0], shoonya_0sN36UB5VUZ06X, 5731396]
[paragraph, [326.0, 1775.0, 1072.0, 36.0], shoonya_0sN36UB5VUZ06X, 5731396]
[paragraph, [326.0, 1811.0, 1072.0, 36.0], shoonya_0sN36UB5VUZ06X, 5731396]
[paragraph, [326.0, 1847.0, 1072.0, 36.0], shoonya_0sN36UB5VUZ06X, 5731396]
[paragraph, [326.0, 1883.0, 1072.0, 36.0], shoonya_0sN36UB5VUZ06X, 5731396]
[folio, [965.0, 2013.0, 348.0, 36.0], Spd0ahdNPt, 5731396]
