[1818, 1374]
[folio, [486.0, 123.0, 401.0, 36.0], shoonya_1sXKBPP5YJQYSA, 5681969]
[paragraph, [693.0, 195.0, 570.0, 36.0], o8Dk98h0Nz, 5681969]
[paragraph, [693.0, 231.0, 570.0, 36.0], o8Dk98h0Nz, 5681969]
[paragraph, [693.0, 267.0, 570.0, 36.0], o8Dk98h0Nz, 5681969]
[paragraph, [693.0, 303.0, 570.0, 36.0], o8Dk98h0Nz, 5681969]
[paragraph, [693.0, 339.0, 570.0, 36.0], o8Dk98h0Nz, 5681969]
[paragraph, [107.0, 198.0, 572.0, 36.0], shoonya_3sCZIIKC6VPT2D, 5681969]
[paragraph, [107.0, 234.0, 572.0, 36.0], shoonya_3sCZIIKC6VPT2D, 5681969]
[paragraph, [151.0, 324.0, 281.0, 36.0], z0ldRuEJIR, 5681969]
[paragraph, [113.0, 365.0, 565.0, 36.0], 49RXBJEzNL, 5681969]
[paragraph, [113.0, 401.0, 565.0, 36.0], 49RXBJEzNL, 5681969]
[paragraph, [695.0, 408.0, 570.0, 36.0], NQXaiGQ8cx, 5681969]
[paragraph, [695.0, 444.0, 570.0, 36.0], NQXaiGQ8cx, 5681969]
[paragraph, [695.0, 480.0, 570.0, 36.0], NQXaiGQ8cx, 5681969]
[paragraph, [695.0, 516.0, 570.0, 36.0], NQXaiGQ8cx, 5681969]
[paragraph, [695.0, 552.0, 570.0, 36.0], NQXaiGQ8cx, 5681969]
[paragraph, [104.0, 573.0, 571.0, 36.0], rMfugCDnXl, 5681969]
[paragraph, [104.0, 609.0, 571.0, 36.0], rMfugCDnXl, 5681969]
[paragraph, [740.0, 611.0, 465.0, 36.0], 8nxwyCCjMS, 5681969]
[paragraph, [103.0, 654.0, 577.0, 36.0], j-6sWZGH94, 5681969]
[paragraph, [103.0, 690.0, 577.0, 36.0], j-6sWZGH94, 5681969]
[paragraph, [103.0, 726.0, 577.0, 36.0], j-6sWZGH94, 5681969]
[paragraph, [697.0, 655.0, 568.0, 36.0], stsXGU9LK9, 5681969]
[paragraph, [697.0, 691.0, 568.0, 36.0], stsXGU9LK9, 5681969]
[paragraph, [697.0, 727.0, 568.0, 36.0], stsXGU9LK9, 5681969]
[paragraph, [741.0, 777.0, 523.0, 36.0], EHCxhlN9Wy, 5681969]
[paragraph, [106.0, 820.0, 573.0, 36.0], rHQY_iZ976, 5681969]
[paragraph, [697.0, 822.0, 571.0, 36.0], W1cIxsj1sQ, 5681969]
[paragraph, [697.0, 858.0, 571.0, 36.0], W1cIxsj1sQ, 5681969]
[paragraph, [697.0, 894.0, 571.0, 36.0], W1cIxsj1sQ, 5681969]
[paragraph, [697.0, 930.0, 571.0, 36.0], W1cIxsj1sQ, 5681969]
[paragraph, [697.0, 966.0, 571.0, 36.0], W1cIxsj1sQ, 5681969]
[paragraph, [697.0, 1002.0, 571.0, 36.0], W1cIxsj1sQ, 5681969]
[paragraph, [697.0, 1038.0, 571.0, 36.0], W1cIxsj1sQ, 5681969]
[paragraph, [697.0, 1074.0, 571.0, 36.0], W1cIxsj1sQ, 5681969]
[paragraph, [697.0, 1110.0, 571.0, 36.0], W1cIxsj1sQ, 5681969]
[paragraph, [697.0, 1146.0, 571.0, 36.0], W1cIxsj1sQ, 5681969]
[paragraph, [697.0, 1182.0, 571.0, 36.0], W1cIxsj1sQ, 5681969]
[paragraph, [697.0, 1218.0, 571.0, 36.0], W1cIxsj1sQ, 5681969]
[paragraph, [152.0, 899.0, 487.0, 36.0], t-mEN9s4Pi, 5681969]
[paragraph, [104.0, 945.0, 577.0, 36.0], 9iGImqYBWX, 5681969]
[paragraph, [104.0, 981.0, 577.0, 36.0], 9iGImqYBWX, 5681969]
[paragraph, [104.0, 1017.0, 577.0, 36.0], 9iGImqYBWX, 5681969]
[paragraph, [104.0, 1053.0, 577.0, 36.0], 9iGImqYBWX, 5681969]
[paragraph, [104.0, 1089.0, 577.0, 36.0], 9iGImqYBWX, 5681969]
[paragraph, [104.0, 1125.0, 577.0, 36.0], 9iGImqYBWX, 5681969]
[paragraph, [108.0, 1189.0, 573.0, 36.0], BAjUMekLN9, 5681969]
[paragraph, [108.0, 1225.0, 573.0, 36.0], BAjUMekLN9, 5681969]
[paragraph, [108.0, 1272.0, 571.0, 36.0], TQMEQcIIv6, 5681969]
[paragraph, [108.0, 1308.0, 571.0, 36.0], TQMEQcIIv6, 5681969]
[paragraph, [108.0, 1344.0, 571.0, 36.0], TQMEQcIIv6, 5681969]
[paragraph, [700.0, 1273.0, 571.0, 36.0], 1DWnnMs07f, 5681969]
[paragraph, [700.0, 1309.0, 571.0, 36.0], 1DWnnMs07f, 5681969]
[paragraph, [700.0, 1345.0, 571.0, 36.0], 1DWnnMs07f, 5681969]
[paragraph, [700.0, 1381.0, 571.0, 36.0], 1DWnnMs07f, 5681969]
[paragraph, [700.0, 1417.0, 571.0, 36.0], 1DWnnMs07f, 5681969]
[paragraph, [700.0, 1453.0, 571.0, 36.0], 1DWnnMs07f, 5681969]
[paragraph, [700.0, 1489.0, 571.0, 36.0], 1DWnnMs07f, 5681969]
[paragraph, [700.0, 1525.0, 571.0, 36.0], 1DWnnMs07f, 5681969]
[paragraph, [106.0, 1397.0, 577.0, 36.0], FT1-RBUfJG, 5681969]
[paragraph, [106.0, 1433.0, 577.0, 36.0], FT1-RBUfJG, 5681969]
[paragraph, [106.0, 1469.0, 577.0, 36.0], FT1-RBUfJG, 5681969]
[paragraph, [106.0, 1505.0, 577.0, 36.0], FT1-RBUfJG, 5681969]
[paragraph, [106.0, 1541.0, 577.0, 36.0], FT1-RBUfJG, 5681969]
[paragraph, [106.0, 1577.0, 577.0, 36.0], FT1-RBUfJG, 5681969]
[paragraph, [106.0, 1613.0, 577.0, 36.0], FT1-RBUfJG, 5681969]
[paragraph, [106.0, 1649.0, 577.0, 36.0], FT1-RBUfJG, 5681969]
[paragraph, [700.0, 1605.0, 566.0, 36.0], YBwaqvqMYy, 5681969]
[paragraph, [700.0, 1641.0, 566.0, 36.0], YBwaqvqMYy, 5681969]
