[2084, 1528]
[dateline, [331.0, 34.0, 474.0, 64.5], mkk42wFMhV, 5712904]
[folio, [103.0, 36.0, 211.0, 36.0], S_Spt5WPjF, 5712904]
[folio, [1356.0, 101.0, 97.0, 36.0], muu953sIVu, 5712904]
[headline, [87.0, 122.0, 1169.0, 67.5], vHh898rof4, 5712904]
[author, [1211.0, 204.0, 247.0, 36.0], shoonya_1s52L4YZH6F8UO, 5712904]
[paragraph, [107.0, 281.0, 1348.0, 36.0], shoonya_2s6OBRNU3WOAY0, 5712904]
[paragraph, [107.0, 317.0, 1348.0, 36.0], shoonya_2s6OBRNU3WOAY0, 5712904]
[paragraph, [107.0, 353.0, 1348.0, 36.0], shoonya_2s6OBRNU3WOAY0, 5712904]
[paragraph, [107.0, 389.0, 1348.0, 36.0], shoonya_2s6OBRNU3WOAY0, 5712904]
[paragraph, [107.0, 425.0, 1348.0, 36.0], shoonya_2s6OBRNU3WOAY0, 5712904]
[paragraph, [91.0, 494.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 530.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 566.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 602.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 638.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 674.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 710.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 746.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 782.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 818.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 854.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 890.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 926.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 962.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 998.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 1034.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 1070.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 1106.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 1142.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 1178.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 1214.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 1250.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 1286.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 1322.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
[paragraph, [91.0, 1358.0, 694.0, 36.0], QZIUtwMK2O, 5712904]
